#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,955,140,1154,JavaScript
hello-world,6034,328,1531,Python
alexa-skills-kit-nodejs-triviaskill,240,77,309,JavaScript
alexa-skills-kit-nodejs-howtoskill,231,57,202,JavaScript
Datadog-Log-Forwarder,113,157,171,Python
microservice-http-endpoint,6034,328,1531,Python
alexa-skills-kit-python36-factskill,81,22,138,Python
alexa-skills-kit-color-expert-python,6034,328,1531,Python
image-resizer-service,55,0,28,JavaScript
alexa-smart-home-skill-adapter,6034,328,1531,Python
alexa-skills-kit-nodejs-premium-facts-skill,48,27,49,JavaScript
alexa-skills-kit-color-expert,6034,328,1531,Python
api-gateway-dev-portal,481,36,162,JavaScript
api-lambda-save-dynamodb,29,2,9,JavaScript
api-lambda-send-email-ses,16,2,3,JavaScript
aws-deployment-framework,178,30,46,Python
hello-world-python3,6034,328,1531,Python
serverless-todo,20,3,11,JavaScript
https-request,6034,328,1531,Python
hello-world-python,6034,328,1531,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
alexa-skills-kit-nodejs-hello-world,146,58,241,JavaScript
NewRelic-log-ingestion,7,16,10,Python
cloudfront-response-generation,6034,328,1531,Python
AmazonConnectSalesforceLambda,4,1,1,Python
ALB-Lambda-Target-HelloWorld,201,21,59,Java
hello-go-serverless-webapp,16,3,4,Go
image-magick-lambda-layer,26,6,10,JavaScript
image-processing-service,6034,328,1531,Python
cloudwatch-alarm-to-slack,6034,328,1531,Python
s3-get-object,6034,328,1531,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
ffmpeg-lambda-layer,70,8,12,JavaScript
simple-mobile-backend,6034,328,1531,Python
sqs-poller,6034,328,1531,Python
Contact-Us,38,2,12,JavaScript
lambda-to-slack,4,1,5,Python
lambda-web-page-example,4,0,5,JavaScript
api-gateway-authorizer-nodejs,6034,328,1531,Python
serverless-cognito,44,2,6,Python
Tesseract,780,39,146,Python
alexa-anagram,4,3,4,JavaScript
SecretsManagerRedshiftRotationSingleUser,44,13,42,Python
sns-message,6034,328,1531,Python
amazon-cognito-passwordless-email-auth,62,4,24,TypeScript
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,6034,328,1531,Python
CodePipelineSlackNotifier,62,2,24,Shell
lambda-authorizer-basic-auth,26,1,2,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
cloudfront-http-redirect,6034,328,1531,Python
microservice-http-endpoint-python3,6034,328,1531,Python
aws-serverless-twitter-event-source,61,15,15,Python
lambdium,212,12,32,JavaScript
lightsail-backups,45,10,19,JavaScript
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
cfn-nag-pipeline,510,33,96,Ruby
amazon-cloudfront-access-logs-queries,20,3,13,JavaScript
s3-get-object-python,6034,328,1531,Python
api-lambda-update-dynamodb,2,2,1,JavaScript
pipeline-dashboard,81,8,32,JavaScript
sns-subscription-filter-policy-string,91,14,15,Python
SecretsManagerMongoDBRotationSingleUser,44,13,42,Python
api-lambda-get-one-dynamodb,5,1,0,JavaScript
lex-book-trip,6034,328,1531,Python
sns-message-python,6034,328,1531,Python
dynamodb-lex,1,1,1,JavaScript
s3-get-object-python3,6034,328,1531,Python
resize,72,6,34,JavaScript
aws-sagemaker-ground-truth-recipe,3,1,4,Python
Chromium,780,39,146,Python
s3-lambda-publisher-sns,2,1,1,JavaScript
auto-subscribe-log-group-to-arn,19,1,1,JavaScript
DocumentGenerator,780,39,146,Python
cloudfront-modify-response-header,6034,328,1531,Python
workmail-hello-world-python,5,3,4,Python
helloWorldLex,22,3,10,JavaScript
Pandas,780,39,146,Python
api-lambda-stripe-charge,22,4,3,JavaScript
dynamodb-process-stream-python3,6034,328,1531,Python
fork-event-storage-backup-pipeline,91,14,15,Python
sqs-to-dynamodb,0,1,1,JavaScript
tweet-sentiment,0,1,0,Python
s3-presigned-url,6034,328,1532,Python
stu,21,4,9,HTML
lex-order-flowers,6034,328,1532,Python
image-moderation-chatbot,110,45,50,Python
api-lambda-sns-publisher,0,1,1,JavaScript
fork-event-replay-pipeline,91,14,15,Python
ses-notification-nodejs,6034,328,1532,Python
fork-event-search-analytics-pipeline,91,14,15,Python
lambda-layer-awscli,35,3,8,Makefile
galleria,72,6,34,JavaScript
machine-learning-with-scikit-learn-on-lamdba,9,0,2,Python
slack-echo-command,6034,328,1532,Python
s3-static-site,5,1,2,None
cloudfront-authorization-at-edge,12,4,4,TypeScript
Twitter-Poller-to-Kinesis-Firehose,102,27,43,Python
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript
AutoUpdateCloudfrontSecurityGroups,3,2,0,Python
whats-your-name,13,2,2,Python
s3-replicator,2,1,3,JavaScript
slack-echo-command-python,6034,328,1532,Python
timber-logging,3,8,2,Python
fork-example-ecommerce-checkout-pipeline,91,14,15,Python
sumologic-securityhub-collector,86,45,101,Python
lex-make-appointment,6034,328,1532,Python
fork-example-ecommerce-checkout-api,91,14,15,Python
serverless-chrome-layer,3,1,0,JavaScript
compress,72,6,34,JavaScript
lambda-janitor,10,4,2,JavaScript
github-codebuild-logs,20,4,3,Python
slack-slash-hodor,1,1,1,JavaScript
api-gateway-authorizer-python,6034,328,1532,Python
serverless-form-handler,5,0,2,JavaScript
kinesis-process-record,6034,328,1532,Python
api-lambda-delete-dynamodb,1,1,0,JavaScript
greengrass-hello-world-nodejs,6034,328,1532,Python
sns-subscriber-lambda-s3,3,1,1,JavaScript
cloudfront-s3-origin-website-redirects,0,0,1,JavaScript
lambda-layer-kubectl,34,3,16,Makefile
S3-Image-Monitoring-Detection-Using-Rekognition-Publish-Data-on-SNS,3,1,1,Python
cloudwatch-alarm-to-slack-python3,6034,328,1532,Python
cloudwatch-logs-process-data,6034,328,1532,Python
ALB-Lambda-Target-WhatisMyIP,201,21,59,Java
alexa-city-biking-skill,2,1,2,JavaScript
aws-tag-explorer,8,1,3,Python
sumologic-loggroup-connector,86,45,101,Python
lex-book-trip-python,6034,328,1532,Python
ThundraHelloWorld,13,4,2,Java
aws-serverless-codepipeline-serverlessrepo-publish,6,11,5,Python
dynamodb-lambda-publisher-sns,0,1,0,JavaScript
aws-lambda-power-tuning,768,35,35,JavaScript
kinesis-process-record-python,6034,328,1532,Python
cloudfront-redirect-on-viewer-country,6034,328,1532,Python
cw-logs-to-chime,0,1,0,Python
ecr-deploy,7,1,3,Python
python-sam-codebuild-ci,3,2,1,None
lex-make-appointment-python,6034,328,1532,Python
LogzioCloudWatchShipper,23,10,33,Python
cw-logs-to-lambda,1,1,0,Python
NYC-Parks-Events-Crawler,6,0,4,Python
lambda-canary-python3,6034,328,1532,Python
aws-serverless-sns-forwarder,5,12,1,Python
Serverless-S3-Uploader,2,1,1,JavaScript
deploy-to-s3,10,4,7,Python
hotdog-detector,87,37,23,Python
datadog-process-rds-metrics,6034,328,1532,Python
sumologic-mongodb-atlas,0,5,0,Python
cloudfront-ab-test,6034,328,1532,Python
ImageProcessingPython,780,39,146,Python
UvaSoftware-Scanii-Lambda,21,3,5,JavaScript
cw-logs-to-slack,3,1,2,Makefile
lex-order-flowers-python,6034,328,1532,Python
python-lambdacore,6,1,0,Python
rotate,72,6,34,JavaScript
cloudwatch-alarm-to-slack-python,6034,328,1532,Python
lambda-canary,6034,328,1532,Python
cloudfront-simple-remote-call,6034,328,1532,Python
async-custom-metrics,11,1,0,JavaScript
api-gateway-multiple-origin-cors,6034,328,1532,Python
cognito-sync-trigger,6034,328,1532,Python
serverless-numpy,2,1,1,Python
TweetEventSource,2,2,2,TypeScript
aws-sns-to-slack-publisher,16,1,6,Python
Glim,0,1,0,Python
inbound-ses-spam-filter,6034,328,1532,Python
Kinesis-Enhanced-Fan-Out-to-DDB-S3,0,0,1,JavaScript
SecretsManagerRedshiftRotationMultiUser,44,13,42,Python
ghostscript-lambda-layer,2,1,0,Makefile
