#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,980,138,1171,JavaScript
hello-world,6228,337,1617,Python
alexa-skills-kit-nodejs-triviaskill,242,76,311,JavaScript
alexa-skills-kit-nodejs-howtoskill,234,57,203,JavaScript
Datadog-Log-Forwarder,122,162,181,Python
alexa-skills-kit-python36-factskill,86,22,145,Python
microservice-http-endpoint,6228,337,1617,Python
image-resizer-service,58,0,30,JavaScript
alexa-skills-kit-nodejs-premium-facts-skill,52,25,55,JavaScript
aws-deployment-framework,202,32,56,Python
api-gateway-dev-portal,496,36,168,JavaScript
uploader,81,6,39,JavaScript
api-lambda-send-email-ses,18,2,3,JavaScript
api-lambda-save-dynamodb,32,2,10,JavaScript
hello-world-python3,6228,337,1617,Python
serverless-todo,22,3,12,JavaScript
hello-world-python,6228,337,1617,Python
https-request,6228,337,1617,Python
alexa-skills-kit-nodejs-hello-world,147,57,245,JavaScript
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
NewRelic-log-ingestion,8,17,11,Python
image-magick-lambda-layer,38,6,16,JavaScript
SecretsManagerRedshiftRotationSingleUser,47,15,51,Python
cloudfront-response-generation,6228,336,1617,Python
AmazonConnectSalesforceLambda,5,2,2,Python
ALB-Lambda-Target-HelloWorld,203,22,60,Java
ffmpeg-lambda-layer,84,8,16,JavaScript
hello-go-serverless-webapp,16,3,4,Go
image-processing-service,6228,336,1617,Python
cloudwatch-alarm-to-slack,6228,336,1617,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
s3-get-object,6228,336,1617,Python
cloudfront-authorization-at-edge,21,4,8,TypeScript
simple-mobile-backend,6228,336,1617,Python
lambda-to-slack,4,1,5,Python
sqs-poller,6228,336,1617,Python
Contact-Us,39,2,12,JavaScript
api-gateway-authorizer-nodejs,6228,336,1617,Python
Tesseract,812,41,154,Python
lambda-web-page-example,4,0,5,JavaScript
serverless-cognito,47,2,6,Python
alexa-anagram,5,3,3,JavaScript
