#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,991,138,1173,JavaScript
hello-world,6,6,4,JavaScript
alexa-skills-kit-nodejs-triviaskill,242,76,314,JavaScript
alexa-skills-kit-nodejs-howtoskill,233,57,204,JavaScript
Datadog-Log-Forwarder,127,164,196,Python
alexa-skills-kit-python36-factskill,87,22,145,Python
microservice-http-endpoint,6,6,4,JavaScript
alexa-skills-kit-color-expert-python,6,6,4,JavaScript
image-resizer-service,60,0,30,JavaScript
alexa-skills-kit-nodejs-premium-facts-skill,53,25,55,JavaScript
alexa-smart-home-skill-adapter,6,6,4,JavaScript
alexa-skills-kit-color-expert,6,6,4,JavaScript
standard-redirects-for-cloudfront,14,2,2,JavaScript
aws-deployment-framework,208,31,63,Python
api-gateway-dev-portal,509,36,174,JavaScript
uploader,85,8,39,JavaScript
hello-world-python3,6,6,4,JavaScript
api-lambda-send-email-ses,18,2,3,JavaScript
api-lambda-save-dynamodb,33,2,10,JavaScript
image-magick-lambda-layer,53,6,27,JavaScript
alexa-skills-kit-nodejs-hello-world,148,57,248,JavaScript
serverless-todo,22,3,12,JavaScript
hello-world-python,6,6,4,JavaScript
https-request,6,6,4,JavaScript
NewRelic-log-ingestion,9,17,12,Python
AthenaCloudwatchConnector,66,19,12,Java
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
SecretsManagerRedshiftRotationSingleUser,49,15,56,Python
ffmpeg-lambda-layer,94,10,18,JavaScript
ALB-Lambda-Target-HelloWorld,206,22,63,Java
AmazonConnectSalesforceLambda,6,3,3,Python
cloudfront-response-generation,6,6,4,JavaScript
cloudfront-authorization-at-edge,29,4,12,TypeScript
hello-go-serverless-webapp,18,3,4,Go
s3-lambda-save-dynamodb,9,2,1,JavaScript
lambda-to-slack,4,1,5,Python
image-processing-service,6,6,4,JavaScript
cloudwatch-alarm-to-slack,6,6,4,JavaScript
AthenaDynamoDBConnector,66,19,12,Java
s3-get-object,6,6,4,JavaScript
sqs-poller,6,6,4,JavaScript
simple-mobile-backend,6,6,4,JavaScript
Tesseract,827,42,156,Python
api-gateway-authorizer-nodejs,6,6,4,JavaScript
Contact-Us,39,2,12,JavaScript
amazon-cognito-passwordless-email-auth,73,4,29,TypeScript
lambda-web-page-example,4,0,5,JavaScript
alexa-anagram,5,3,3,JavaScript
serverless-cognito,47,2,6,Python
sns-message,6,6,4,JavaScript
SecretsManagerMongoDBRotationSingleUser,49,15,56,Python
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,6,6,4,JavaScript
AthenaJdbcConnector,66,19,12,Java
lambda-authorizer-basic-auth,27,1,3,Python
CodePipelineSlackNotifier,66,2,26,Shell
lightsail-backups,44,8,20,JavaScript
aws-serverless-twitter-event-source,64,14,16,Python
microservice-http-endpoint-python3,6,6,4,JavaScript
amazon-cloudfront-access-logs-queries,24,4,20,JavaScript
api-lambda-get-all-dynamodb,1,1,0,JavaScript
cloudfront-http-redirect,6,6,4,JavaScript
api-lambda-update-dynamodb,2,2,1,JavaScript
acloudguru-alexadevs-leaderboard,4,6,6,JavaScript
sns-subscription-filter-policy-string,97,17,16,Python
lambdium,211,12,31,JavaScript
s3-get-object-python,6,6,4,JavaScript
cfn-nag-pipeline,550,32,101,Ruby
lex-book-trip,6,6,4,JavaScript
api-lambda-get-one-dynamodb,5,1,0,JavaScript
pipeline-dashboard,84,8,34,JavaScript
lambda-layer-awscli,40,3,13,Makefile
rekognition-python,6,6,4,JavaScript
dynamodb-lex,2,1,1,JavaScript
aws-sagemaker-ground-truth-recipe,4,1,5,Python
sns-message-python,6,6,4,JavaScript
s3-get-object-python3,6,6,4,JavaScript
workmail-hello-world-python,5,3,5,Python
Chromium,827,42,156,Python
lambda-janitor,19,4,5,JavaScript
resize,85,8,39,JavaScript
DocumentGenerator,827,42,156,Python
cloudfront-modify-response-header,6,6,4,JavaScript
Pandas,827,42,156,Python
sqs-to-dynamodb,0,1,1,JavaScript
fork-event-storage-backup-pipeline,97,17,16,Python
Serverless-S3-Uploader,4,1,3,JavaScript
s3-lambda-publisher-sns,3,1,1,JavaScript
auto-subscribe-log-group-to-arn,28,1,3,JavaScript
dynamodb-process-stream-python3,6,6,4,JavaScript
s3-presigned-url,6494,333,1650,Python
fork-event-replay-pipeline,97,17,16,Python
elasticsearch-cleanup,97,16,63,Python
api-lambda-stripe-charge,27,3,4,JavaScript
helloWorldLex,22,3,10,JavaScript
aws-serverless-sqs-event-source,32,7,11,Java
lambda-canary-python3,6,6,4,JavaScript
stu,21,4,9,HTML
lex-order-flowers,6,6,4,JavaScript
tweet-sentiment,1,1,0,Python
fork-event-search-analytics-pipeline,97,17,16,Python
SecretsManagerRedshiftRotationMultiUser,49,15,56,Python
lambda-layer-kubectl,54,6,21,Makefile
api-lambda-sns-publisher,0,1,1,JavaScript
image-moderation-chatbot,115,46,51,Python
ses-notification-nodejs,6,6,4,JavaScript
serverless-form-handler,7,0,2,JavaScript
step-functions-send-to-sns,6,6,4,JavaScript
machine-learning-with-scikit-learn-on-lamdba,9,0,2,Python
aws-lambda-power-tuning,868,37,46,JavaScript
s3-static-site,6,1,2,None
serverless-chrome-layer,4,1,0,JavaScript
sumologic-securityhub-collector,94,46,105,Python
AutoUpdateCloudfrontSecurityGroups,4,2,0,Python
galleria,85,8,39,JavaScript
fork-example-ecommerce-checkout-pipeline,97,17,16,Python
slack-echo-command,6,6,4,JavaScript
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript
sumologic-slack,0,29,1,Python
fork-example-ecommerce-checkout-api,97,17,16,Python
timber-logging,3,8,2,Python
Twitter-Poller-to-Kinesis-Firehose,103,26,46,Python
lex-make-appointment,6,6,4,JavaScript
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
s3-replicator,3,1,3,JavaScript
slack-echo-command-python,6,6,4,JavaScript
whats-your-name,14,2,2,Python
