#function,stars,watchers,forks,language
github-codebuild-logs,13,2,0,Python
LogzioCloudWatchShipper,23,10,31,Python
hotdog-detector,86,35,23,Python
lambda-canary-python3,5717,333,1404,Python
ThundraHelloWorld,12,4,2,Java
datadog-process-rds-metrics,5717,333,1404,Python
lex-order-flowers-python,5717,333,1404,Python
cloudfront-ab-test,5717,333,1404,Python
NYC-Parks-Events-Crawler,5,0,4,Python
ImageProcessingPython,746,39,128,Python
UvaSoftware-Scanii-Lambda,19,3,5,JavaScript
ses-notification-python,5717,333,1404,Python
cloudwatch-alarm-to-slack-python,5717,333,1404,Python
lambda-canary,5717,333,1404,Python
cw-logs-to-lambda,1,1,0,Python
Load-testing,746,39,128,Python
aws-serverless-sns-forwarder,5,12,1,Python
kinesis-firehose-cloudwatch-logs-processor,5717,333,1404,Python
lambda-layer-kubectl,23,1,12,Makefile
python-lambdacore,4,1,0,Python
aws-sns-to-slack-publisher,16,1,6,Python
aws-internal-healthcheck,3,1,1,JavaScript
aws-serverless-codepipeline-serverlessrepo-publish,4,11,4,Python
cw-logs-to-slack,3,1,2,Makefile
serverless-numpy,2,1,1,Python
cloudwatch-logs-to-loggly,5717,333,1404,Python
aws-lambda-power-tuning,676,31,31,JavaScript
rotate,72,6,34,JavaScript
Packer-Cleaner,3,1,1,Python
cloudfront-simple-remote-call,5718,333,1404,Python
inbound-ses-spam-filter,5718,333,1404,Python
cognito-sync-trigger,5718,333,1404,Python
Cloudwatch-event-serverless-monitor-and-get-alerted-on-aws-account-activity,0,0,1,Python
Return-Set-Word-Python3,0,0,1,Python
s3-lambda-ffmpeg-mov-to-mp4-s3,4,1,1,JavaScript
cfn-look-up-ami-ids,5718,333,1404,Python
api-gateway-multiple-origin-cors,5718,333,1404,Python
retweet-leaderboard,10,2,1,Java
cloudfront-redirect-unauthenticated-users,5718,333,1404,Python
ServerlessEventTestTarget,1,1,0,JavaScript
algorithmia,5718,333,1404,Python
sumologic-mongodb-atlas,0,5,0,None
sumologic-securityhub-forwarder,81,45,99,Python
aws-health-event-to-slack-message,3,1,1,Python
Voice-Lexicon-API,0,1,0,Python
serverless-form-handler,4,0,2,JavaScript
Salesforce-API-Access-Manager-Monitor-Logger,2,2,1,JavaScript
plantuml-render,19,5,4,HTML
appsync-broadcaster,10,1,1,JavaScript
s3-cost-explorer,0,1,0,Python
EventWriter,4,2,0,JavaScript
inbound-ses-spam-filter-python,5718,333,1403,Python
inspector-scheduled-run,5718,333,1403,Python
kinesis-firehose-process-record-streams-as-source,5718,333,1403,Python
Glim,0,1,0,Python
s3-lambda-csv-to-xlsx-s3,3,1,2,JavaScript
cfn-stack-outputs,5718,333,1403,Python
human-trafficking-facts,0,0,0,JavaScript
codepipeline-s3-deploy,0,1,0,JavaScript
TweetEventSource,2,2,2,TypeScript
kinesis-firehose-syslog-to-json-python,5718,333,1403,Python
greengrass-hello-world,5718,333,1403,Python
kinesis-firehose-apachelog-to-csv,5718,333,1403,Python
alb-logs-firehose-publisher,4,1,0,Go
Kinesis-Enhanced-Fan-Out-to-DDB-S3,0,0,1,JavaScript
SAM-logging-regional-endpoints,0,1,0,JavaScript
metric-publisher-app,5,13,5,Python
portable-serverless-app,9,3,3,JavaScript
twitter-to-slack-message,0,1,0,Python
s3-pgp-encryptor,1,1,2,JavaScript
node-exec,5718,333,1403,Python
SecretsManagerRedshiftRotationMultiUser,40,11,35,Python
lambda-test-harness,5718,333,1403,Python
aurora-api,0,1,0,JavaScript
signalfx-enhanced-rds-metrics,4,33,1,Python
alexa-skill-clean-code-template,4,0,0,JavaScript
rekognition-sqs,7,0,4,Python
kinesis-analytics-process-record,5718,333,1403,Python
lambda-to-chime,0,1,0,Python
LightGBM,746,39,128,Python
kinesis-analytics-process-record-python,5718,333,1403,Python
Spacy,746,39,128,Python
cloudfront-multiple-remote-calls-aggregate-response,5718,333,1403,Python
EnergyProductFinder,0,1,0,Python
kinesis-firehose-apachelog-to-json-python,5718,333,1403,Python
kinesis-firehose-apachelog-to-json,5718,333,1403,Python
sepia,72,6,34,JavaScript
aws-sqs-dlq-redriver,3,1,1,Python
cloudfront-access-request-in-response,5718,333,1403,Python
RecyclingLocationFinder,0,1,0,Python
api-gateway-multiple-origin-cors,5718,333,1403,Python
auto-set-log-group-retention,10,1,1,JavaScript
sns-lambda-put-cloudwatch,1,1,0,JavaScript
EtsyShopEventSource,2,1,0,TypeScript
nephridium,1,0,0,JavaScript
cloudfront-authorization-at-edge,5,4,1,TypeScript
aws-serverless-financial-functions-wrapper,35,21,7,Python
SpheroAlexaSkill,4,1,0,JavaScript
guardduty-log-uploader,2,1,0,Go
exif-metadata-extractor,2,1,0,Python
lambda-versions-deleter,0,1,0,Python
monte-carlo-pi,0,1,0,Python
SecretsManagerMongoDBRotationMultiUser,40,11,35,Python
eks-lambda-drainer,0,0,0,None
aws-serverless-financial-functions-xirr,35,21,7,Python
aws-support-bot,0,0,0,Python
s3-lambda-csv-to-pdf-s3,0,1,0,JavaScript
uvasoftware-guarana,0,1,0,Java
s3-lambda-markdown-to-docx-s3,4,1,0,JavaScript
cloudfront-modify-querystring,5718,333,1403,Python
acm-dns-record-manager,1,1,0,JavaScript
photo-gallery,1,1,0,TypeScript
rsvg-convert-lambda-layer,28,1,9,JavaScript
aws-serverless-financial-functions-fv,35,21,7,Python
kinesis-analytics-process-compressed-record,5718,333,1403,Python
crop,72,6,34,JavaScript
blur,72,6,34,JavaScript
phone-home,0,1,0,JavaScript
s3-lambda-transcribe-audio-to-text-s3,61,2,0,JavaScript
aws-serverless-financial-functions-pv,35,21,7,Python
pushilka-cloudfront-headers,0,1,1,JavaScript
ApplicationCostMonitoring,9,3,1,Python
GenerateLookML,0,63,0,Python
logicmonitor-send-cloudwatch-events,0,18,0,Python
ssm-sign-proxy,0,2,0,Go
s3-lambda-ffmpeg-aac-wav-to-mp3-s3,2,2,1,JavaScript
LambdaEdgeRemoveTrailingSlash,1,1,0,JavaScript
comment-moderator,0,0,0,JavaScript
pandoc-lambda-layer,25,1,9,JavaScript
kinesis-firehose-syslog-to-csv-python,5718,333,1403,Python
url-redirect-https,63,6,24,Makefile
s3-lambda-svg-to-pdf-s3,0,1,0,JavaScript
failed-emr-info,0,1,1,Python
lending-app-nodejs6,0,0,0,JavaScript
OpenIdAuthorizer,3,1,1,C#
kinesis-firehose-syslog-to-csv,5718,333,1403,Python
ThundraImageLinkExtractor,12,4,2,Java
serverless-search,90,4,8,JavaScript
cfn-news-to-telegram,1,1,0,HTML
signed-url-generator,0,1,0,Python
trigger-t2-unlimited-with-sns,3,1,2,Python
rev11-attiotbutton-filemakerapi,0,2,0,None
kinesis-firehose-process-record-python,5718,333,1403,Python
LambdaScale,4,10,1,JavaScript
Cribl-S3-To-Snowflake,1,1,2,JavaScript
MWSAlerts,1,1,1,Python
mackerel-cloudwatch-forwarder,2,2,0,Go
blur-faces-rekognition,1,1,0,Python
HDFproc,746,39,128,Python
ACM-DynamoDB-Publisher,0,1,1,Python
api-websockets-push-notifications-dynamodb,1,1,0,JavaScript
json-logs-to-kinesis-firehose,0,1,0,Python
rev11-attiotbutton-SQL,0,2,0,None
appsync-graphql-crud-dynamodb,6,1,1,None
async-custom-metrics,4,0,0,JavaScript
s3-lambda-markdown-to-html-s3,1,1,0,JavaScript
s3-lambda-image-text-detection-dynamodb,1,1,0,TypeScript
ACM-S3-Publisher,2,1,1,Python
kinesis-firehose-apachelog-to-csv-python,5719,333,1403,Python
kinesis-firehose-process-record-streams-as-source-python,5719,333,1403,Python
lambda-layer-headless-chromium,27,1,2,Makefile
aws-serverless-financial-functions-pmt,35,21,7,Python
ghostscript-lambda-layer,0,1,0,Makefile
kinesis-analytics-process-kpl-record,5719,333,1403,Python
Mill,7,8,0,JavaScript
image-proxy,5,0,1,Go
kinesis-firehose-syslog-to-json,5719,333,1403,Python
lambda-customresource-testing,0,0,0,None
amazon-pinpoint-call-generator,5,1,2,JavaScript
lambda-create-email-template-ses,2,2,0,JavaScript
ddb-copier,4,2,3,Java
kinesis-data-firehose-to-s3,1,1,0,Makefile
workmail-chat-bot-python,5,2,3,Python
cdkbot,0,0,0,Go
Serverless-S3-Uploader,2,1,0,JavaScript
dungeon-maestro-slack-bot,2,1,0,Go
format-splunk-aws-sns-alert,0,1,0,Python
kim-demo,1,2,3,JavaScript
Carrier-Info,0,0,0,JavaScript
