#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,904,133,1097,JavaScript
alexa-skills-kit-nodejs-triviaskill,232,77,289,JavaScript
hello-world,5361,323,1270,Python
alexa-skills-kit-nodejs-howtoskill,225,55,195,JavaScript
microservice-http-endpoint,5361,323,1270,Python
alexa-skills-kit-color-expert-python,5361,323,1270,Python
image-resizer-service,44,0,24,JavaScript
Datadog-Log-Forwarder,88,128,121,Python
alexa-skills-kit-python36-factskill,68,21,118,Python
alexa-smart-home-skill-adapter,5361,323,1270,Python
alexa-skills-kit-color-expert,5361,323,1270,Python
uploader,69,5,33,JavaScript
api-lambda-save-dynamodb,21,2,7,JavaScript
hello-world-python3,5361,323,1270,Python
alexa-skills-kit-nodejs-premium-facts-skill,32,26,34,JavaScript
serverless-todo,17,3,7,JavaScript
https-request,5361,323,1270,Python
api-lambda-send-email-ses,11,2,2,JavaScript
api-gateway-dev-portal,437,38,142,JavaScript
hello-world-python,5361,323,1270,Python
cloudfront-response-generation,5361,323,1270,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,1,JavaScript
AmazonConnectSalesforceLambda,2,1,1,Python
s3-get-object,5361,323,1271,Python
hello-go-serverless-webapp,15,3,4,Go
image-processing-service,5361,323,1271,Python
Contact-Us,34,2,8,JavaScript
lambda-web-page-example,4,0,4,JavaScript
simple-mobile-backend,5361,323,1271,Python
alexa-skills-kit-nodejs-hello-world,144,54,220,PowerShell
NewRelic-log-ingestion,5,18,4,Python
ALB-Lambda-Target-HelloWorld,191,23,60,Java
serverless-cognito,40,2,6,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
cloudwatch-alarm-to-slack,5361,323,1271,Python
api-gateway-authorizer-nodejs,5361,323,1271,Python
sqs-poller,5361,323,1271,Python
aws-deployment-framework,90,25,17,Python
sns-message,5361,323,1271,Python
alexa-anagram,4,3,3,JavaScript
tic-tac-toe,1,1,1,Python
lambdium,193,11,31,JavaScript
Tesseract,710,41,112,Python
microservice-http-endpoint-python,5361,323,1271,Python
aws-serverless-twitter-event-source,54,14,14,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
cloudfront-http-redirect,5361,323,1271,Python
lambda-to-slack,3,1,2,Python
lambda-authorizer-basic-auth,23,1,2,Python
acloudguru-alexadevs-leaderboard,0,6,4,JavaScript
microservice-http-endpoint-python3,5361,323,1271,Python
rekognition-python,5361,323,1271,Python
pipeline-dashboard,63,8,25,JavaScript
api-lambda-get-one-dynamodb,2,1,0,JavaScript
amazon-cognito-passwordless-email-auth,45,2,20,TypeScript
s3-get-object-python3,5361,323,1271,Python
api-lambda-update-dynamodb,1,2,1,JavaScript
lex-book-trip,5361,323,1271,Python
SecretsManagerRedshiftRotationSingleUser,37,11,30,Python
sns-message-python,5361,323,1271,Python
sns-subscription-filter-policy-string,58,10,7,Python
s3-get-object-python,5361,323,1271,Python
helloWorldLex,21,3,10,JavaScript
resize,69,5,33,JavaScript
s3-lambda-publisher-sns,2,1,1,JavaScript
tweet-sentiment,0,1,0,Python
cfn-nag-pipeline,448,36,75,Ruby
aws-serverless-sqs-event-source,29,7,9,Java
stu,19,4,7,HTML
cloudfront-modify-response-header,5361,323,1272,Python
dynamodb-process-stream-python3,5361,323,1272,Python
step-functions-send-to-sns,5361,323,1272,Python
fork-event-storage-backup-pipeline,58,10,7,Python
api-lambda-stripe-charge,17,4,1,JavaScript
slack-echo-command,5361,323,1272,Python
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
s3-static-site,4,1,2,None
lex-order-flowers,5361,323,1272,Python
Pandas,710,41,112,Python
s3-replicator,2,1,2,JavaScript
api-lambda-sns-publisher,0,1,1,JavaScript
DocumentGenerator,710,41,112,Python
ses-notification-nodejs,5361,323,1272,Python
Twitter-Poller-to-Kinesis-Firehose,98,27,40,Python
image-moderation-chatbot,101,45,49,Python
workmail-hello-world-python,5,2,3,Python
sqs-to-dynamodb,0,1,0,JavaScript
dynamodb-lex,1,1,1,JavaScript
s3-presigned-url,5361,323,1272,Python
fork-event-replay-pipeline,58,10,7,Python
whats-your-name,11,2,2,Python
amazon-cloudfront-access-logs-queries,16,2,4,JavaScript
fork-event-search-analytics-pipeline,58,10,7,Python
machine-learning-with-scikit-learn-on-lamdba,8,0,1,Python
slack-slash-hodor,1,1,0,JavaScript
Chromium,710,41,112,Python
galleria,69,5,33,JavaScript
AutoUpdateCloudfrontSecurityGroups,3,2,0,Python
aws-sagemaker-ground-truth-recipe,2,0,2,Python
timber-logging,3,8,1,Python
auto-subscribe-log-group-to-arn,3,2,1,JavaScript
slack-echo-command-python,5361,323,1272,Python
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript
api-gateway-authorizer-python,5361,323,1272,Python
elasticsearch-cleanup,78,21,51,HCL
kinesis-process-record,5361,323,1272,Python
fork-example-ecommerce-checkout-pipeline,58,10,7,Python
lex-make-appointment,5361,323,1272,Python
sns-subscriber-lambda-s3,3,1,1,JavaScript
fork-example-ecommerce-checkout-api,58,10,7,Python
serverless-chrome-layer,1,1,0,JavaScript
api-lambda-delete-dynamodb,1,1,0,JavaScript
cloudfront-s3-origin-website-redirects,0,0,1,JavaScript
greengrass-hello-world-nodejs,5362,323,1272,Python
cloudfront-redirect-on-viewer-country,5362,323,1272,Python
kinesis-process-record-python,5362,323,1272,Python
python-sam-codebuild-ci,3,2,1,None
compress,69,5,33,JavaScript
lex-book-trip-python,5362,323,1272,Python
cloudwatch-logs-process-data,5362,323,1272,Python
cloudwatch-alarm-to-slack-python3,5362,323,1272,Python
dynamodb-lambda-publisher-sns,0,1,0,JavaScript
github-codebuild-logs,11,2,0,Python
alexa-city-biking-skill,2,1,2,JavaScript
ecr-deploy,6,1,3,Python
LogzioCloudWatchShipper,21,9,29,Python
hotdog-detector,85,36,23,Python
aws-tag-explorer,7,1,2,Python
lex-make-appointment-python,5362,323,1272,Python
sumologic-loggroup-connector,76,43,94,JavaScript
cloudfront-ab-test,5362,323,1272,Python
datadog-process-rds-metrics,5362,323,1272,Python
lambda-canary-python3,5362,323,1272,Python
