#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,952,140,1153,JavaScript
alexa-skills-kit-nodejs-triviaskill,240,77,309,JavaScript
hello-world,6028,328,1528,Python
alexa-skills-kit-nodejs-howtoskill,231,57,202,JavaScript
Datadog-Log-Forwarder,113,156,169,Python
microservice-http-endpoint,6028,328,1528,Python
alexa-skills-kit-python36-factskill,81,22,139,Python
alexa-skills-kit-color-expert-python,6028,328,1528,Python
image-resizer-service,54,0,28,JavaScript
alexa-smart-home-skill-adapter,6028,328,1528,Python
alexa-skills-kit-nodejs-premium-facts-skill,48,27,49,JavaScript
alexa-skills-kit-color-expert,6028,328,1528,Python
uploader,72,6,34,JavaScript
api-gateway-dev-portal,480,36,162,JavaScript
api-lambda-save-dynamodb,29,2,9,JavaScript
api-lambda-send-email-ses,16,2,3,JavaScript
aws-deployment-framework,177,29,46,Python
hello-world-python3,6028,328,1528,Python
serverless-todo,20,3,11,JavaScript
https-request,6028,328,1528,Python
hello-world-python,6028,328,1528,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
alexa-skills-kit-nodejs-hello-world,146,58,241,JavaScript
NewRelic-log-ingestion,7,16,10,Python
cloudfront-response-generation,6028,328,1528,Python
AmazonConnectSalesforceLambda,4,1,1,Python
ALB-Lambda-Target-HelloWorld,199,21,59,Java
