#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,937,135,1126,JavaScript
alexa-skills-kit-nodejs-triviaskill,237,76,303,JavaScript
hello-world,5813,329,1429,Python
alexa-skills-kit-nodejs-howtoskill,229,56,200,JavaScript
Datadog-Log-Forwarder,109,149,152,Python
microservice-http-endpoint,5813,329,1429,Python
alexa-skills-kit-color-expert-python,5813,329,1429,Python
image-resizer-service,54,0,27,JavaScript
alexa-skills-kit-python36-factskill,71,21,133,Python
alexa-smart-home-skill-adapter,5813,329,1429,Python
alexa-skills-kit-nodejs-premium-facts-skill,44,27,47,JavaScript
alexa-skills-kit-color-expert,5813,329,1429,Python
uploader,72,6,34,JavaScript
api-lambda-save-dynamodb,28,2,8,JavaScript
api-gateway-dev-portal,465,36,157,JavaScript
api-lambda-send-email-ses,15,2,3,JavaScript
hello-world-python3,5813,329,1429,Python
serverless-todo,19,3,9,JavaScript
https-request,5813,329,1429,Python
hello-world-python,5813,329,1429,Python
aws-deployment-framework,150,24,34,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
cloudfront-response-generation,5813,329,1429,Python
alexa-skills-kit-nodejs-hello-world,143,56,234,JavaScript
AmazonConnectSalesforceLambda,4,1,1,Python
ALB-Lambda-Target-HelloWorld,196,22,59,Java
NewRelic-log-ingestion,5,17,6,Python
hello-go-serverless-webapp,16,3,4,Go
image-processing-service,5813,329,1429,Python
s3-get-object,5813,329,1429,Python
Contact-Us,36,2,12,JavaScript
simple-mobile-backend,5813,329,1429,Python
lambda-web-page-example,4,0,5,JavaScript
api-gateway-authorizer-nodejs,5813,329,1429,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
sqs-poller,5813,329,1429,Python
serverless-cognito,43,2,6,Python
image-magick-lambda-layer,23,5,5,JavaScript
Tesseract,755,39,130,Python
lambda-to-slack,4,1,2,Python
alexa-anagram,4,3,4,JavaScript
sns-message,5813,329,1429,Python
tic-tac-toe,1,1,1,Python
ffmpeg-lambda-layer,60,8,12,JavaScript
microservice-http-endpoint-python,5813,329,1429,Python
CodePipelineSlackNotifier,59,2,24,Shell
lambdium,203,10,31,JavaScript
amazon-cognito-passwordless-email-auth,59,3,24,TypeScript
SecretsManagerRedshiftRotationSingleUser,41,12,39,Python
