#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,938,138,1142,JavaScript
alexa-skills-kit-nodejs-triviaskill,240,77,307,JavaScript
hello-world,5941,333,1474,Python
alexa-skills-kit-nodejs-howtoskill,231,57,201,JavaScript
Datadog-Log-Forwarder,112,153,160,Python
microservice-http-endpoint,5941,333,1474,Python
alexa-skills-kit-python36-factskill,79,22,140,Python
alexa-skills-kit-color-expert-python,5941,333,1474,Python
image-resizer-service,54,0,28,JavaScript
alexa-smart-home-skill-adapter,5941,333,1474,Python
alexa-skills-kit-nodejs-premium-facts-skill,46,27,47,JavaScript
alexa-skills-kit-color-expert,5941,333,1474,Python
uploader,72,6,34,JavaScript
api-gateway-dev-portal,472,36,159,JavaScript
api-lambda-save-dynamodb,29,2,8,JavaScript
api-lambda-send-email-ses,16,2,3,JavaScript
hello-world-python3,5941,333,1474,Python
serverless-todo,19,3,10,JavaScript
aws-deployment-framework,170,30,42,Python
https-request,5941,333,1474,Python
hello-world-python,5941,333,1474,Python
alexa-skills-kit-nodejs-hello-world,146,58,237,JavaScript
AmazonConnectSalesforceLambda,4,1,1,Python
ALB-Lambda-Target-HelloWorld,197,21,59,Java
hello-go-serverless-webapp,16,3,4,Go
image-processing-service,5941,333,1474,Python
cloudwatch-alarm-to-slack,5941,333,1474,Python
s3-get-object,5941,333,1474,Python
simple-mobile-backend,5941,333,1474,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
image-magick-lambda-layer,26,6,8,JavaScript
Contact-Us,37,2,12,JavaScript
sqs-poller,5941,333,1474,Python
lambda-web-page-example,4,0,5,JavaScript
api-gateway-authorizer-nodejs,5941,333,1474,Python
ffmpeg-lambda-layer,69,8,12,JavaScript
serverless-cognito,44,2,6,Python
lambda-to-slack,4,1,3,Python
Tesseract,766,39,137,Python
alexa-anagram,4,3,4,JavaScript
sns-message,5941,333,1474,Python
tic-tac-toe,1,1,1,Python
amazon-cognito-passwordless-email-auth,60,4,24,TypeScript
microservice-http-endpoint-python,5941,333,1474,Python
SecretsManagerRedshiftRotationSingleUser,42,13,42,Python
CodePipelineSlackNotifier,60,2,24,Shell
cloudfront-http-redirect,5941,333,1474,Python
lambdium,210,12,32,JavaScript
api-lambda-get-all-dynamodb,1,1,0,JavaScript
lambda-authorizer-basic-auth,25,1,2,Python
microservice-http-endpoint-python3,5941,333,1474,Python
aws-serverless-twitter-event-source,60,15,15,Python
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
lightsail-backups,45,10,18,JavaScript
api-lambda-update-dynamodb,2,2,1,JavaScript
cfn-nag-pipeline,499,33,95,Ruby
pipeline-dashboard,80,8,31,JavaScript
s3-get-object-python,5941,333,1474,Python
sns-subscription-filter-policy-string,89,14,15,Python
rekognition-python,5941,333,1474,Python
amazon-cloudfront-access-logs-queries,18,3,12,JavaScript
api-lambda-get-one-dynamodb,5,1,0,JavaScript
sns-message-python,5941,333,1474,Python
lex-book-trip,5941,333,1474,Python
dynamodb-lex,1,1,1,JavaScript
SecretsManagerMongoDBRotationSingleUser,42,13,42,Python
s3-get-object-python3,5941,333,1474,Python
resize,72,6,34,JavaScript
aws-sagemaker-ground-truth-recipe,3,1,4,Python
s3-lambda-publisher-sns,2,1,1,JavaScript
helloWorldLex,22,3,10,JavaScript
Chromium,767,39,137,Python
cloudfront-modify-response-header,5942,333,1474,Python
Pandas,767,39,137,Python
dynamodb-process-stream-python3,5942,333,1474,Python
aws-serverless-sqs-event-source,31,7,9,Java
fork-event-storage-backup-pipeline,89,14,15,Python
api-lambda-stripe-charge,20,4,2,JavaScript
workmail-hello-world-python,5,3,4,Python
DocumentGenerator,767,39,137,Python
s3-presigned-url,5942,333,1474,Python
stu,21,4,9,HTML
tweet-sentiment,0,1,0,Python
step-functions-send-to-sns,5942,333,1474,Python
sqs-to-dynamodb,0,1,1,JavaScript
api-lambda-sns-publisher,0,1,1,JavaScript
lex-order-flowers,5942,333,1474,Python
fork-event-replay-pipeline,89,14,15,Python
elasticsearch-cleanup,91,19,58,HCL
image-moderation-chatbot,109,45,50,Python
slack-echo-command,5942,333,1474,Python
fork-event-search-analytics-pipeline,89,14,15,Python
galleria,72,6,34,JavaScript
Twitter-Poller-to-Kinesis-Firehose,101,27,42,Python
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
machine-learning-with-scikit-learn-on-lamdba,9,0,2,Python
whats-your-name,13,2,2,Python
s3-replicator,2,1,3,JavaScript
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript
slack-echo-command-python,5942,333,1474,Python
fork-example-ecommerce-checkout-pipeline,89,14,15,Python
timber-logging,3,8,2,Python
AutoUpdateCloudfrontSecurityGroups,3,2,0,Python
serverless-chrome-layer,2,1,0,JavaScript
fork-example-ecommerce-checkout-api,89,14,15,Python
lex-make-appointment,5942,333,1474,Python
sumologic-securityhub-collector,86,45,101,Python
slack-slash-hodor,1,1,1,JavaScript
api-gateway-authorizer-python,5942,333,1474,Python
kinesis-process-record,5942,333,1474,Python
sns-subscriber-lambda-s3,3,1,1,JavaScript
compress,72,6,34,JavaScript
greengrass-hello-world-nodejs,5942,333,1474,Python
api-lambda-delete-dynamodb,1,1,0,JavaScript
lambda-janitor,4,4,1,JavaScript
cloudfront-s3-origin-website-redirects,0,0,1,JavaScript
cloudwatch-alarm-to-slack-python3,5942,333,1474,Python
S3-Image-Monitoring-Detection-Using-Rekognition-Publish-Data-on-SNS,3,1,1,Python
serverless-form-handler,5,0,3,JavaScript
lex-book-trip-python,5942,333,1474,Python
aws-tag-explorer,8,1,3,Python
ThundraHelloWorld,13,4,2,Java
kinesis-process-record-python,5942,333,1474,Python
cloudfront-redirect-on-viewer-country,5942,333,1474,Python
ecr-deploy,7,1,3,Python
cw-logs-to-chime,0,1,0,Python
cloudwatch-logs-process-data,5942,333,1474,Python
python-sam-codebuild-ci,3,2,1,None
lambda-layer-kubectl,30,2,12,Makefile
lex-make-appointment-python,5942,333,1474,Python
LogzioCloudWatchShipper,23,10,32,Python
NYC-Parks-Events-Crawler,6,0,4,Python
hotdog-detector,87,37,23,Python
lambda-canary-python3,5942,333,1474,Python
aws-serverless-codepipeline-serverlessrepo-publish,6,10,4,Python
cloudfront-ab-test,5942,333,1474,Python
aws-lambda-power-tuning,732,34,33,JavaScript
lex-order-flowers-python,5942,333,1474,Python
aws-serverless-sns-forwarder,5,11,1,Python
cw-logs-to-lambda,1,1,0,Python
rotate,72,6,34,JavaScript
cloudwatch-alarm-to-slack-python,5942,333,1474,Python
python-lambdacore,6,1,0,Python
ses-notification-python,5942,333,1474,Python
lambda-canary,5942,333,1474,Python
kinesis-firehose-cloudwatch-logs-processor,5942,333,1474,Python
sumologic-mongodb-atlas,0,5,0,Python
api-gateway-multiple-origin-cors,5942,333,1474,Python
cw-logs-to-slack,3,1,2,Makefile
cognito-sync-trigger,5942,333,1474,Python
serverless-numpy,2,1,1,Python
Serverless-S3-Uploader,2,1,0,JavaScript
aws-sns-to-slack-publisher,16,1,6,Python
cloudfront-simple-remote-call,5942,333,1474,Python
inbound-ses-spam-filter,5942,333,1474,Python
cloudwatch-logs-to-loggly,5942,333,1474,Python
TweetEventSource,2,2,2,TypeScript
Packer-Cleaner,3,1,1,Python
Return-Set-Word-Python3,0,0,1,Python
async-custom-metrics,6,0,0,JavaScript
sumologic-securityhub-forwarder,86,45,101,Python
cfn-look-up-ami-ids,5942,333,1474,Python
Kinesis-Enhanced-Fan-Out-to-DDB-S3,0,0,1,JavaScript
Cloudwatch-event-serverless-monitor-and-get-alerted-on-aws-account-activity,0,0,1,Python
plantuml-render,19,5,4,HTML
ServerlessEventTestTarget,1,1,0,JavaScript
cloudfront-redirect-unauthenticated-users,5942,333,1474,Python
s3-lambda-ffmpeg-mov-to-mp4-s3,4,1,3,JavaScript
Salesforce-API-Access-Manager-Monitor-Logger,2,2,1,JavaScript
cfn-stack-outputs,5942,333,1474,Python
appsync-broadcaster,11,1,1,JavaScript
aws-health-event-to-slack-message,3,1,1,Python
retweet-leaderboard,10,2,1,Java
alexa-skill-clean-code-template,4,0,0,JavaScript
algorithmia,5942,333,1474,Python
Voice-Lexicon-API,0,1,0,Python
inbound-ses-spam-filter-python,5942,333,1474,Python
inspector-scheduled-run,5942,333,1474,Python
kinesis-firehose-apachelog-to-json,5942,333,1474,Python
s3-lambda-csv-to-xlsx-s3,3,1,2,JavaScript
s3-cost-explorer,0,1,0,Python
EventWriter,4,2,0,JavaScript
kinesis-firehose-process-record-streams-as-source,5942,333,1474,Python
pandoc-lambda-layer,25,1,10,JavaScript
portable-serverless-app,9,4,3,JavaScript
human-trafficking-facts,0,0,0,JavaScript
codepipeline-s3-deploy,0,1,0,JavaScript
kinesis-firehose-apachelog-to-json-python,5942,333,1474,Python
aurora-api,0,1,0,JavaScript
kinesis-firehose-syslog-to-json-python,5942,333,1474,Python
kinesis-firehose-apachelog-to-csv,5942,333,1474,Python
alb-logs-firehose-publisher,5,1,0,Go
node-exec,5942,333,1474,Python
SAM-logging-regional-endpoints,0,1,0,JavaScript
metric-publisher-app,5,12,6,Python
auto-set-log-group-retention,15,1,1,JavaScript
kinesis-analytics-process-record,5942,333,1474,Python
twitter-to-slack-message,0,1,0,Python
s3-pgp-encryptor,2,1,3,JavaScript
sepia,72,6,34,JavaScript
rekognition-sqs,7,0,5,Python
SecretsManagerRedshiftRotationMultiUser,42,13,42,Python
api-gateway-multiple-origin-cors,5942,333,1474,Python
lambda-test-harness,5942,333,1474,Python
LightGBM,767,39,137,Python
signalfx-enhanced-rds-metrics,4,33,2,Python
kinesis-analytics-process-record-python,5942,333,1474,Python
aws-support-bot,0,0,0,Python
LambdaEdgeRemoveTrailingSlash,2,1,0,JavaScript
photo-gallery,1,1,0,TypeScript
workmail-wordpress-python,5,3,4,Python
lambda-to-chime,0,1,0,Python
blur,72,6,34,JavaScript
