#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,941,139,1145,JavaScript
alexa-skills-kit-nodejs-triviaskill,240,77,307,JavaScript
hello-world,5960,333,1479,Python
alexa-skills-kit-nodejs-howtoskill,231,57,201,JavaScript
Datadog-Log-Forwarder,112,152,162,Python
microservice-http-endpoint,5960,333,1479,Python
alexa-skills-kit-python36-factskill,79,22,140,Python
alexa-skills-kit-color-expert-python,5960,333,1479,Python
image-resizer-service,54,0,28,JavaScript
alexa-smart-home-skill-adapter,5960,333,1479,Python
alexa-skills-kit-nodejs-premium-facts-skill,46,27,47,JavaScript
alexa-skills-kit-color-expert,5960,333,1479,Python
uploader,72,6,34,JavaScript
api-gateway-dev-portal,473,36,159,JavaScript
api-lambda-save-dynamodb,29,2,8,JavaScript
api-lambda-send-email-ses,16,2,3,JavaScript
hello-world-python3,5960,333,1479,Python
serverless-todo,19,3,10,JavaScript
https-request,5960,333,1479,Python
hello-world-python,5960,333,1479,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
alexa-skills-kit-nodejs-hello-world,146,58,238,JavaScript
cloudfront-response-generation,5960,333,1479,Python
NewRelic-log-ingestion,6,16,9,Python
hello-go-serverless-webapp,16,3,4,Go
image-processing-service,5960,333,1479,Python
cloudwatch-alarm-to-slack,5960,333,1479,Python
s3-get-object,5960,333,1479,Python
Contact-Us,37,2,12,JavaScript
sqs-poller,5960,333,1479,Python
ffmpeg-lambda-layer,69,8,12,JavaScript
lambda-web-page-example,4,0,5,JavaScript
serverless-cognito,44,2,6,Python
lambda-to-slack,4,1,3,Python
Tesseract,768,39,140,Python
alexa-anagram,4,3,4,JavaScript
sns-message,5960,333,1479,Python
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,5960,333,1479,Python
SecretsManagerRedshiftRotationSingleUser,43,13,42,Python
CodePipelineSlackNotifier,60,2,24,Shell
cloudfront-http-redirect,5960,333,1479,Python
lambda-authorizer-basic-auth,25,1,2,Python
lambdium,210,12,32,JavaScript
api-lambda-get-all-dynamodb,1,1,0,JavaScript
microservice-http-endpoint-python3,5960,333,1479,Python
lightsail-backups,45,10,19,JavaScript
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
cfn-nag-pipeline,501,33,95,Ruby
api-lambda-update-dynamodb,2,2,1,JavaScript
s3-get-object-python,5960,333,1479,Python
pipeline-dashboard,80,8,31,JavaScript
sns-subscription-filter-policy-string,89,14,15,Python
rekognition-python,5960,333,1479,Python
amazon-cloudfront-access-logs-queries,19,3,12,JavaScript
api-lambda-get-one-dynamodb,5,1,0,JavaScript
lex-book-trip,5960,333,1479,Python
sns-message-python,5961,333,1479,Python
dynamodb-lex,1,1,1,JavaScript
SecretsManagerMongoDBRotationSingleUser,43,13,42,Python
s3-get-object-python3,5961,333,1479,Python
resize,72,6,34,JavaScript
aws-sagemaker-ground-truth-recipe,3,1,4,Python
s3-lambda-publisher-sns,2,1,1,JavaScript
helloWorldLex,22,3,10,JavaScript
Chromium,768,39,140,Python
dynamodb-process-stream-python3,5961,333,1479,Python
cloudfront-modify-response-header,5961,333,1479,Python
Pandas,768,39,140,Python
workmail-hello-world-python,5,3,4,Python
aws-serverless-sqs-event-source,32,7,9,Java
fork-event-storage-backup-pipeline,89,14,15,Python
