#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,964,140,1157,JavaScript
hello-world,6066,329,1546,Python
alexa-skills-kit-nodejs-triviaskill,240,77,309,JavaScript
alexa-skills-kit-nodejs-howtoskill,232,57,202,JavaScript
Datadog-Log-Forwarder,117,159,174,Python
microservice-http-endpoint,6066,329,1546,Python
alexa-skills-kit-python36-factskill,82,22,141,Python
alexa-skills-kit-color-expert-python,6066,329,1546,Python
image-resizer-service,55,0,28,JavaScript
alexa-smart-home-skill-adapter,6066,329,1546,Python
alexa-skills-kit-nodejs-premium-facts-skill,49,27,49,JavaScript
alexa-skills-kit-color-expert,6066,329,1546,Python
uploader,72,6,35,JavaScript
api-gateway-dev-portal,484,37,163,JavaScript
aws-deployment-framework,182,30,47,Python
api-lambda-save-dynamodb,30,2,9,JavaScript
api-lambda-send-email-ses,16,2,3,JavaScript
hello-world-python3,6066,329,1546,Python
serverless-todo,20,3,12,JavaScript
https-request,6066,329,1546,Python
hello-world-python,6066,329,1546,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
alexa-skills-kit-nodejs-hello-world,147,58,241,JavaScript
NewRelic-log-ingestion,7,16,10,Python
cloudfront-response-generation,6067,329,1546,Python
AmazonConnectSalesforceLambda,4,1,1,Python
ALB-Lambda-Target-HelloWorld,200,21,59,Java
image-magick-lambda-layer,28,6,11,JavaScript
hello-go-serverless-webapp,16,3,4,Go
image-processing-service,6067,329,1546,Python
SecretsManagerRedshiftRotationSingleUser,46,14,42,Python
cloudwatch-alarm-to-slack,6067,329,1546,Python
ffmpeg-lambda-layer,71,8,13,JavaScript
s3-get-object,6067,329,1546,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
simple-mobile-backend,6067,329,1546,Python
sqs-poller,6067,329,1546,Python
lambda-to-slack,4,1,5,Python
Contact-Us,38,2,12,JavaScript
lambda-web-page-example,4,0,5,JavaScript
api-gateway-authorizer-nodejs,6067,329,1546,Python
serverless-cognito,45,2,6,Python
alexa-anagram,4,3,3,JavaScript
Tesseract,785,40,147,Python
sns-message,6067,329,1546,Python
microservice-http-endpoint-python,6067,329,1546,Python
CodePipelineSlackNotifier,62,2,25,Shell
lambda-authorizer-basic-auth,26,1,2,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
cloudfront-http-redirect,6067,329,1546,Python
microservice-http-endpoint-python3,6067,329,1546,Python
aws-serverless-twitter-event-source,62,15,15,Python
lambdium,212,12,31,JavaScript
SecretsManagerMongoDBRotationSingleUser,46,14,42,Python
lightsail-backups,45,10,19,JavaScript
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
api-lambda-update-dynamodb,2,2,1,JavaScript
cfn-nag-pipeline,511,33,97,Ruby
amazon-cloudfront-access-logs-queries,20,3,13,JavaScript
s3-get-object-python,6067,329,1546,Python
rekognition-python,6067,329,1546,Python
lex-book-trip,6067,329,1546,Python
sns-message-python,6067,329,1546,Python
dynamodb-lex,2,1,1,JavaScript
s3-get-object-python3,6067,329,1546,Python
resize,72,6,35,JavaScript
DocumentGenerator,786,40,147,Python
s3-lambda-publisher-sns,2,1,1,JavaScript
auto-subscribe-log-group-to-arn,21,1,2,JavaScript
workmail-hello-world-python,5,3,4,Python
helloWorldLex,22,3,10,JavaScript
api-lambda-stripe-charge,23,4,3,JavaScript
dynamodb-process-stream-python3,6067,329,1546,Python
fork-event-storage-backup-pipeline,93,15,15,Python
tweet-sentiment,1,1,0,Python
stu,21,4,9,HTML
elasticsearch-cleanup,93,18,60,HCL
lex-order-flowers,6067,329,1546,Python
cloudfront-authorization-at-edge,16,4,6,TypeScript
image-moderation-chatbot,110,45,50,Python
api-lambda-sns-publisher,0,1,1,JavaScript
lambda-layer-awscli,36,3,9,Makefile
ses-notification-nodejs,6067,329,1546,Python
fork-event-search-analytics-pipeline,93,15,15,Python
galleria,72,6,35,JavaScript
machine-learning-with-scikit-learn-on-lamdba,9,0,2,Python
slack-echo-command,6067,329,1546,Python
s3-static-site,5,1,2,None
lambda-janitor,11,4,2,JavaScript
Twitter-Poller-to-Kinesis-Firehose,102,27,44,Python
AutoUpdateCloudfrontSecurityGroups,3,2,0,Python
whats-your-name,13,2,2,Python
s3-replicator,2,1,3,JavaScript
slack-echo-command-python,6067,329,1546,Python
timber-logging,3,8,2,Python
lex-make-appointment,6067,329,1546,Python
fork-example-ecommerce-checkout-pipeline,93,15,15,Python
sumologic-securityhub-collector,87,44,101,Python
serverless-chrome-layer,3,1,0,JavaScript
fork-example-ecommerce-checkout-api,93,15,15,Python
api-gateway-authorizer-python,6067,329,1546,Python
compress,72,6,35,JavaScript
github-codebuild-logs,21,4,3,Python
serverless-form-handler,6,0,2,JavaScript
slack-slash-hodor,1,1,1,JavaScript
