#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,912,135,1103,JavaScript
alexa-skills-kit-nodejs-triviaskill,238,76,293,JavaScript
hello-world,5498,321,1323,Python
alexa-skills-kit-nodejs-howtoskill,229,56,197,JavaScript
microservice-http-endpoint,5498,321,1323,Python
alexa-skills-kit-color-expert-python,5498,321,1323,Python
Datadog-Log-Forwarder,97,135,128,Python
image-resizer-service,45,0,25,JavaScript
alexa-skills-kit-python36-factskill,68,23,123,Python
alexa-smart-home-skill-adapter,5498,321,1323,Python
alexa-skills-kit-color-expert,5498,321,1323,Python
alexa-skills-kit-nodejs-premium-facts-skill,40,26,42,JavaScript
uploader,71,5,33,JavaScript
api-lambda-save-dynamodb,22,2,8,JavaScript
hello-world-python3,5498,321,1323,Python
serverless-todo,19,3,7,JavaScript
api-gateway-dev-portal,448,35,147,JavaScript
https-request,5498,321,1323,Python
api-lambda-send-email-ses,11,2,2,JavaScript
hello-world-python,5498,321,1323,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
cloudfront-response-generation,5498,321,1323,Python
AmazonConnectSalesforceLambda,3,1,1,Python
aws-deployment-framework,112,25,21,Python
hello-go-serverless-webapp,15,3,4,Go
s3-get-object,5498,321,1323,Python
ALB-Lambda-Target-HelloWorld,192,22,59,Java
alexa-skills-kit-nodejs-hello-world,144,55,222,PowerShell
NewRelic-log-ingestion,5,18,4,Python
image-processing-service,5498,321,1323,Python
Contact-Us,35,2,10,JavaScript
lambda-web-page-example,4,0,4,JavaScript
simple-mobile-backend,5498,321,1323,Python
serverless-cognito,42,2,6,Python
cloudwatch-alarm-to-slack,5498,321,1323,Python
api-gateway-authorizer-nodejs,5498,321,1323,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
sqs-poller,5498,321,1322,Python
sns-message,5498,321,1322,Python
alexa-anagram,4,3,3,JavaScript
tic-tac-toe,1,1,1,Python
Tesseract,718,40,117,Python
lambdium,195,11,30,JavaScript
microservice-http-endpoint-python,5498,321,1322,Python
lambda-to-slack,4,1,2,Python
aws-serverless-twitter-event-source,54,14,14,Python
cloudfront-http-redirect,5498,321,1322,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
