#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,883,132,1084,JavaScript
alexa-skills-kit-nodejs-triviaskill,228,77,283,JavaScript
hello-world,5194,325,1202,Python
alexa-skills-kit-nodejs-howtoskill,225,55,193,JavaScript
microservice-http-endpoint,5194,325,1202,Python
alexa-skills-kit-color-expert-python,5194,325,1202,Python
image-resizer-service,41,0,22,JavaScript
Datadog-Log-Forwarder,84,130,111,Python
alexa-smart-home-skill-adapter,5194,325,1201,Python
alexa-skills-kit-python36-factskill,68,21,111,Python
uploader,64,5,30,JavaScript
alexa-skills-kit-color-expert,5194,325,1201,Python
api-lambda-save-dynamodb,19,2,7,JavaScript
hello-world-python3,5194,325,1201,Python
serverless-todo,15,3,7,JavaScript
https-request,5194,325,1201,Python
api-gateway-dev-portal,418,38,134,JavaScript
hello-world-python,5194,325,1201,Python
api-lambda-send-email-ses,9,2,2,JavaScript
alexa-skills-kit-nodejs-premium-facts-skill,27,26,32,JavaScript
cloudfront-response-generation,5194,325,1201,Python
s3-get-object,5194,325,1200,Python
AmazonConnectSalesforceLambda,2,1,1,Python
Contact-Us,33,2,7,JavaScript
lambda-web-page-example,4,0,3,JavaScript
image-processing-service,5194,325,1200,Python
hello-go-serverless-webapp,15,3,5,Go
simple-mobile-backend,5194,325,1200,Python
serverless-cognito,38,2,6,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,1,JavaScript
NewRelic-log-ingestion,4,18,3,Python
api-gateway-authorizer-nodejs,5194,325,1200,Python
cloudwatch-alarm-to-slack,5194,325,1200,Python
ALB-Lambda-Target-HelloWorld,189,23,59,Java
sqs-poller,5194,325,1200,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
lambdium,191,10,31,JavaScript
sns-message,5194,325,1200,Python
alexa-anagram,4,3,4,JavaScript
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,5194,325,1200,Python
aws-serverless-twitter-event-source,52,13,13,Python
alexa-skills-kit-nodejs-hello-world,139,55,213,PowerShell
Tesseract,695,41,112,Python
cloudfront-http-redirect,5194,325,1200,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
rekognition-python,5194,325,1200,Python
acloudguru-alexadevs-leaderboard,0,6,4,JavaScript
lambda-to-slack,2,1,2,Python
microservice-http-endpoint-python3,5194,325,1200,Python
lambda-authorizer-basic-auth,23,1,1,Python
pipeline-dashboard,60,8,22,JavaScript
s3-get-object-python3,5194,325,1200,Python
lex-book-trip,5194,325,1200,Python
api-lambda-get-one-dynamodb,2,1,0,JavaScript
helloWorldLex,21,3,10,JavaScript
s3-get-object-python,5194,325,1200,Python
api-lambda-update-dynamodb,1,2,1,JavaScript
sns-message-python,5194,325,1200,Python
resize,64,5,30,JavaScript
sns-subscription-filter-policy-string,47,6,5,Python
tweet-sentiment,0,1,0,Python
SecretsManagerRedshiftRotationSingleUser,34,11,30,Python
s3-lambda-publisher-sns,2,1,1,JavaScript
aws-serverless-sqs-event-source,28,7,8,Java
cfn-nag-pipeline,437,35,73,Ruby
stu,19,4,7,HTML
amazon-cognito-passwordless-email-auth,36,2,17,TypeScript
dynamodb-process-stream-python3,5194,325,1200,Python
cloudfront-modify-response-header,5194,325,1200,Python
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
api-lambda-stripe-charge,14,3,1,JavaScript
slack-echo-command,5194,325,1200,Python
step-functions-send-to-sns,5194,325,1200,Python
s3-static-site,3,1,2,None
s3-replicator,2,1,2,JavaScript
DocumentGenerator,695,41,112,Python
lex-order-flowers,5194,325,1200,Python
Pandas,695,41,112,Python
ses-notification-nodejs,5194,325,1200,Python
image-moderation-chatbot,98,44,47,Python
fork-event-storage-backup-pipeline,47,6,5,Python
whats-your-name,11,2,2,Python
api-lambda-sns-publisher,0,1,1,JavaScript
workmail-hello-world-python,5,2,2,Python
slack-slash-hodor,1,1,0,JavaScript
machine-learning-with-scikit-learn-on-lamdba,8,0,1,Python
dynamodb-lex,1,1,1,JavaScript
Twitter-Poller-to-Kinesis-Firehose,95,25,39,Python
AutoUpdateCloudfrontSecurityGroups,3,2,0,Python
s3-presigned-url,5194,325,1200,Python
galleria,64,5,30,JavaScript
sqs-to-dynamodb,0,1,0,JavaScript
fork-event-replay-pipeline,47,6,5,Python
aws-sagemaker-ground-truth-recipe,1,0,1,Python
slack-echo-command-python,5194,325,1200,Python
timber-logging,2,8,2,Python
amazon-cloudfront-access-logs-queries,14,2,2,JavaScript
kinesis-process-record,5194,325,1200,Python
Chromium,695,41,112,Python
fork-event-search-analytics-pipeline,47,6,5,Python
api-gateway-authorizer-python,5194,325,1200,Python
elasticsearch-cleanup,76,21,51,HCL
lex-make-appointment,5194,325,1200,Python
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript
sns-subscriber-lambda-s3,3,1,1,JavaScript
fork-example-ecommerce-checkout-pipeline,47,6,5,Python
fork-example-ecommerce-checkout-api,47,6,5,Python
cloudfront-redirect-on-viewer-country,5194,325,1200,Python
python-sam-codebuild-ci,2,2,1,None
cloudfront-s3-origin-website-redirects,0,0,1,JavaScript
lex-book-trip-python,5194,325,1200,Python
cloudwatch-logs-process-data,5194,325,1200,Python
api-lambda-delete-dynamodb,0,1,0,JavaScript
dynamodb-lambda-publisher-sns,0,1,0,JavaScript
github-codebuild-logs,9,2,0,Python
kinesis-process-record-python,5194,325,1200,Python
compress,64,5,30,JavaScript
cloudwatch-alarm-to-slack-python3,5194,325,1200,Python
ecr-deploy,6,1,2,Python
LogzioCloudWatchShipper,21,9,27,Python
auto-subscribe-log-group-to-arn,3,2,0,JavaScript
serverless-chrome-layer,1,1,0,JavaScript
cloudfront-ab-test,5194,325,1200,Python
hotdog-detector,85,35,23,Python
datadog-process-rds-metrics,5194,325,1200,Python
aws-tag-explorer,6,1,2,Python
alexa-city-biking-skill,2,1,2,JavaScript
ThundraHelloWorld,12,4,2,Java
lex-make-appointment-python,5194,325,1200,Python
lambda-canary-python3,5194,325,1200,Python
UvaSoftware-Scanii-Lambda,19,3,5,JavaScript
lex-order-flowers-python,5194,325,1200,Python
ALB-Lambda-Target-WhatisMyIP,189,23,59,Java
sumologic-loggroup-connector,75,43,90,JavaScript
S3-Image-Monitoring-Detection-Using-Rekognition-Publish-Data-on-SNS,2,1,1,Python
cloudwatch-alarm-to-slack-python,5194,325,1200,Python
greengrass-hello-world-nodejs,5194,325,1200,Python
SecretsManagerMongoDBRotationSingleUser,34,11,30,Python
kinesis-firehose-cloudwatch-logs-processor,5194,325,1200,Python
NYC-Parks-Events-Crawler,5,0,4,Python
ses-notification-python,5194,325,1200,Python
lambda-canary,5194,325,1200,Python
sumologic-securityhub-collector,75,43,90,JavaScript
aws-sns-to-slack-publisher,15,1,6,Python
aws-internal-healthcheck,3,1,1,JavaScript
Packer-Cleaner,3,1,1,Python
ImageProcessingPython,695,41,112,Python
cloudfront-simple-remote-call,5194,325,1200,Python
Load-testing,695,41,112,Python
retweet-leaderboard,10,2,1,Java
algorithmia,5194,325,1200,Python
rotate,64,5,30,JavaScript
Voice-Lexicon-API,0,1,0,Python
cloudwatch-logs-to-loggly,5194,325,1200,Python
Return-Set-Word-Python3,0,0,1,Python
api-gateway-multiple-origin-cors,5194,325,1200,Python
inbound-ses-spam-filter,5194,325,1200,Python
cfn-look-up-ami-ids,5194,325,1200,Python
aws-serverless-codepipeline-serverlessrepo-publish,1,10,1,Python
Cloudwatch-event-serverless-monitor-and-get-alerted-on-aws-account-activity,0,0,0,Python
aws-health-event-to-slack-message,3,1,0,Python
aws-serverless-sns-forwarder,2,10,0,Python
ServerlessEventTestTarget,1,1,0,JavaScript
kinesis-firehose-process-record-streams-as-source,5194,325,1200,Python
cw-logs-to-lambda,1,1,0,Python
cognito-sync-trigger,5194,325,1200,Python
cw-logs-to-slack,3,1,1,Makefile
serverless-numpy,2,1,1,Python
codepipeline-s3-deploy,0,1,0,JavaScript
inbound-ses-spam-filter-python,5194,325,1200,Python
EventWriter,4,2,0,JavaScript
lambda-janitor,4,4,0,JavaScript
kinesis-firehose-syslog-to-json-python,5194,325,1200,Python
s3-lambda-ffmpeg-mov-to-mp4-s3,3,1,1,JavaScript
cfn-stack-outputs,5194,325,1200,Python
sumologic-securityhub-forwarder,75,43,90,JavaScript
alb-logs-firehose-publisher,2,1,0,Go
SAM-logging-regional-endpoints,0,1,0,JavaScript
plantuml-render,18,5,4,HTML
cloudfront-redirect-unauthenticated-users,5194,325,1200,Python
human-trafficking-facts,0,0,0,JavaScript
twitter-to-slack-message,0,1,0,Python
greengrass-hello-world,5194,325,1200,Python
s3-pgp-encryptor,0,1,0,JavaScript
node-exec,5194,325,1200,Python
metric-publisher-app,5,12,4,Python
inspector-scheduled-run,5194,325,1200,Python
TweetEventSource,1,1,0,TypeScript
kinesis-firehose-apachelog-to-csv,5195,325,1201,Python
rekognition-sqs,7,0,2,Python
Glim,0,1,0,Python
lambda-test-harness,5195,325,1201,Python
kinesis-analytics-process-record,5195,325,1201,Python
python-lambdacore,3,1,0,Python
s3-cost-explorer,0,1,0,Python
sepia,64,5,30,JavaScript
cloudfront-access-request-in-response,5195,325,1201,Python
appsync-broadcaster,9,1,1,JavaScript
EtsyShopEventSource,2,1,0,TypeScript
sns-lambda-put-cloudwatch,0,1,0,JavaScript
lambda-to-chime,0,1,0,Python
aurora-api,0,1,0,JavaScript
nephridium,1,0,0,JavaScript
aws-sqs-dlq-redriver,1,1,0,Python
SpheroAlexaSkill,4,1,0,JavaScript
guardduty-log-uploader,2,1,0,Go
Spacy,695,41,112,Python
monte-carlo-pi,0,1,0,Python
cloudfront-multiple-remote-calls-aggregate-response,5195,325,1201,Python
kinesis-analytics-process-record-python,5195,325,1201,Python
aws-serverless-financial-functions-wrapper,34,20,7,Python
aws-serverless-financial-functions-xirr,34,20,7,Python
RecyclingLocationFinder,0,1,0,Python
s3-lambda-markdown-to-docx-s3,4,1,0,JavaScript
aws-serverless-financial-functions-fv,34,20,7,Python
portable-serverless-app,8,2,2,JavaScript
exif-metadata-extractor,1,1,0,Python
auto-set-log-group-retention,3,2,0,JavaScript
crop,64,5,30,JavaScript
blur,64,5,30,JavaScript
phone-home,0,1,0,JavaScript
lambda-versions-deleter,0,1,0,Python
aws-serverless-financial-functions-pv,34,20,7,Python
pushilka-cloudfront-headers,0,1,0,JavaScript
EnergyProductFinder,0,1,0,Python
uvasoftware-guarana,0,1,0,Java
ssm-sign-proxy,0,2,0,Go
kinesis-firehose-syslog-to-csv-python,5195,325,1201,Python
url-redirect-https,54,6,21,Makefile
acm-dns-record-manager,1,1,0,JavaScript
s3-lambda-svg-to-pdf-s3,0,1,0,JavaScript
failed-emr-info,0,1,1,Python
cloudfront-modify-querystring,5195,325,1201,Python
Salesforce-API-Access-Manager-Monitor-Logger,0,2,0,JavaScript
lending-app-nodejs6,0,0,0,JavaScript
OpenIdAuthorizer,2,1,0,C#
kinesis-analytics-process-compressed-record,5195,325,1201,Python
kinesis-firehose-syslog-to-csv,5195,325,1201,Python
ThundraImageLinkExtractor,12,4,2,Java
lambda-layer-kubectl,7,1,2,Makefile
trigger-t2-unlimited-with-sns,2,1,2,Python
rev11-attiotbutton-filemakerapi,0,2,0,None
kinesis-firehose-process-record-python,5195,325,1201,Python
LambdaScale,1,10,1,JavaScript
logicmonitor-send-cloudwatch-events,0,19,0,Python
Cribl-S3-To-Snowflake,1,1,0,JavaScript
kinesis-firehose-apachelog-to-json-python,5195,325,1201,Python
ApplicationCostMonitoring,9,3,1,Python
MWSAlerts,1,1,1,Python
GenerateLookML,0,63,0,Python
mackerel-cloudwatch-forwarder,2,2,0,Go
blur-faces-rekognition,0,1,0,Python
HDFproc,695,41,112,Python
ACM-DynamoDB-Publisher,0,1,1,Python
api-websockets-push-notifications-dynamodb,0,1,0,JavaScript
json-logs-to-kinesis-firehose,0,1,0,Python
s3-lambda-csv-to-pdf-s3,0,1,0,JavaScript
aws-support-bot,0,0,0,Python
s3-lambda-csv-to-xlsx-s3,2,1,1,JavaScript
ACM-S3-Publisher,2,1,1,Python
kinesis-firehose-apachelog-to-csv-python,5195,325,1201,Python
kinesis-firehose-process-record-streams-as-source-python,5195,325,1201,Python
Kinesis-Enhanced-Fan-Out-to-DDB-S3,0,0,0,JavaScript
kinesis-analytics-process-kpl-record,5195,325,1201,Python
Mill,7,8,0,JavaScript
serverless-search,82,3,6,JavaScript
api-gateway-multiple-origin-cors,5195,325,1201,Python
image-proxy,4,0,1,Go
signed-url-generator,0,1,0,Python
ddb-copier,4,2,3,Java
kinesis-data-firehose-to-s3,0,1,0,Makefile
workmail-chat-bot-python,5,2,2,Python
dungeon-maestro-slack-bot,2,1,0,Go
kinesis-firehose-apachelog-to-json,5195,325,1201,Python
format-splunk-aws-sns-alert,1,1,0,Python
rev11-attiotbutton-SQL,0,2,0,None
kim-demo,1,2,3,JavaScript
Carrier-Info,0,0,0,JavaScript
appsync-graphql-crud-dynamodb,5,1,1,None
s3-lambda-markdown-to-html-s3,1,1,0,JavaScript
s3-lambda-ffmpeg-aac-wav-to-mp3-s3,2,2,1,JavaScript
aws-serverless-financial-functions-npv,34,20,7,Python
aws-serverless-financial-functions-pmt,34,20,7,Python
aws-serverless-financial-functions-sln,34,20,7,Python
ServerlessCron,54,6,21,Makefile
human-trafficking-goods-indicator-api,0,0,0,Python
ThundraNodeJSHelloWorld,4,3,3,JavaScript
aws-serverless-financial-functions-ppmt,34,20,7,Python
kinesis-firehose-syslog-to-json,5195,325,1201,Python
fqdnService,0,11,0,TypeScript
traffic-cop-query-engine,3,3,2,C++
Parameter-Store-ECS-Updater-and-Deployer,2,0,0,Go
cfn-news-to-telegram,0,1,0,HTML
amazon-pinpoint-call-generator,2,1,0,JavaScript
LightGBM,695,41,112,Python
MedPal,1,0,0,JavaScript
text2event,0,0,0,JavaScript
Cleaner,0,1,0,Python
signalfx-enhanced-rds-metrics,3,37,0,Python
codepipeline-s3-objects-public-read,0,1,2,JavaScript
eks-lambda-drainer,32,5,8,Shell
aws-lambda-power-tuning,526,30,27,JavaScript
SecretsManagerMongoDBRotationMultiUser,34,11,30,Python
exif-reader,1,1,1,Perl
kim-demo2,1,2,3,JavaScript
aws-serverless-financial-functions-nper,34,20,7,Python
s3-signed-urls,1,1,0,JavaScript
aws-serverless-financial-functions-irr,34,20,7,Python
codepipeline-s3-objects-public-read-multi-buildartifact,0,1,0,JavaScript
dynamodb-scaling-event-to-datadog,0,1,0,Python
serverless-uptime-monitor,0,1,0,JavaScript
CopyToBucket,0,0,0,JavaScript
SecretsManagerRedshiftRotationMultiUser,34,11,30,Python
lambda-create-email-template-ses,1,2,0,JavaScript
buildkite-serverless-agent,10,0,2,Go
lambda-customresource-testing,0,0,0,None
image-magick-lambda-layer,1,3,0,JavaScript
lambda-logs-athena-example,0,1,0,Python
ALB-Lambda-Target-BinaryResponse,189,23,59,Java
aws-serverless-financial-functions-mirr,34,20,7,Python
ALB-Lambda-Target-UploadFiletoS3,189,23,59,Java
api-gateway-component,0,2,0,None
api-lambda-send-templated-email-ses,3,2,0,JavaScript
dynamodb-table-storage-metrics,0,1,0,Python
lambda-logs-event-source,0,4,0,JavaScript
aws-console-sign-in-to-telegram,0,1,0,Python
age-nudity-recognizer,0,1,0,Python
detect-stack-drifts,3,1,0,Python
