#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,888,132,1087,JavaScript
alexa-skills-kit-nodejs-triviaskill,230,77,284,JavaScript
hello-world,5232,326,1216,Python
alexa-skills-kit-nodejs-howtoskill,225,55,193,JavaScript
microservice-http-endpoint,5232,326,1216,Python
alexa-skills-kit-color-expert-python,5232,326,1216,Python
image-resizer-service,41,0,22,JavaScript
Datadog-Log-Forwarder,86,129,114,Python
alexa-smart-home-skill-adapter,5232,326,1216,Python
alexa-skills-kit-python36-factskill,68,21,111,Python
alexa-skills-kit-color-expert,5232,326,1216,Python
uploader,64,5,30,JavaScript
api-lambda-save-dynamodb,19,2,7,JavaScript
hello-world-python3,5232,326,1216,Python
serverless-todo,15,3,7,JavaScript
https-request,5232,326,1216,Python
api-gateway-dev-portal,424,39,135,JavaScript
hello-world-python,5232,326,1216,Python
alexa-skills-kit-nodejs-premium-facts-skill,28,26,32,JavaScript
api-lambda-send-email-ses,11,2,2,JavaScript
cloudfront-response-generation,5232,326,1216,Python
s3-get-object,5232,326,1216,Python
AmazonConnectSalesforceLambda,2,1,1,Python
Contact-Us,33,2,7,JavaScript
image-processing-service,5232,326,1216,Python
lambda-web-page-example,4,0,3,JavaScript
hello-go-serverless-webapp,15,3,5,Go
alexa-skills-kit-nodejs-basic-welcome,1,0,1,JavaScript
simple-mobile-backend,5232,326,1216,Python
serverless-cognito,38,2,6,Python
NewRelic-log-ingestion,4,18,3,Python
ALB-Lambda-Target-HelloWorld,190,23,59,Java
cloudwatch-alarm-to-slack,5232,326,1216,Python
api-gateway-authorizer-nodejs,5232,326,1216,Python
sqs-poller,5232,326,1216,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
alexa-skills-kit-nodejs-hello-world,141,55,214,PowerShell
sns-message,5232,326,1216,Python
alexa-anagram,4,3,4,JavaScript
lambdium,194,10,31,JavaScript
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,5232,326,1216,Python
aws-serverless-twitter-event-source,54,14,14,Python
Tesseract,697,40,112,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
cloudfront-http-redirect,5232,326,1216,Python
rekognition-python,5232,326,1216,Python
acloudguru-alexadevs-leaderboard,0,6,4,JavaScript
microservice-http-endpoint-python3,5232,326,1216,Python
lambda-authorizer-basic-auth,23,1,1,Python
lambda-to-slack,2,1,2,Python
pipeline-dashboard,60,8,23,JavaScript
s3-get-object-python3,5232,326,1216,Python
lex-book-trip,5232,326,1216,Python
api-lambda-get-one-dynamodb,2,1,0,JavaScript
helloWorldLex,21,3,10,JavaScript
sns-message-python,5232,326,1216,Python
s3-get-object-python,5232,326,1216,Python
sns-subscription-filter-policy-string,49,8,5,Python
api-lambda-update-dynamodb,1,2,1,JavaScript
s3-lambda-publisher-sns,2,1,1,JavaScript
resize,64,5,30,JavaScript
tweet-sentiment,0,1,0,Python
SecretsManagerRedshiftRotationSingleUser,35,11,29,Python
amazon-cognito-passwordless-email-auth,39,2,17,TypeScript
cfn-nag-pipeline,439,34,75,Ruby
aws-serverless-sqs-event-source,29,7,9,Java
stu,19,4,7,HTML
dynamodb-process-stream-python3,5232,326,1216,Python
cloudfront-modify-response-header,5232,326,1216,Python
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
step-functions-send-to-sns,5232,326,1216,Python
s3-static-site,4,1,2,None
api-lambda-stripe-charge,14,3,1,JavaScript
slack-echo-command,5232,326,1216,Python
s3-replicator,2,1,2,JavaScript
lex-order-flowers,5232,326,1216,Python
DocumentGenerator,697,40,112,Python
ses-notification-nodejs,5232,326,1216,Python
fork-event-storage-backup-pipeline,49,8,5,Python
Pandas,697,40,112,Python
image-moderation-chatbot,98,44,47,Python
whats-your-name,11,2,2,Python
api-lambda-sns-publisher,0,1,1,JavaScript
s3-presigned-url,5232,326,1216,Python
workmail-hello-world-python,5,2,2,Python
Twitter-Poller-to-Kinesis-Firehose,97,25,40,Python
slack-slash-hodor,1,1,0,JavaScript
machine-learning-with-scikit-learn-on-lamdba,8,0,1,Python
dynamodb-lex,1,1,1,JavaScript
fork-event-replay-pipeline,49,8,5,Python
AutoUpdateCloudfrontSecurityGroups,3,2,0,Python
aws-sagemaker-ground-truth-recipe,1,0,1,Python
galleria,64,5,30,JavaScript
sqs-to-dynamodb,0,1,0,JavaScript
