#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,922,135,1119,JavaScript
alexa-skills-kit-nodejs-triviaskill,237,76,300,JavaScript
hello-world,5700,330,1399,Python
alexa-skills-kit-nodejs-howtoskill,229,55,198,JavaScript
microservice-http-endpoint,5700,330,1399,Python
Datadog-Log-Forwarder,103,146,141,Python
alexa-skills-kit-color-expert-python,5700,330,1399,Python
image-resizer-service,50,0,27,JavaScript
alexa-skills-kit-python36-factskill,68,21,128,Python
alexa-smart-home-skill-adapter,5700,330,1399,Python
alexa-skills-kit-nodejs-premium-facts-skill,42,26,47,JavaScript
alexa-skills-kit-color-expert,5700,330,1399,Python
uploader,72,6,34,JavaScript
api-lambda-save-dynamodb,28,2,8,JavaScript
hello-world-python3,5700,330,1399,Python
api-gateway-dev-portal,458,36,153,JavaScript
api-lambda-send-email-ses,12,2,2,JavaScript
serverless-todo,19,3,9,JavaScript
https-request,5700,330,1399,Python
hello-world-python,5700,330,1399,Python
aws-deployment-framework,140,24,30,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
cloudfront-response-generation,5700,330,1399,Python
AmazonConnectSalesforceLambda,4,1,1,Python
alexa-skills-kit-nodejs-hello-world,144,56,228,JavaScript
NewRelic-log-ingestion,5,17,6,Python
ALB-Lambda-Target-HelloWorld,193,22,59,Java
hello-go-serverless-webapp,15,3,4,Go
image-processing-service,5700,330,1399,Python
s3-get-object,5700,330,1399,Python
Contact-Us,36,2,12,JavaScript
cloudwatch-alarm-to-slack,5700,330,1399,Python
lambda-web-page-example,4,0,4,JavaScript
simple-mobile-backend,5700,330,1399,Python
api-gateway-authorizer-nodejs,5700,330,1399,Python
serverless-cognito,43,2,6,Python
sqs-poller,5700,330,1399,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
alexa-anagram,4,3,3,JavaScript
Tesseract,743,39,126,Python
sns-message,5700,330,1399,Python
lambda-to-slack,4,1,2,Python
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,5700,330,1399,Python
lambdium,200,10,31,JavaScript
cloudfront-http-redirect,5700,330,1399,Python
SecretsManagerRedshiftRotationSingleUser,40,11,34,Python
amazon-cognito-passwordless-email-auth,56,3,21,TypeScript
api-lambda-get-all-dynamodb,1,1,0,JavaScript
lambda-authorizer-basic-auth,25,1,2,Python
aws-serverless-twitter-event-source,57,15,15,Python
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
image-magick-lambda-layer,15,3,4,JavaScript
ffmpeg-lambda-layer,56,8,11,JavaScript
microservice-http-endpoint-python3,5700,330,1399,Python
pipeline-dashboard,77,8,28,JavaScript
rekognition-python,5700,330,1399,Python
api-lambda-update-dynamodb,1,2,1,JavaScript
sns-subscription-filter-policy-string,79,12,11,Python
s3-get-object-python,5700,330,1399,Python
lex-book-trip,5700,330,1399,Python
cfn-nag-pipeline,475,32,85,Ruby
api-lambda-get-one-dynamodb,5,1,0,JavaScript
sns-message-python,5700,330,1399,Python
s3-get-object-python3,5700,330,1399,Python
resize,72,6,34,JavaScript
helloWorldLex,22,3,10,JavaScript
s3-lambda-publisher-sns,2,1,1,JavaScript
SecretsManagerMongoDBRotationSingleUser,40,11,34,Python
dynamodb-lex,1,1,1,JavaScript
amazon-cloudfront-access-logs-queries,16,2,12,JavaScript
cloudfront-modify-response-header,5700,330,1399,Python
tweet-sentiment,0,1,0,Python
aws-serverless-sqs-event-source,31,7,9,Java
Pandas,743,39,126,Python
dynamodb-process-stream-python3,5700,330,1399,Python
stu,19,4,8,HTML
aws-sagemaker-ground-truth-recipe,3,0,3,Python
