#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,878,132,1079,JavaScript
alexa-skills-kit-nodejs-triviaskill,228,77,280,JavaScript
hello-world,5155,326,1183,Python
alexa-skills-kit-nodejs-howtoskill,225,55,193,JavaScript
microservice-http-endpoint,5155,326,1183,Python
alexa-skills-kit-color-expert-python,5155,326,1183,Python
image-resizer-service,41,0,23,JavaScript
Datadog-Log-Forwarder,83,127,108,Python
alexa-smart-home-skill-adapter,5155,326,1183,Python
alexa-skills-kit-python36-factskill,67,21,109,Python
uploader,61,5,29,JavaScript
api-lambda-save-dynamodb,19,2,7,JavaScript
alexa-skills-kit-color-expert,5155,326,1183,Python
hello-world-python3,5155,326,1183,Python
serverless-todo,15,3,7,JavaScript
https-request,5155,326,1183,Python
api-gateway-dev-portal,415,38,133,JavaScript
hello-world-python,5155,326,1183,Python
api-lambda-send-email-ses,9,2,2,JavaScript
cloudfront-response-generation,5155,326,1183,Python
s3-get-object,5155,326,1183,Python
alexa-skills-kit-nodejs-premium-facts-skill,26,26,30,JavaScript
lambda-web-page-example,4,0,2,JavaScript
Contact-Us,33,2,7,JavaScript
image-processing-service,5155,326,1183,Python
AmazonConnectSalesforceLambda,2,1,1,Python
hello-go-serverless-webapp,15,3,5,Go
simple-mobile-backend,5155,326,1183,Python
serverless-cognito,37,2,6,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,1,JavaScript
NewRelic-log-ingestion,4,18,3,Python
api-gateway-authorizer-nodejs,5155,326,1183,Python
cloudwatch-alarm-to-slack,5155,326,1183,Python
ALB-Lambda-Target-HelloWorld,189,23,59,Java
s3-lambda-save-dynamodb,8,2,1,JavaScript
sqs-poller,5155,326,1183,Python
lambdium,189,10,31,JavaScript
sns-message,5155,326,1183,Python
alexa-anagram,4,3,4,JavaScript
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,5155,326,1183,Python
aws-serverless-twitter-event-source,51,13,11,Python
Tesseract,690,41,109,Python
cloudfront-http-redirect,5155,326,1183,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
alexa-skills-kit-nodejs-hello-world,137,55,211,PowerShell
rekognition-python,5155,326,1183,Python
acloudguru-alexadevs-leaderboard,0,6,4,JavaScript
microservice-http-endpoint-python3,5155,326,1183,Python
lambda-to-slack,2,1,2,Python
s3-get-object-python3,5155,326,1183,Python
lex-book-trip,5155,326,1183,Python
api-lambda-get-one-dynamodb,2,1,0,JavaScript
lambda-authorizer-basic-auth,23,1,1,Python
helloWorldLex,21,3,10,JavaScript
pipeline-dashboard,59,8,21,JavaScript
s3-get-object-python,5155,326,1183,Python
sns-message-python,5155,326,1183,Python
api-lambda-update-dynamodb,1,2,1,JavaScript
resize,61,5,29,JavaScript
tweet-sentiment,0,1,0,Python
s3-lambda-publisher-sns,2,1,1,JavaScript
sns-subscription-filter-policy-string,46,6,3,Python
cfn-nag-pipeline,433,35,71,Ruby
aws-serverless-sqs-event-source,28,7,7,Java
stu,19,4,6,HTML
SecretsManagerRedshiftRotationSingleUser,33,10,29,Python
dynamodb-process-stream-python3,5155,326,1183,Python
amazon-cognito-passwordless-email-auth,33,1,17,TypeScript
cloudfront-modify-response-header,5155,326,1183,Python
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
slack-echo-command,5155,326,1183,Python
step-functions-send-to-sns,5155,326,1183,Python
s3-static-site,3,1,2,None
DocumentGenerator,690,41,109,Python
s3-replicator,2,1,2,JavaScript
api-lambda-stripe-charge,14,3,1,JavaScript
lex-order-flowers,5155,326,1183,Python
ses-notification-nodejs,5155,326,1183,Python
whats-your-name,11,2,2,Python
Pandas,690,41,109,Python
image-moderation-chatbot,97,44,46,Python
workmail-hello-world-python,5,2,2,Python
fork-event-storage-backup-pipeline,46,6,3,Python
slack-slash-hodor,1,1,0,JavaScript
Twitter-Poller-to-Kinesis-Firehose,94,25,39,Python
machine-learning-with-scikit-learn-on-lamdba,8,0,1,Python
api-lambda-sns-publisher,0,1,1,JavaScript
AutoUpdateCloudfrontSecurityGroups,3,2,0,Python
galleria,61,5,29,JavaScript
dynamodb-lex,1,1,1,JavaScript
s3-presigned-url,5156,326,1183,Python
aws-sagemaker-ground-truth-recipe,1,0,1,Python
