#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,977,139,1168,JavaScript
hello-world,6199,337,1606,Python
alexa-skills-kit-nodejs-triviaskill,242,76,311,JavaScript
alexa-skills-kit-nodejs-howtoskill,233,56,203,JavaScript
Datadog-Log-Forwarder,122,161,178,Python
microservice-http-endpoint,6199,337,1606,Python
alexa-skills-kit-python36-factskill,86,22,145,Python
image-resizer-service,57,0,29,JavaScript
alexa-skills-kit-nodejs-premium-facts-skill,52,25,55,JavaScript
aws-deployment-framework,201,33,54,Python
api-gateway-dev-portal,496,36,168,JavaScript
uploader,81,6,39,JavaScript
api-lambda-save-dynamodb,32,2,10,JavaScript
api-lambda-send-email-ses,18,2,3,JavaScript
hello-world-python3,6199,337,1606,Python
serverless-todo,22,3,12,JavaScript
hello-world-python,6199,337,1606,Python
https-request,6199,337,1606,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
alexa-skills-kit-nodejs-hello-world,147,58,245,JavaScript
image-magick-lambda-layer,37,6,16,JavaScript
NewRelic-log-ingestion,8,16,11,Python
SecretsManagerRedshiftRotationSingleUser,47,15,51,Python
cloudfront-response-generation,6199,337,1606,Python
AmazonConnectSalesforceLambda,5,2,1,Python
ALB-Lambda-Target-HelloWorld,203,22,60,Java
ffmpeg-lambda-layer,82,8,16,JavaScript
hello-go-serverless-webapp,16,3,4,Go
image-processing-service,6199,337,1606,Python
cloudwatch-alarm-to-slack,6199,337,1606,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
s3-get-object,6199,337,1606,Python
simple-mobile-backend,6199,337,1606,Python
lambda-to-slack,4,1,5,Python
sqs-poller,6199,337,1606,Python
Contact-Us,39,2,12,JavaScript
Tesseract,808,41,154,Python
cloudfront-authorization-at-edge,21,4,8,TypeScript
lambda-web-page-example,4,0,5,JavaScript
api-gateway-authorizer-nodejs,6199,337,1606,Python
alexa-anagram,5,3,3,JavaScript
serverless-cognito,47,2,6,Python
amazon-cognito-passwordless-email-auth,68,4,26,TypeScript
sns-message,6199,337,1606,Python
SecretsManagerMongoDBRotationSingleUser,47,15,51,Python
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,6199,337,1606,Python
CodePipelineSlackNotifier,64,2,25,Shell
lambda-authorizer-basic-auth,27,1,2,Python
lightsail-backups,45,8,20,JavaScript
aws-serverless-twitter-event-source,64,15,15,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
microservice-http-endpoint-python3,6199,337,1606,Python
cloudfront-http-redirect,6199,337,1606,Python
lambdium,211,12,31,JavaScript
api-lambda-update-dynamodb,2,2,1,JavaScript
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
cfn-nag-pipeline,532,32,96,Ruby
s3-get-object-python,6199,337,1606,Python
amazon-cloudfront-access-logs-queries,20,3,16,JavaScript
sns-subscription-filter-policy-string,94,16,15,Python
pipeline-dashboard,83,8,32,JavaScript
api-lambda-get-one-dynamodb,5,1,0,JavaScript
lex-book-trip,6199,337,1606,Python
rekognition-python,6199,337,1606,Python
dynamodb-lex,2,1,1,JavaScript
aws-sagemaker-ground-truth-recipe,4,1,4,Python
sns-message-python,6199,337,1606,Python
s3-get-object-python3,6199,337,1606,Python
resize,81,6,39,JavaScript
