#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,939,138,1140,JavaScript
alexa-skills-kit-nodejs-triviaskill,240,77,307,JavaScript
hello-world,5926,333,1471,Python
alexa-skills-kit-nodejs-howtoskill,231,57,200,JavaScript
Datadog-Log-Forwarder,110,152,160,Python
microservice-http-endpoint,5926,333,1471,Python
alexa-skills-kit-python36-factskill,78,22,138,Python
alexa-skills-kit-color-expert-python,5926,333,1471,Python
image-resizer-service,54,0,28,JavaScript
alexa-smart-home-skill-adapter,5926,333,1471,Python
alexa-skills-kit-nodejs-premium-facts-skill,46,27,47,JavaScript
alexa-skills-kit-color-expert,5926,333,1471,Python
uploader,72,6,34,JavaScript
api-lambda-save-dynamodb,29,2,8,JavaScript
api-gateway-dev-portal,471,36,159,JavaScript
api-lambda-send-email-ses,16,2,3,JavaScript
hello-world-python3,5926,333,1471,Python
serverless-todo,19,3,10,JavaScript
https-request,5926,333,1471,Python
aws-deployment-framework,169,29,41,Python
hello-world-python,5926,333,1471,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
alexa-skills-kit-nodejs-hello-world,146,58,237,JavaScript
cloudfront-response-generation,5926,333,1471,Python
NewRelic-log-ingestion,6,16,9,Python
AmazonConnectSalesforceLambda,4,1,1,Python
ALB-Lambda-Target-HelloWorld,197,21,59,Java
hello-go-serverless-webapp,16,3,4,Go
image-processing-service,5926,333,1471,Python
cloudwatch-alarm-to-slack,5926,333,1471,Python
s3-get-object,5926,333,1471,Python
simple-mobile-backend,5926,333,1471,Python
image-magick-lambda-layer,26,6,8,JavaScript
s3-lambda-save-dynamodb,8,2,1,JavaScript
Contact-Us,37,2,12,JavaScript
sqs-poller,5926,333,1471,Python
lambda-web-page-example,4,0,5,JavaScript
api-gateway-authorizer-nodejs,5926,333,1471,Python
serverless-cognito,44,2,6,Python
lambda-to-slack,4,1,3,Python
Tesseract,762,39,134,Python
alexa-anagram,4,3,4,JavaScript
sns-message,5926,333,1471,Python
tic-tac-toe,1,1,1,Python
amazon-cognito-passwordless-email-auth,60,4,24,TypeScript
microservice-http-endpoint-python,5926,333,1471,Python
SecretsManagerRedshiftRotationSingleUser,42,13,41,Python
CodePipelineSlackNotifier,60,2,24,Shell
cloudfront-http-redirect,5926,333,1471,Python
lambdium,210,12,32,JavaScript
api-lambda-get-all-dynamodb,1,1,0,JavaScript
lambda-authorizer-basic-auth,25,1,2,Python
microservice-http-endpoint-python3,5926,333,1471,Python
aws-serverless-twitter-event-source,60,16,15,Python
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
lightsail-backups,45,10,18,JavaScript
api-lambda-update-dynamodb,1,2,1,JavaScript
rekognition-python,5926,333,1471,Python
sns-subscription-filter-policy-string,89,14,15,Python
amazon-cloudfront-access-logs-queries,18,3,12,JavaScript
sns-message-python,5926,333,1471,Python
lex-book-trip,5926,333,1471,Python
dynamodb-lex,1,1,1,JavaScript
SecretsManagerMongoDBRotationSingleUser,42,13,41,Python
s3-get-object-python3,5926,333,1471,Python
resize,72,6,34,JavaScript
aws-sagemaker-ground-truth-recipe,3,1,3,Python
s3-lambda-publisher-sns,2,1,1,JavaScript
helloWorldLex,22,3,10,JavaScript
Chromium,762,39,134,Python
cloudfront-modify-response-header,5926,333,1471,Python
dynamodb-process-stream-python3,5926,333,1471,Python
aws-serverless-sqs-event-source,31,7,9,Java
api-lambda-stripe-charge,20,4,2,JavaScript
workmail-hello-world-python,5,3,4,Python
fork-event-storage-backup-pipeline,89,14,15,Python
DocumentGenerator,762,39,134,Python
stu,21,4,9,HTML
tweet-sentiment,0,1,0,Python
