#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,992,138,1174,JavaScript
hello-world,16,7,7,JavaScript
alexa-skills-kit-nodejs-triviaskill,242,76,314,JavaScript
alexa-skills-kit-nodejs-howtoskill,234,57,204,JavaScript
Datadog-Log-Forwarder,131,166,205,Python
microservice-http-endpoint,16,7,7,JavaScript
alexa-skills-kit-color-expert-python,16,7,7,JavaScript
alexa-skills-kit-color-expert,16,7,7,JavaScript
alexa-smart-home-skill-adapter,16,7,7,JavaScript
hello-world-python3,16,7,7,JavaScript
image-resizer-service,60,0,31,JavaScript
alexa-skills-kit-python36-factskill,87,23,144,Python
uploader,85,8,39,JavaScript
api-gateway-dev-portal,515,35,177,JavaScript
cloudfront-response-generation,16,7,7,JavaScript
image-magick-lambda-layer,56,6,29,JavaScript
https-request,16,7,7,JavaScript
api-lambda-save-dynamodb,35,2,10,JavaScript
standard-redirects-for-cloudfront,14,2,2,JavaScript
api-lambda-send-email-ses,18,2,3,JavaScript
NewRelic-log-ingestion,9,17,12,Python
hello-world-python,16,7,7,JavaScript
SecretsManagerRedshiftRotationSingleUser,51,15,57,Python
ffmpeg-lambda-layer,101,10,21,JavaScript
alexa-skills-kit-nodejs-premium-facts-skill,53,26,55,JavaScript
ALB-Lambda-Target-HelloWorld,206,22,67,Java
cloudwatch-alarm-to-slack,16,7,7,JavaScript
AmazonConnectSalesforceLambda,6,3,3,Python
lambda-to-slack,4,1,5,Python
alexa-skills-kit-nodejs-hello-world,152,57,254,JavaScript
serverless-todo,22,3,12,JavaScript
aws-deployment-framework,215,31,65,Python
image-processing-service,16,7,7,JavaScript
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
sqs-poller,16,7,7,JavaScript
amazon-cognito-passwordless-email-auth,78,4,29,TypeScript
api-gateway-authorizer-nodejs,16,7,7,JavaScript
s3-lambda-save-dynamodb,10,2,1,JavaScript
cloudwatch-alarm-to-slack-python3,16,7,7,JavaScript
AthenaCloudwatchConnector,73,19,12,Java
simple-mobile-backend,16,7,7,JavaScript
s3-get-object,16,7,7,JavaScript
microservice-http-endpoint-python,16,7,7,JavaScript
sns-message,16,7,7,JavaScript
SecretsManagerMongoDBRotationSingleUser,51,15,57,Python
microservice-http-endpoint-python3,16,7,7,JavaScript
hello-go-serverless-webapp,18,3,4,Go
lambda-layer-awscli,42,3,13,Makefile
cloudfront-modify-response-header,16,7,7,JavaScript
