#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,937,135,1134,JavaScript
alexa-skills-kit-nodejs-triviaskill,237,76,302,JavaScript
hello-world,5853,329,1445,Python
alexa-skills-kit-nodejs-howtoskill,229,55,200,JavaScript
Datadog-Log-Forwarder,109,151,155,Python
microservice-http-endpoint,5853,329,1445,Python
alexa-skills-kit-color-expert-python,5853,329,1445,Python
alexa-skills-kit-python36-factskill,74,22,135,Python
image-resizer-service,53,0,26,JavaScript
alexa-smart-home-skill-adapter,5853,329,1445,Python
alexa-skills-kit-nodejs-premium-facts-skill,45,27,47,JavaScript
alexa-skills-kit-color-expert,5853,329,1445,Python
uploader,72,6,34,JavaScript
api-lambda-save-dynamodb,29,2,8,JavaScript
api-gateway-dev-portal,469,36,158,JavaScript
api-lambda-send-email-ses,15,2,3,JavaScript
hello-world-python3,5853,329,1445,Python
serverless-todo,19,3,10,JavaScript
https-request,5853,329,1445,Python
hello-world-python,5853,329,1445,Python
aws-deployment-framework,158,24,37,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
cloudfront-response-generation,5853,329,1445,Python
alexa-skills-kit-nodejs-hello-world,143,56,234,JavaScript
AmazonConnectSalesforceLambda,4,1,1,Python
ALB-Lambda-Target-HelloWorld,197,22,59,Java
NewRelic-log-ingestion,5,17,7,Python
hello-go-serverless-webapp,16,3,4,Go
image-processing-service,5853,329,1445,Python
s3-get-object,5853,329,1445,Python
cloudwatch-alarm-to-slack,5853,329,1445,Python
Contact-Us,36,2,12,JavaScript
simple-mobile-backend,5853,329,1445,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
lambda-web-page-example,4,0,5,JavaScript
sqs-poller,5853,329,1445,Python
api-gateway-authorizer-nodejs,5853,329,1445,Python
serverless-cognito,44,2,6,Python
image-magick-lambda-layer,25,5,6,JavaScript
Tesseract,756,39,131,Python
lambda-to-slack,4,1,2,Python
alexa-anagram,4,3,4,JavaScript
sns-message,5853,329,1445,Python
ffmpeg-lambda-layer,61,8,12,JavaScript
tic-tac-toe,1,1,1,Python
