#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,892,131,1094,JavaScript
alexa-skills-kit-nodejs-triviaskill,231,77,287,JavaScript
hello-world,5302,324,1246,Python
alexa-skills-kit-nodejs-howtoskill,225,55,194,JavaScript
microservice-http-endpoint,5302,324,1246,Python
alexa-skills-kit-color-expert-python,5302,324,1246,Python
image-resizer-service,43,0,23,JavaScript
Datadog-Log-Forwarder,88,131,118,Python
alexa-skills-kit-python36-factskill,67,21,116,Python
alexa-smart-home-skill-adapter,5303,324,1246,Python
alexa-skills-kit-color-expert,5303,324,1246,Python
uploader,68,5,32,JavaScript
api-lambda-save-dynamodb,20,2,7,JavaScript
hello-world-python3,5303,324,1246,Python
serverless-todo,17,3,7,JavaScript
https-request,5303,324,1246,Python
alexa-skills-kit-nodejs-premium-facts-skill,30,26,34,JavaScript
api-lambda-send-email-ses,11,2,2,JavaScript
api-gateway-dev-portal,434,39,140,JavaScript
hello-world-python,5303,324,1246,Python
cloudfront-response-generation,5303,324,1246,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,1,JavaScript
AmazonConnectSalesforceLambda,2,1,1,Python
s3-get-object,5304,324,1246,Python
Contact-Us,34,2,8,JavaScript
hello-go-serverless-webapp,15,3,4,Go
image-processing-service,5304,324,1246,Python
lambda-web-page-example,4,0,3,JavaScript
simple-mobile-backend,5304,324,1246,Python
serverless-cognito,38,2,6,Python
NewRelic-log-ingestion,4,18,4,Python
ALB-Lambda-Target-HelloWorld,191,23,60,Java
alexa-skills-kit-nodejs-hello-world,143,55,219,PowerShell
cloudwatch-alarm-to-slack,5304,324,1246,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
api-gateway-authorizer-nodejs,5304,324,1246,Python
sqs-poller,5304,324,1246,Python
sns-message,5304,324,1246,Python
aws-deployment-framework,82,24,16,Python
alexa-anagram,4,3,3,JavaScript
lambdium,193,11,31,JavaScript
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,5304,324,1246,Python
Tesseract,705,41,112,Python
aws-serverless-twitter-event-source,53,14,14,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
cloudfront-http-redirect,5304,324,1246,Python
lambda-to-slack,3,1,2,Python
acloudguru-alexadevs-leaderboard,0,6,4,JavaScript
lambda-authorizer-basic-auth,23,1,2,Python
microservice-http-endpoint-python3,5304,324,1246,Python
rekognition-python,5304,324,1246,Python
pipeline-dashboard,62,8,24,JavaScript
api-lambda-get-one-dynamodb,2,1,0,JavaScript
s3-get-object-python3,5304,324,1246,Python
lex-book-trip,5304,324,1246,Python
sns-message-python,5304,324,1246,Python
amazon-cognito-passwordless-email-auth,43,2,19,TypeScript
api-lambda-update-dynamodb,1,2,1,JavaScript
helloWorldLex,21,3,10,JavaScript
s3-get-object-python,5304,324,1246,Python
sns-subscription-filter-policy-string,56,8,6,Python
SecretsManagerRedshiftRotationSingleUser,36,11,30,Python
resize,68,5,32,JavaScript
s3-lambda-publisher-sns,2,1,1,JavaScript
tweet-sentiment,0,1,0,Python
cfn-nag-pipeline,444,34,75,Ruby
aws-serverless-sqs-event-source,28,7,9,Java
stu,19,4,7,HTML
dynamodb-process-stream-python3,5304,324,1246,Python
cloudfront-modify-response-header,5304,324,1246,Python
api-lambda-stripe-charge,16,4,1,JavaScript
slack-echo-command,5304,324,1246,Python
step-functions-send-to-sns,5304,324,1246,Python
s3-static-site,4,1,2,None
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
Pandas,705,41,112,Python
s3-replicator,2,1,2,JavaScript
fork-event-storage-backup-pipeline,56,8,6,Python
DocumentGenerator,705,41,112,Python
lex-order-flowers,5304,324,1246,Python
ses-notification-nodejs,5304,324,1246,Python
Twitter-Poller-to-Kinesis-Firehose,98,27,40,Python
image-moderation-chatbot,99,45,49,Python
api-lambda-sns-publisher,0,1,1,JavaScript
dynamodb-lex,1,1,1,JavaScript
s3-presigned-url,5304,324,1246,Python
whats-your-name,11,2,2,Python
workmail-hello-world-python,5,2,3,Python
machine-learning-with-scikit-learn-on-lamdba,8,0,1,Python
slack-slash-hodor,1,1,0,JavaScript
sqs-to-dynamodb,0,1,0,JavaScript
amazon-cloudfront-access-logs-queries,16,2,3,JavaScript
fork-event-replay-pipeline,56,8,6,Python
AutoUpdateCloudfrontSecurityGroups,3,2,0,Python
aws-sagemaker-ground-truth-recipe,1,0,2,Python
timber-logging,3,8,2,Python
Chromium,705,41,112,Python
slack-echo-command-python,5304,324,1246,Python
fork-event-search-analytics-pipeline,56,8,6,Python
galleria,68,5,32,JavaScript
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript
api-gateway-authorizer-python,5304,324,1246,Python
kinesis-process-record,5304,324,1246,Python
elasticsearch-cleanup,77,21,51,HCL
lex-make-appointment,5304,324,1246,Python
auto-subscribe-log-group-to-arn,3,2,0,JavaScript
sns-subscriber-lambda-s3,3,1,1,JavaScript
fork-example-ecommerce-checkout-pipeline,56,8,6,Python
serverless-chrome-layer,1,1,0,JavaScript
fork-example-ecommerce-checkout-api,56,8,6,Python
cloudfront-s3-origin-website-redirects,0,0,1,JavaScript
greengrass-hello-world-nodejs,5304,324,1246,Python
api-lambda-delete-dynamodb,1,1,0,JavaScript
cloudfront-redirect-on-viewer-country,5304,324,1246,Python
kinesis-process-record-python,5304,324,1246,Python
python-sam-codebuild-ci,3,2,1,None
lex-book-trip-python,5304,324,1246,Python
cloudwatch-logs-process-data,5304,324,1246,Python
cloudwatch-alarm-to-slack-python3,5304,324,1246,Python
dynamodb-lambda-publisher-sns,0,1,0,JavaScript
github-codebuild-logs,10,2,0,Python
ecr-deploy,6,1,3,Python
alexa-city-biking-skill,2,1,2,JavaScript
compress,68,5,32,JavaScript
LogzioCloudWatchShipper,21,9,29,Python
hotdog-detector,85,36,23,Python
aws-tag-explorer,6,1,2,Python
cloudfront-ab-test,5304,324,1246,Python
datadog-process-rds-metrics,5304,324,1246,Python
lambda-canary-python3,5304,324,1246,Python
ThundraHelloWorld,12,4,2,Java
lex-make-appointment-python,5304,324,1246,Python
lex-order-flowers-python,5304,324,1246,Python
sumologic-loggroup-connector,75,43,91,JavaScript
ALB-Lambda-Target-WhatisMyIP,191,23,60,Java
sumologic-securityhub-collector,75,43,91,JavaScript
S3-Image-Monitoring-Detection-Using-Rekognition-Publish-Data-on-SNS,2,1,1,Python
UvaSoftware-Scanii-Lambda,19,3,5,JavaScript
NYC-Parks-Events-Crawler,5,0,4,Python
ses-notification-python,5304,324,1246,Python
cloudwatch-alarm-to-slack-python,5304,324,1246,Python
SecretsManagerMongoDBRotationSingleUser,36,11,30,Python
kinesis-firehose-cloudwatch-logs-processor,5304,324,1246,Python
lambda-canary,5304,324,1246,Python
aws-sns-to-slack-publisher,15,1,6,Python
aws-internal-healthcheck,3,1,1,JavaScript
ImageProcessingPython,705,41,112,Python
cloudfront-simple-remote-call,5304,324,1246,Python
Packer-Cleaner,3,1,1,Python
Return-Set-Word-Python3,0,0,1,Python
cw-logs-to-lambda,1,1,0,Python
Load-testing,705,41,112,Python
retweet-leaderboard,10,2,1,Java
python-lambdacore,3,1,0,Python
lambda-janitor,4,4,0,JavaScript
algorithmia,5304,324,1246,Python
rotate,68,5,32,JavaScript
s3-lambda-ffmpeg-mov-to-mp4-s3,3,1,1,JavaScript
cfn-look-up-ami-ids,5304,324,1246,Python
aws-serverless-codepipeline-serverlessrepo-publish,1,10,2,Python
inbound-ses-spam-filter,5304,324,1246,Python
cognito-sync-trigger,5304,324,1246,Python
Voice-Lexicon-API,0,1,0,Python
ServerlessEventTestTarget,1,1,0,JavaScript
aws-serverless-sns-forwarder,3,11,1,Python
cloudwatch-logs-to-loggly,5304,324,1246,Python
api-gateway-multiple-origin-cors,5304,324,1246,Python
Cloudwatch-event-serverless-monitor-and-get-alerted-on-aws-account-activity,0,0,0,Python
aws-health-event-to-slack-message,3,1,0,Python
cw-logs-to-slack,3,1,2,Makefile
kinesis-firehose-process-record-streams-as-source,5304,324,1246,Python
serverless-numpy,2,1,1,Python
codepipeline-s3-deploy,0,1,0,JavaScript
inbound-ses-spam-filter-python,5304,324,1246,Python
EventWriter,4,2,0,JavaScript
TweetEventSource,1,1,1,TypeScript
kinesis-firehose-syslog-to-json-python,5304,324,1246,Python
Glim,0,1,0,Python
greengrass-hello-world,5304,324,1246,Python
cfn-stack-outputs,5304,324,1246,Python
sumologic-securityhub-forwarder,75,43,91,JavaScript
alb-logs-firehose-publisher,2,1,0,Go
SAM-logging-regional-endpoints,0,1,0,JavaScript
plantuml-render,18,5,4,HTML
metric-publisher-app,5,12,5,Python
cloudfront-redirect-unauthenticated-users,5304,324,1246,Python
human-trafficking-facts,0,0,0,JavaScript
inspector-scheduled-run,5304,324,1246,Python
twitter-to-slack-message,0,1,0,Python
s3-pgp-encryptor,1,1,1,JavaScript
node-exec,5304,324,1246,Python
s3-cost-explorer,0,1,0,Python
kinesis-firehose-apachelog-to-csv,5304,324,1246,Python
rekognition-sqs,7,0,2,Python
lambda-layer-kubectl,11,1,6,Makefile
lambda-test-harness,5304,324,1246,Python
kinesis-analytics-process-record,5304,324,1246,Python
kinesis-analytics-process-record-python,5304,324,1246,Python
sepia,68,5,32,JavaScript
cloudfront-access-request-in-response,5304,324,1246,Python
appsync-broadcaster,8,1,1,JavaScript
portable-serverless-app,8,2,2,JavaScript
EtsyShopEventSource,2,1,0,TypeScript
sns-lambda-put-cloudwatch,0,1,0,JavaScript
lambda-to-chime,0,1,0,Python
aurora-api,0,1,0,JavaScript
nephridium,1,0,0,JavaScript
Spacy,705,41,112,Python
lambda-layer-awscli,11,1,2,Makefile
EnergyProductFinder,0,1,0,Python
aws-sqs-dlq-redriver,1,1,0,Python
s3-lambda-csv-to-xlsx-s3,2,1,1,JavaScript
SpheroAlexaSkill,4,1,0,JavaScript
guardduty-log-uploader,2,1,0,Go
Salesforce-API-Access-Manager-Monitor-Logger,0,2,0,JavaScript
auto-set-log-group-retention,3,2,0,JavaScript
monte-carlo-pi,0,1,0,Python
cloudfront-multiple-remote-calls-aggregate-response,5304,324,1246,Python
aws-serverless-financial-functions-wrapper,35,20,8,Python
aws-serverless-financial-functions-xirr,35,20,8,Python
aws-support-bot,0,0,0,Python
RecyclingLocationFinder,0,1,0,Python
s3-lambda-markdown-to-docx-s3,4,1,0,JavaScript
acm-dns-record-manager,1,1,0,JavaScript
aws-serverless-financial-functions-fv,35,20,8,Python
exif-metadata-extractor,2,1,0,Python
image-magick-lambda-layer,6,3,0,JavaScript
api-gateway-multiple-origin-cors,5304,324,1246,Python
