#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,980,138,1170,JavaScript
hello-world,6235,334,1618,Python
alexa-skills-kit-nodejs-triviaskill,242,76,312,JavaScript
alexa-skills-kit-nodejs-howtoskill,234,57,203,JavaScript
Datadog-Log-Forwarder,122,162,181,Python
alexa-skills-kit-python36-factskill,86,22,145,Python
microservice-http-endpoint,6235,334,1618,Python
image-resizer-service,59,0,30,JavaScript
alexa-skills-kit-nodejs-premium-facts-skill,52,25,55,JavaScript
aws-deployment-framework,202,32,56,Python
api-gateway-dev-portal,497,36,168,JavaScript
uploader,82,6,39,JavaScript
api-lambda-send-email-ses,18,2,3,JavaScript
api-lambda-save-dynamodb,32,2,10,JavaScript
hello-world-python3,6235,334,1618,Python
serverless-todo,22,3,12,JavaScript
hello-world-python,6235,334,1618,Python
https-request,6235,334,1618,Python
alexa-skills-kit-nodejs-hello-world,147,57,245,JavaScript
image-magick-lambda-layer,40,6,18,JavaScript
NewRelic-log-ingestion,8,17,11,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
SecretsManagerRedshiftRotationSingleUser,47,15,52,Python
AmazonConnectSalesforceLambda,6,3,2,Python
cloudfront-response-generation,6235,334,1618,Python
ALB-Lambda-Target-HelloWorld,203,22,60,Java
ffmpeg-lambda-layer,86,9,16,JavaScript
hello-go-serverless-webapp,16,3,4,Go
image-processing-service,6235,334,1618,Python
cloudwatch-alarm-to-slack,6235,334,1618,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
cloudfront-authorization-at-edge,22,4,9,TypeScript
s3-get-object,6235,334,1618,Python
simple-mobile-backend,6235,334,1618,Python
lambda-to-slack,4,1,5,Python
sqs-poller,6235,334,1618,Python
Contact-Us,39,2,12,JavaScript
api-gateway-authorizer-nodejs,6235,334,1618,Python
Tesseract,813,41,154,Python
lambda-web-page-example,4,0,5,JavaScript
serverless-cognito,47,2,6,Python
alexa-anagram,5,3,3,JavaScript
amazon-cognito-passwordless-email-auth,70,4,27,TypeScript
sns-message,6235,334,1618,Python
SecretsManagerMongoDBRotationSingleUser,47,15,52,Python
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,6235,334,1618,Python
CodePipelineSlackNotifier,65,2,25,Shell
lambda-authorizer-basic-auth,27,1,2,Python
lightsail-backups,44,8,20,JavaScript
aws-serverless-twitter-event-source,64,15,15,Python
microservice-http-endpoint-python3,6236,334,1618,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
cloudfront-http-redirect,6236,334,1618,Python
api-lambda-update-dynamodb,2,2,1,JavaScript
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
lambdium,211,12,31,JavaScript
amazon-cloudfront-access-logs-queries,21,3,17,JavaScript
cfn-nag-pipeline,533,32,97,Ruby
s3-get-object-python,6236,334,1618,Python
sns-subscription-filter-policy-string,94,17,15,Python
api-lambda-get-one-dynamodb,5,1,0,JavaScript
pipeline-dashboard,83,8,33,JavaScript
lex-book-trip,6236,334,1618,Python
rekognition-python,6236,334,1618,Python
aws-sagemaker-ground-truth-recipe,4,1,4,Python
dynamodb-lex,2,1,1,JavaScript
sns-message-python,6236,334,1618,Python
s3-get-object-python3,6236,334,1618,Python
Chromium,813,41,154,Python
lambda-layer-awscli,40,3,12,Makefile
resize,82,6,39,JavaScript
workmail-hello-world-python,5,3,4,Python
greengrass-hello-world,6237,334,1618,Python
DocumentGenerator,813,41,154,Python
Pandas,813,41,154,Python
s3-lambda-publisher-sns,3,1,1,JavaScript
sqs-to-dynamodb,0,1,1,JavaScript
auto-subscribe-log-group-to-arn,28,1,2,JavaScript
cloudfront-modify-response-header,6237,334,1618,Python
fork-event-storage-backup-pipeline,94,17,15,Python
lambda-janitor,14,4,4,JavaScript
elasticsearch-cleanup,95,17,62,Python
dynamodb-process-stream-python3,6237,334,1618,Python
helloWorldLex,22,3,10,JavaScript
s3-presigned-url,6237,334,1618,Python
lambda-canary-python3,6237,334,1618,Python
api-lambda-stripe-charge,25,3,3,JavaScript
aws-serverless-sqs-event-source,33,7,10,Java
fork-event-replay-pipeline,94,17,15,Python
stu,21,4,9,HTML
tweet-sentiment,1,1,0,Python
lex-order-flowers,6237,334,1618,Python
AthenaDynamoDBConnector,40,14,7,Java
api-lambda-sns-publisher,0,1,1,JavaScript
Serverless-S3-Uploader,4,1,1,JavaScript
ses-notification-nodejs,6237,334,1618,Python
step-functions-send-to-sns,6237,334,1618,Python
image-moderation-chatbot,113,46,49,Python
fork-event-search-analytics-pipeline,94,17,15,Python
machine-learning-with-scikit-learn-on-lamdba,9,0,2,Python
galleria,82,6,39,JavaScript
s3-static-site,5,1,2,None
SecretsManagerRedshiftRotationMultiUser,47,15,52,Python
slack-echo-command,6237,334,1618,Python
serverless-form-handler,7,0,3,JavaScript
serverless-chrome-layer,3,1,0,JavaScript
sumologic-securityhub-collector,92,45,101,Python
timber-logging,3,8,2,Python
lambda-layer-kubectl,46,5,19,Makefile
fork-example-ecommerce-checkout-pipeline,94,17,15,Python
AutoUpdateCloudfrontSecurityGroups,4,2,0,Python
Twitter-Poller-to-Kinesis-Firehose,103,27,45,Python
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript
lex-make-appointment,6237,334,1618,Python
fork-example-ecommerce-checkout-api,94,17,15,Python
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
whats-your-name,14,2,2,Python
s3-replicator,3,1,3,JavaScript
slack-echo-command-python,6237,334,1618,Python
github-codebuild-logs,26,4,3,Python
api-gateway-authorizer-python,6237,334,1618,Python
greengrass-hello-world-nodejs,6237,334,1618,Python
compress,82,6,39,JavaScript
aws-lambda-power-tuning,822,37,43,JavaScript
slack-slash-hodor,1,1,1,JavaScript
api-lambda-delete-dynamodb,1,1,0,JavaScript
ALB-Lambda-Target-WhatisMyIP,203,22,60,Java
AthenaJdbcConnector,40,14,7,Java
cloudfront-s3-origin-website-redirects,1,0,2,JavaScript
sns-subscriber-lambda-s3,3,1,1,JavaScript
kinesis-process-record,6237,334,1618,Python
S3-Image-Monitoring-Detection-Using-Rekognition-Publish-Data-on-SNS,3,1,1,Python
ThundraHelloWorld,13,4,4,Java
sumologic-loggroup-connector,92,45,101,Python
aws-tag-explorer,9,1,3,Python
aws-serverless-codepipeline-serverlessrepo-publish,8,11,6,Python
cloudwatch-logs-process-data,6237,334,1618,Python
kinesis-firehose-apachelog-to-json,6237,334,1618,Python
alexa-city-biking-skill,2,1,2,JavaScript
AthenaCloudwatchConnector,40,14,7,Java
cloudwatch-alarm-to-slack-python3,6237,334,1618,Python
lex-book-trip-python,6237,334,1618,Python
kinesis-process-record-python,6237,334,1618,Python
cloudfront-redirect-on-viewer-country,6237,334,1618,Python
dynamodb-lambda-publisher-sns,0,1,0,JavaScript
ecr-deploy,7,1,3,Python
sumologic-mongodb-atlas,0,5,0,Python
UvaSoftware-Scanii-Lambda,21,4,5,JavaScript
deploy-to-s3,13,4,7,Python
cw-logs-to-chime,0,1,0,Python
ImageProcessingPython,813,41,154,Python
python-sam-codebuild-ci,3,2,1,None
ServerlessNetworkingPython3,57,7,2,C++
NYC-Parks-Events-Crawler,7,0,4,Python
ses-notification-python,6237,334,1618,Python
lex-make-appointment-python,6237,334,1618,Python
cloudfront-ab-test,6237,334,1618,Python
LogzioCloudWatchShipper,26,10,33,Python
hotdog-detector,88,38,24,Python
cw-logs-to-lambda,1,1,0,Python
aws-serverless-sns-forwarder,6,12,1,Python
TweetEventSource,2,2,2,TypeScript
datadog-process-rds-metrics,6237,334,1618,Python
async-custom-metrics,16,1,0,JavaScript
kinesis-firehose-cloudwatch-logs-processor,6237,334,1618,Python
kinesis-firehose-process-record-streams-as-source,6237,334,1618,Python
cloudwatch-alarm-to-slack-python,6237,334,1618,Python
lambda-canary,6237,334,1618,Python
SecretsManagerMongoDBRotationMultiUser,47,15,52,Python
rotate,82,6,39,JavaScript
Kinesis-Enhanced-Fan-Out-to-DDB-S3,1,0,1,JavaScript
cw-logs-to-slack,3,1,2,Makefile
python-lambdacore,7,1,0,Python
lex-order-flowers-python,6237,334,1618,Python
ghostscript-lambda-layer,3,1,0,Makefile
Load-testing,813,41,154,Python
api-gateway-multiple-origin-cors,6237,334,1618,Python
cloudfront-simple-remote-call,6237,334,1618,Python
aws-health-event-to-slack-message,3,1,1,Python
aws-internal-healthcheck,4,1,1,JavaScript
Salesforce-API-Access-Manager-Monitor-Logger,2,2,1,JavaScript
serverless-numpy,2,1,1,Python
kinesis-firehose-apachelog-to-csv,6237,334,1618,Python
cognito-sync-trigger,6237,334,1618,Python
cloudfront-redirect-unauthenticated-users,6237,334,1618,Python
alexa-skill-clean-code-template,7,0,1,JavaScript
cloudwatch-logs-to-loggly,6237,334,1618,Python
aws-sns-to-slack-publisher,16,1,6,Python
Glim,0,1,0,Python
sumologic-securityhub-forwarder,92,45,101,Python
inbound-ses-spam-filter,6237,334,1618,Python
cfn-look-up-ami-ids,6237,334,1618,Python
appsync-broadcaster,11,1,1,JavaScript
