#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,992,138,1174,JavaScript
hello-world,17,7,7,JavaScript
alexa-skills-kit-nodejs-triviaskill,242,76,314,JavaScript
alexa-skills-kit-nodejs-howtoskill,234,57,204,JavaScript
Datadog-Log-Forwarder,131,167,206,Python
microservice-http-endpoint,17,7,7,JavaScript
alexa-skills-kit-color-expert-python,17,7,7,JavaScript
alexa-skills-kit-color-expert,17,7,7,JavaScript
alexa-smart-home-skill-adapter,17,7,7,JavaScript
hello-world-python3,17,7,7,JavaScript
image-resizer-service,60,0,31,JavaScript
alexa-skills-kit-python36-factskill,88,23,144,Python
uploader,85,8,39,JavaScript
api-gateway-dev-portal,516,35,177,JavaScript
image-magick-lambda-layer,56,6,29,JavaScript
cloudfront-response-generation,17,7,7,JavaScript
https-request,17,7,7,JavaScript
api-lambda-save-dynamodb,36,2,10,JavaScript
standard-redirects-for-cloudfront,14,2,2,JavaScript
NewRelic-log-ingestion,9,17,12,Python
api-lambda-send-email-ses,18,2,3,JavaScript
hello-world-python,17,7,7,JavaScript
SecretsManagerRedshiftRotationSingleUser,52,15,58,Python
ffmpeg-lambda-layer,101,10,21,JavaScript
alexa-skills-kit-nodejs-premium-facts-skill,53,26,55,JavaScript
ALB-Lambda-Target-HelloWorld,206,22,67,Java
cloudwatch-alarm-to-slack,17,7,7,JavaScript
AmazonConnectSalesforceLambda,6,3,3,Python
lambda-to-slack,4,1,5,Python
alexa-skills-kit-nodejs-hello-world,152,57,254,JavaScript
serverless-todo,22,3,12,JavaScript
aws-deployment-framework,215,31,65,Python
image-processing-service,17,7,7,JavaScript
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
sqs-poller,17,7,7,JavaScript
amazon-cognito-passwordless-email-auth,78,4,29,TypeScript
api-gateway-authorizer-nodejs,17,7,7,JavaScript
s3-lambda-save-dynamodb,10,2,1,JavaScript
cloudwatch-alarm-to-slack-python3,17,7,7,JavaScript
AthenaCloudwatchConnector,73,19,12,Java
simple-mobile-backend,17,7,7,JavaScript
s3-get-object,17,7,7,JavaScript
microservice-http-endpoint-python,17,7,7,JavaScript
sns-message,17,7,7,JavaScript
SecretsManagerMongoDBRotationSingleUser,52,15,58,Python
microservice-http-endpoint-python3,17,7,7,JavaScript
hello-go-serverless-webapp,18,3,4,Go
lambda-layer-awscli,42,3,13,Makefile
cloudfront-modify-response-header,17,7,7,JavaScript
cloudfront-authorization-at-edge,33,4,12,TypeScript
AthenaDynamoDBConnector,73,19,12,Java
cloudfront-http-redirect,17,7,7,JavaScript
amazon-cloudfront-access-logs-queries,25,4,21,JavaScript
api-lambda-update-dynamodb,3,2,1,JavaScript
api-lambda-get-all-dynamodb,1,1,0,JavaScript
api-lambda-get-one-dynamodb,6,1,0,JavaScript
Tesseract,838,42,158,Python
cw-logs-to-lambda,1,1,0,Python
aws-serverless-twitter-event-source,65,14,16,Python
s3-get-object-python,17,7,7,JavaScript
resize,85,8,39,JavaScript
cw-logs-to-slack,4,1,3,Makefile
tic-tac-toe,1,1,1,Python
lambda-janitor,19,4,5,JavaScript
s3-get-object-python3,17,7,7,JavaScript
sns-subscription-filter-policy-string,99,19,16,Python
sns-message-python,17,7,7,JavaScript
lambda-layer-kubectl,55,6,23,Makefile
lambda-authorizer-basic-auth,28,1,3,Python
Serverless-S3-Uploader,5,1,4,JavaScript
lightsail-backups,44,8,20,JavaScript
alexa-anagram,5,3,3,JavaScript
amplify-passwordless-sms-auth,19,4,24,TypeScript
rekognition-python,17,7,7,JavaScript
serverless-cognito,48,2,7,Python
aws-lambda-power-tuning,905,36,47,JavaScript
aws-sagemaker-ground-truth-recipe,4,1,5,Python
AthenaJdbcConnector,73,19,12,Java
CodePipelineSlackNotifier,66,2,26,Shell
s3-lambda-publisher-sns,3,1,1,JavaScript
Contact-Us,39,2,12,JavaScript
fork-event-storage-backup-pipeline,99,19,16,Python
aws-serverless-sqs-event-source,32,7,12,Java
lambda-web-page-example,4,0,5,JavaScript
dynamodb-process-stream-python3,17,7,7,JavaScript
auto-subscribe-log-group-to-arn,29,2,3,JavaScript
serverless-chrome-layer,4,1,0,JavaScript
sumologic-loggroup-connector,95,46,105,Python
serverless-form-handler,9,0,2,JavaScript
api-lambda-stripe-charge,27,3,4,JavaScript
SecretsManagerRedshiftRotationMultiUser,52,15,58,Python
api-lambda-sns-publisher,0,1,1,JavaScript
Chromium,838,42,158,Python
cfn-nag-pipeline,558,33,102,Ruby
galleria,85,8,39,JavaScript
slack-echo-command-python,17,7,7,JavaScript
api-gateway-authorizer-python,17,7,7,JavaScript
lambdium,213,12,31,JavaScript
slack-echo-command,17,7,7,JavaScript
step-functions-send-to-sns,17,7,7,JavaScript
compress,85,8,39,JavaScript
lex-book-trip,17,7,7,JavaScript
ghostscript-lambda-layer,5,1,0,Makefile
pipeline-dashboard,85,8,34,JavaScript
acloudguru-alexadevs-leaderboard,4,6,6,JavaScript
ses-notification-nodejs,17,7,7,JavaScript
sqs-to-dynamodb,0,1,1,JavaScript
lambda-canary-python3,17,7,7,JavaScript
elasticsearch-cleanup,98,16,63,Python
DocumentGenerator,838,42,158,Python
s3-replicator,4,2,3,JavaScript
workmail-hello-world-python,5,3,5,Python
kinesis-firehose-apachelog-to-json,17,7,7,JavaScript
sumologic-slack,0,29,1,Python
Pandas,838,42,158,Python
dynamodb-lex,2,2,1,JavaScript
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript
ddb-copier,5,2,3,Java
fork-event-replay-pipeline,99,19,16,Python
ALB-Lambda-Target-WhatisMyIP,206,22,67,Java
sns-subscriber-lambda-s3,3,1,1,JavaScript
sumologic-securityhub-collector,95,46,105,Python
github-codebuild-logs,26,4,5,Python
s3-presigned-url,6570,331,1674,Python
aws-serverless-codepipeline-serverlessrepo-publish,10,11,7,Python
fork-event-search-analytics-pipeline,99,19,16,Python
lex-order-flowers,17,7,7,JavaScript
tweet-sentiment,1,1,0,Python
dynamodb-lambda-publisher-sns,0,1,0,JavaScript
cloudwatch-alarm-to-slack-python,17,7,7,JavaScript
whats-your-name,15,2,2,Python
stu,22,4,9,HTML
cloudfront-redirect-on-viewer-country,17,7,7,JavaScript
machine-learning-with-scikit-learn-on-lamdba,10,0,2,Python
kinesis-process-record,17,7,7,JavaScript
fork-example-ecommerce-checkout-pipeline,99,19,16,Python
fork-example-ecommerce-checkout-api,99,19,16,Python
cloudwatch-logs-process-data,17,7,7,JavaScript
api-lambda-delete-dynamodb,1,1,0,JavaScript
rotate,85,8,39,JavaScript
kinesis-firehose-process-record-streams-as-source,17,7,7,JavaScript
sumologic-mongodb-atlas,0,5,2,Python
image-moderation-chatbot,115,46,51,Python
ThundraHelloWorld,13,4,4,Java
helloWorldLex,22,3,10,JavaScript
Twitter-Poller-to-Kinesis-Firehose,102,26,46,Python
lex-make-appointment,17,7,7,JavaScript
timber-logging,3,8,2,Python
sfn-callback-urls,34,1,4,Python
NYC-Parks-Events-Crawler,8,0,4,Python
s3-static-site,6,1,2,None
cloudfront-redirect-unauthenticated-users,17,7,7,JavaScript
kinesis-process-record-python,17,7,7,JavaScript
UvaSoftware-Scanii-Lambda,21,4,5,JavaScript
ses-notification-python,17,7,7,JavaScript
lex-book-trip-python,17,7,7,JavaScript
AutoUpdateCloudfrontSecurityGroups,4,2,0,Python
kinesis-firehose-cloudwatch-logs-processor,17,7,7,JavaScript
SecretsManagerMongoDBRotationMultiUser,52,15,58,Python
inbound-ses-spam-filter,17,7,7,JavaScript
