#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,971,140,1161,JavaScript
hello-world,6139,334,1583,Python
alexa-skills-kit-nodejs-triviaskill,240,76,311,JavaScript
alexa-skills-kit-nodejs-howtoskill,232,57,203,JavaScript
Datadog-Log-Forwarder,120,158,178,Python
microservice-http-endpoint,6139,334,1583,Python
alexa-skills-kit-python36-factskill,84,21,145,Python
image-resizer-service,57,0,29,JavaScript
alexa-skills-kit-nodejs-premium-facts-skill,52,27,53,JavaScript
aws-deployment-framework,196,32,51,Python
uploader,77,6,37,JavaScript
api-gateway-dev-portal,491,36,164,JavaScript
api-lambda-save-dynamodb,31,2,9,JavaScript
api-lambda-send-email-ses,17,2,3,JavaScript
hello-world-python3,6139,334,1583,Python
serverless-todo,21,3,12,JavaScript
https-request,6139,334,1583,Python
hello-world-python,6139,334,1583,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
alexa-skills-kit-nodejs-hello-world,147,58,243,JavaScript
NewRelic-log-ingestion,8,16,11,Python
image-magick-lambda-layer,31,6,12,JavaScript
AmazonConnectSalesforceLambda,4,1,1,Python
cloudfront-response-generation,6139,334,1583,Python
ALB-Lambda-Target-HelloWorld,202,22,59,Java
SecretsManagerRedshiftRotationSingleUser,47,15,48,Python
hello-go-serverless-webapp,16,3,4,Go
ffmpeg-lambda-layer,74,8,14,JavaScript
image-processing-service,6139,334,1583,Python
cloudwatch-alarm-to-slack,6139,334,1583,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
s3-get-object,6139,334,1583,Python
simple-mobile-backend,6139,334,1583,Python
sqs-poller,6139,334,1583,Python
lambda-to-slack,4,1,5,Python
Contact-Us,39,2,12,JavaScript
lambda-web-page-example,4,0,5,JavaScript
api-gateway-authorizer-nodejs,6139,334,1583,Python
alexa-anagram,4,3,3,JavaScript
Tesseract,795,41,151,Python
serverless-cognito,47,2,6,Python
sns-message,6139,334,1583,Python
amazon-cognito-passwordless-email-auth,64,4,25,TypeScript
tic-tac-toe,1,1,1,Python
SecretsManagerMongoDBRotationSingleUser,47,15,48,Python
microservice-http-endpoint-python,6139,334,1583,Python
CodePipelineSlackNotifier,64,2,25,Shell
lambda-authorizer-basic-auth,27,1,2,Python
cloudfront-authorization-at-edge,18,4,8,TypeScript
api-lambda-get-all-dynamodb,1,1,0,JavaScript
lightsail-backups,45,9,20,JavaScript
aws-serverless-twitter-event-source,63,15,15,Python
microservice-http-endpoint-python3,6139,334,1583,Python
cloudfront-http-redirect,6139,334,1583,Python
lambdium,212,12,31,JavaScript
api-lambda-update-dynamodb,2,2,1,JavaScript
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
s3-get-object-python,6139,334,1583,Python
cfn-nag-pipeline,525,32,95,Ruby
amazon-cloudfront-access-logs-queries,20,3,16,JavaScript
sns-subscription-filter-policy-string,94,16,15,Python
pipeline-dashboard,82,8,32,JavaScript
api-lambda-get-one-dynamodb,5,1,0,JavaScript
lex-book-trip,6139,334,1583,Python
rekognition-python,6139,334,1583,Python
dynamodb-lex,2,1,1,JavaScript
sns-message-python,6139,334,1583,Python
aws-sagemaker-ground-truth-recipe,4,1,4,Python
s3-get-object-python3,6139,334,1583,Python
resize,77,6,37,JavaScript
workmail-hello-world-python,5,3,4,Python
DocumentGenerator,795,41,151,Python
Chromium,795,41,151,Python
Pandas,795,41,151,Python
auto-subscribe-log-group-to-arn,27,1,2,JavaScript
s3-lambda-publisher-sns,2,1,1,JavaScript
cloudfront-modify-response-header,6139,334,1583,Python
sqs-to-dynamodb,0,1,1,JavaScript
fork-event-storage-backup-pipeline,94,16,15,Python
lambda-layer-awscli,38,3,10,Makefile
helloWorldLex,22,3,10,JavaScript
api-lambda-stripe-charge,23,3,3,JavaScript
dynamodb-process-stream-python3,6139,334,1583,Python
lambda-janitor,12,4,2,JavaScript
s3-presigned-url,6139,334,1583,Python
stu,21,4,9,HTML
aws-serverless-sqs-event-source,32,7,10,Java
tweet-sentiment,1,1,0,Python
elasticsearch-cleanup,94,18,60,Python
api-lambda-sns-publisher,0,1,1,JavaScript
lex-order-flowers,6139,334,1583,Python
fork-event-replay-pipeline,94,16,15,Python
image-moderation-chatbot,111,46,50,Python
ses-notification-nodejs,6139,334,1583,Python
step-functions-send-to-sns,6139,334,1583,Python
fork-event-search-analytics-pipeline,94,16,15,Python
machine-learning-with-scikit-learn-on-lamdba,9,0,2,Python
galleria,77,6,37,JavaScript
s3-static-site,5,1,2,None
slack-echo-command,6139,334,1583,Python
Twitter-Poller-to-Kinesis-Firehose,103,27,45,Python
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
lex-make-appointment,6139,334,1583,Python
AutoUpdateCloudfrontSecurityGroups,3,2,0,Python
fork-example-ecommerce-checkout-pipeline,94,16,15,Python
whats-your-name,13,2,2,Python
s3-replicator,2,1,3,JavaScript
timber-logging,3,8,2,Python
slack-echo-command-python,6139,334,1583,Python
fork-example-ecommerce-checkout-api,94,16,15,Python
serverless-form-handler,7,0,2,JavaScript
serverless-chrome-layer,3,1,0,JavaScript
sumologic-securityhub-collector,90,45,101,Python
api-gateway-authorizer-python,6139,334,1583,Python
compress,77,6,37,JavaScript
github-codebuild-logs,23,4,3,Python
slack-slash-hodor,1,1,1,JavaScript
greengrass-hello-world-nodejs,6139,334,1583,Python
lambda-layer-kubectl,40,4,16,Makefile
Serverless-S3-Uploader,3,1,1,JavaScript
cloudfront-s3-origin-website-redirects,1,0,2,JavaScript
kinesis-process-record,6139,334,1583,Python
sns-subscriber-lambda-s3,3,1,1,JavaScript
aws-lambda-power-tuning,802,36,39,JavaScript
api-lambda-delete-dynamodb,1,1,0,JavaScript
greengrass-hello-world,6139,334,1583,Python
ALB-Lambda-Target-WhatisMyIP,202,22,59,Java
S3-Image-Monitoring-Detection-Using-Rekognition-Publish-Data-on-SNS,3,1,1,Python
sumologic-loggroup-connector,90,45,101,Python
alexa-city-biking-skill,2,1,2,JavaScript
aws-tag-explorer,9,1,3,Python
cloudwatch-alarm-to-slack-python3,6139,334,1583,Python
cloudwatch-logs-process-data,6139,334,1583,Python
lex-book-trip-python,6139,334,1583,Python
kinesis-process-record-python,6139,334,1583,Python
aws-serverless-codepipeline-serverlessrepo-publish,7,11,5,Python
ThundraHelloWorld,13,4,3,Java
cloudfront-redirect-on-viewer-country,6139,334,1583,Python
dynamodb-lambda-publisher-sns,0,1,0,JavaScript
ecr-deploy,7,1,3,Python
SecretsManagerRedshiftRotationMultiUser,47,15,48,Python
cw-logs-to-chime,0,1,0,Python
lambda-canary-python3,6139,334,1583,Python
deploy-to-s3,13,4,7,Python
python-sam-codebuild-ci,3,2,1,None
NYC-Parks-Events-Crawler,6,0,4,Python
sumologic-mongodb-atlas,0,5,0,Python
ses-notification-python,6139,334,1583,Python
lex-make-appointment-python,6139,334,1583,Python
cloudfront-ab-test,6138,334,1583,Python
LogzioCloudWatchShipper,25,10,33,Python
cw-logs-to-lambda,1,1,0,Python
hotdog-detector,87,38,24,Python
aws-serverless-sns-forwarder,6,12,1,Python
datadog-process-rds-metrics,6138,334,1583,Python
kinesis-firehose-cloudwatch-logs-processor,6138,334,1583,Python
ImageProcessingPython,795,41,151,Python
