#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,976,139,1164,JavaScript
hello-world,6171,334,1601,Python
alexa-skills-kit-nodejs-triviaskill,240,76,312,JavaScript
alexa-skills-kit-nodejs-howtoskill,233,56,203,JavaScript
Datadog-Log-Forwarder,121,161,179,Python
microservice-http-endpoint,6171,334,1601,Python
alexa-skills-kit-python36-factskill,86,22,145,Python
image-resizer-service,56,0,29,JavaScript
alexa-skills-kit-nodejs-premium-facts-skill,52,25,53,JavaScript
aws-deployment-framework,197,32,53,Python
api-gateway-dev-portal,494,36,167,JavaScript
uploader,79,6,39,JavaScript
api-lambda-save-dynamodb,32,2,10,JavaScript
api-lambda-send-email-ses,17,2,3,JavaScript
hello-world-python3,6171,334,1601,Python
serverless-todo,22,3,12,JavaScript
https-request,6171,334,1601,Python
hello-world-python,6171,334,1601,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
alexa-skills-kit-nodejs-hello-world,147,58,246,JavaScript
NewRelic-log-ingestion,8,16,11,Python
image-magick-lambda-layer,34,6,16,JavaScript
cloudfront-response-generation,6171,334,1601,Python
AmazonConnectSalesforceLambda,4,1,1,Python
ALB-Lambda-Target-HelloWorld,202,22,60,Java
SecretsManagerRedshiftRotationSingleUser,47,15,50,Python
hello-go-serverless-webapp,16,3,4,Go
ffmpeg-lambda-layer,80,8,15,JavaScript
image-processing-service,6171,334,1601,Python
cloudwatch-alarm-to-slack,6171,334,1601,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
s3-get-object,6171,334,1601,Python
simple-mobile-backend,6171,334,1601,Python
sqs-poller,6171,334,1601,Python
lambda-to-slack,4,1,5,Python
Contact-Us,39,2,12,JavaScript
lambda-web-page-example,4,0,5,JavaScript
api-gateway-authorizer-nodejs,6171,334,1601,Python
Tesseract,804,41,153,Python
alexa-anagram,5,3,3,JavaScript
serverless-cognito,47,2,6,Python
sns-message,6171,334,1601,Python
amazon-cognito-passwordless-email-auth,65,4,26,TypeScript
cloudfront-authorization-at-edge,19,4,8,TypeScript
tic-tac-toe,1,1,1,Python
SecretsManagerMongoDBRotationSingleUser,47,15,50,Python
microservice-http-endpoint-python,6171,334,1601,Python
CodePipelineSlackNotifier,64,2,25,Shell
lambda-authorizer-basic-auth,27,1,2,Python
lightsail-backups,45,8,20,JavaScript
aws-serverless-twitter-event-source,64,15,15,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
microservice-http-endpoint-python3,6171,334,1601,Python
cloudfront-http-redirect,6171,334,1601,Python
lambdium,212,12,31,JavaScript
api-lambda-update-dynamodb,2,2,1,JavaScript
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
cfn-nag-pipeline,528,32,95,Ruby
s3-get-object-python,6171,334,1601,Python
amazon-cloudfront-access-logs-queries,20,3,16,JavaScript
sns-subscription-filter-policy-string,94,16,15,Python
pipeline-dashboard,83,8,32,JavaScript
api-lambda-get-one-dynamodb,5,1,0,JavaScript
lex-book-trip,6171,334,1601,Python
rekognition-python,6171,334,1601,Python
dynamodb-lex,2,1,1,JavaScript
aws-sagemaker-ground-truth-recipe,4,1,4,Python
sns-message-python,6171,334,1601,Python
s3-get-object-python3,6171,334,1601,Python
resize,79,6,39,JavaScript
Chromium,804,41,153,Python
workmail-hello-world-python,5,3,4,Python
DocumentGenerator,804,41,153,Python
Pandas,804,41,153,Python
s3-lambda-publisher-sns,3,1,1,JavaScript
cloudfront-modify-response-header,6171,334,1601,Python
fork-event-storage-backup-pipeline,94,16,15,Python
auto-subscribe-log-group-to-arn,27,1,2,JavaScript
lambda-layer-awscli,39,3,11,Makefile
sqs-to-dynamodb,0,1,1,JavaScript
dynamodb-process-stream-python3,6171,334,1601,Python
helloWorldLex,22,3,10,JavaScript
api-lambda-stripe-charge,23,3,3,JavaScript
lambda-janitor,12,4,4,JavaScript
s3-presigned-url,6171,334,1602,Python
