#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,873,130,1073,JavaScript
alexa-skills-kit-nodejs-triviaskill,226,76,278,JavaScript
hello-world,5120,325,1167,Python
alexa-skills-kit-nodejs-howtoskill,225,55,194,JavaScript
microservice-http-endpoint,5120,325,1167,Python
alexa-skills-kit-color-expert-python,5120,325,1167,Python
image-resizer-service,39,0,23,JavaScript
Datadog-Log-Forwarder,82,128,106,Python
alexa-smart-home-skill-adapter,5120,325,1167,Python
alexa-skills-kit-python36-factskill,65,21,108,Python
api-lambda-save-dynamodb,18,2,7,JavaScript
uploader,60,5,29,JavaScript
alexa-skills-kit-color-expert,5120,325,1167,Python
hello-world-python3,5120,325,1167,Python
serverless-todo,15,3,7,JavaScript
https-request,5120,325,1167,Python
api-gateway-dev-portal,414,39,131,JavaScript
hello-world-python,5120,325,1167,Python
api-lambda-send-email-ses,9,2,2,JavaScript
cloudfront-response-generation,5120,325,1167,Python
s3-get-object,5120,325,1167,Python
Contact-Us,33,2,7,JavaScript
lambda-web-page-example,4,0,2,JavaScript
image-processing-service,5120,325,1167,Python
AmazonConnectSalesforceLambda,1,1,1,Python
hello-go-serverless-webapp,15,3,5,Go
simple-mobile-backend,5120,325,1167,Python
alexa-skills-kit-nodejs-premium-facts-skill,26,26,29,JavaScript
serverless-cognito,37,2,6,Python
alexa-skills-kit-nodejs-basic-welcome,0,0,1,JavaScript
api-gateway-authorizer-nodejs,5120,325,1167,Python
NewRelic-log-ingestion,4,18,3,Python
cloudwatch-alarm-to-slack,5120,325,1167,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
sqs-poller,5120,325,1167,Python
lambdium,188,10,31,JavaScript
ALB-Lambda-Target-HelloWorld,189,23,59,Java
sns-message,5120,325,1167,Python
alexa-anagram,4,3,4,JavaScript
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,5120,325,1167,Python
aws-serverless-twitter-event-source,51,13,11,Python
Tesseract,685,41,105,Python
cloudfront-http-redirect,5120,325,1167,Python
api-lambda-get-all-dynamodb,0,1,0,JavaScript
alexa-skills-kit-nodejs-hello-world,136,55,209,PowerShell
acloudguru-alexadevs-leaderboard,0,6,4,JavaScript
rekognition-python,5120,325,1167,Python
microservice-http-endpoint-python3,5120,325,1167,Python
s3-get-object-python3,5120,325,1167,Python
lex-book-trip,5120,325,1167,Python
lambda-to-slack,2,1,2,Python
pipeline-dashboard,59,9,21,JavaScript
api-lambda-get-one-dynamodb,2,1,0,JavaScript
helloWorldLex,21,3,10,JavaScript
lambda-authorizer-basic-auth,22,1,1,Python
s3-get-object-python,5120,325,1167,Python
tweet-sentiment,0,1,0,Python
sns-message-python,5120,325,1167,Python
api-lambda-update-dynamodb,1,2,1,JavaScript
resize,60,5,29,JavaScript
s3-lambda-publisher-sns,2,1,1,JavaScript
sns-subscription-filter-policy-string,45,6,3,Python
cfn-nag-pipeline,429,38,71,Ruby
aws-serverless-sqs-event-source,28,7,7,Java
stu,19,4,6,HTML
dynamodb-process-stream-python3,5120,325,1167,Python
SecretsManagerRedshiftRotationSingleUser,33,10,23,Python
amazon-cognito-passwordless-email-auth,31,1,17,TypeScript
cloudfront-modify-response-header,5120,325,1167,Python
slack-echo-command,5120,325,1167,Python
step-functions-send-to-sns,5120,325,1167,Python
s3-static-site,3,1,2,None
s3-replicator,2,1,2,JavaScript
api-lambda-stripe-charge,14,3,1,JavaScript
DocumentGenerator,685,41,105,Python
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
