#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,937,135,1127,JavaScript
alexa-skills-kit-nodejs-triviaskill,238,76,303,JavaScript
hello-world,5821,330,1434,Python
alexa-skills-kit-nodejs-howtoskill,229,56,200,JavaScript
Datadog-Log-Forwarder,109,149,153,Python
microservice-http-endpoint,5821,330,1434,Python
alexa-skills-kit-color-expert-python,5821,330,1434,Python
alexa-skills-kit-python36-factskill,71,21,134,Python
image-resizer-service,54,0,27,JavaScript
alexa-smart-home-skill-adapter,5821,330,1434,Python
alexa-skills-kit-nodejs-premium-facts-skill,44,27,47,JavaScript
alexa-skills-kit-color-expert,5821,330,1434,Python
uploader,72,6,34,JavaScript
api-lambda-save-dynamodb,28,2,8,JavaScript
api-gateway-dev-portal,466,36,157,JavaScript
api-lambda-send-email-ses,15,2,3,JavaScript
hello-world-python3,5821,330,1434,Python
serverless-todo,19,3,9,JavaScript
https-request,5821,330,1434,Python
hello-world-python,5821,330,1434,Python
aws-deployment-framework,152,24,34,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
cloudfront-response-generation,5821,330,1434,Python
alexa-skills-kit-nodejs-hello-world,143,56,234,JavaScript
AmazonConnectSalesforceLambda,4,1,1,Python
ALB-Lambda-Target-HelloWorld,196,22,59,Java
NewRelic-log-ingestion,5,17,6,Python
hello-go-serverless-webapp,16,3,4,Go
image-processing-service,5821,330,1434,Python
s3-get-object,5821,330,1434,Python
cloudwatch-alarm-to-slack,5821,330,1434,Python
Contact-Us,36,2,12,JavaScript
simple-mobile-backend,5821,330,1434,Python
lambda-web-page-example,4,0,5,JavaScript
api-gateway-authorizer-nodejs,5821,330,1434,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
sqs-poller,5821,330,1434,Python
serverless-cognito,44,2,6,Python
image-magick-lambda-layer,24,5,6,JavaScript
Tesseract,755,39,130,Python
lambda-to-slack,4,1,2,Python
sns-message,5821,330,1434,Python
alexa-anagram,4,3,4,JavaScript
ffmpeg-lambda-layer,61,8,12,JavaScript
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,5821,330,1434,Python
CodePipelineSlackNotifier,59,2,24,Shell
amazon-cognito-passwordless-email-auth,59,3,24,TypeScript
lambdium,203,10,31,JavaScript
SecretsManagerRedshiftRotationSingleUser,41,12,39,Python
cloudfront-http-redirect,5821,330,1434,Python
lambda-authorizer-basic-auth,24,1,2,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
aws-serverless-twitter-event-source,59,16,15,Python
microservice-http-endpoint-python3,5821,330,1434,Python
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
pipeline-dashboard,78,8,28,JavaScript
rekognition-python,5821,330,1434,Python
api-lambda-update-dynamodb,1,2,1,JavaScript
cfn-nag-pipeline,484,33,89,Ruby
s3-get-object-python,5821,330,1434,Python
sns-subscription-filter-policy-string,84,12,14,Python
lex-book-trip,5821,330,1434,Python
sns-message-python,5821,330,1434,Python
api-lambda-get-one-dynamodb,5,1,0,JavaScript
s3-get-object-python3,5821,330,1434,Python
amazon-cloudfront-access-logs-queries,16,2,12,JavaScript
dynamodb-lex,1,1,1,JavaScript
resize,72,6,34,JavaScript
SecretsManagerMongoDBRotationSingleUser,41,12,39,Python
helloWorldLex,22,3,10,JavaScript
s3-lambda-publisher-sns,2,1,1,JavaScript
cloudfront-modify-response-header,5821,330,1434,Python
Pandas,755,39,130,Python
api-lambda-stripe-charge,20,4,1,JavaScript
dynamodb-process-stream-python3,5821,330,1434,Python
Chromium,755,39,130,Python
tweet-sentiment,0,1,0,Python
aws-serverless-sqs-event-source,31,7,9,Java
aws-sagemaker-ground-truth-recipe,3,0,3,Python
stu,20,4,8,HTML
fork-event-storage-backup-pipeline,84,12,14,Python
step-functions-send-to-sns,5821,330,1434,Python
api-lambda-sns-publisher,0,1,1,JavaScript
DocumentGenerator,755,39,130,Python
workmail-hello-world-python,5,2,4,Python
s3-presigned-url,5821,330,1434,Python
lex-order-flowers,5821,330,1434,Python
image-moderation-chatbot,107,44,47,Python
sqs-to-dynamodb,0,1,1,JavaScript
slack-echo-command,5821,330,1434,Python
ses-notification-nodejs,5821,330,1434,Python
fork-event-replay-pipeline,84,12,14,Python
elasticsearch-cleanup,89,19,54,HCL
s3-static-site,5,1,2,None
auto-subscribe-log-group-to-arn,12,1,1,JavaScript
fork-event-search-analytics-pipeline,84,12,14,Python
Twitter-Poller-to-Kinesis-Firehose,99,27,42,Python
whats-your-name,13,2,2,Python
s3-replicator,2,1,3,JavaScript
galleria,72,6,34,JavaScript
slack-echo-command-python,5821,330,1434,Python
machine-learning-with-scikit-learn-on-lamdba,9,0,1,Python
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript
timber-logging,3,8,2,Python
AutoUpdateCloudfrontSecurityGroups,3,2,0,Python
lex-make-appointment,5821,330,1434,Python
serverless-chrome-layer,2,1,0,JavaScript
slack-slash-hodor,1,1,1,JavaScript
api-gateway-authorizer-python,5821,330,1434,Python
fork-example-ecommerce-checkout-pipeline,84,12,14,Python
kinesis-process-record,5821,330,1434,Python
fork-example-ecommerce-checkout-api,84,12,14,Python
lambda-layer-awscli,28,2,8,Makefile
sns-subscriber-lambda-s3,3,1,1,JavaScript
api-lambda-delete-dynamodb,1,1,0,JavaScript
greengrass-hello-world-nodejs,5821,330,1434,Python
sumologic-securityhub-collector,85,45,100,Python
cloudfront-s3-origin-website-redirects,0,0,1,JavaScript
compress,72,6,34,JavaScript
sumologic-app-utils,85,45,100,Python
cloudwatch-alarm-to-slack-python3,5821,330,1434,Python
lambda-janitor,4,4,1,JavaScript
lex-book-trip-python,5821,330,1434,Python
alexa-city-biking-skill,2,1,2,JavaScript
aws-tag-explorer,8,1,3,Python
kinesis-process-record-python,5821,330,1434,Python
sumologic-loggroup-connector,85,45,100,Python
dynamodb-lambda-publisher-sns,0,1,0,JavaScript
cloudfront-redirect-on-viewer-country,5821,330,1434,Python
cw-logs-to-chime,0,1,0,Python
S3-Image-Monitoring-Detection-Using-Rekognition-Publish-Data-on-SNS,2,1,1,Python
ecr-deploy,7,1,3,Python
ALB-Lambda-Target-WhatisMyIP,196,22,59,Java
cloudwatch-logs-process-data,5821,330,1434,Python
python-sam-codebuild-ci,3,2,1,None
lex-make-appointment-python,5821,330,1434,Python
github-codebuild-logs,15,2,0,Python
LogzioCloudWatchShipper,23,10,32,Python
ThundraHelloWorld,13,4,2,Java
hotdog-detector,86,35,23,Python
lambda-canary-python3,5821,330,1434,Python
cloudfront-ab-test,5821,330,1434,Python
datadog-process-rds-metrics,5821,330,1434,Python
NYC-Parks-Events-Crawler,6,0,4,Python
lex-order-flowers-python,5821,330,1434,Python
ImageProcessingPython,755,39,130,Python
cw-logs-to-lambda,1,1,0,Python
aws-serverless-codepipeline-serverlessrepo-publish,5,11,4,Python
UvaSoftware-Scanii-Lambda,19,3,5,JavaScript
ses-notification-python,5821,330,1434,Python
cloudwatch-alarm-to-slack-python,5821,330,1434,Python
lambda-layer-kubectl,24,1,12,Makefile
lambda-canary,5821,330,1434,Python
aws-serverless-sns-forwarder,5,12,1,Python
aws-lambda-power-tuning,691,31,33,JavaScript
kinesis-firehose-cloudwatch-logs-processor,5821,330,1434,Python
Load-testing,755,39,130,Python
python-lambdacore,6,1,0,Python
sumologic-mongodb-atlas,0,5,0,Python
api-gateway-multiple-origin-cors,5821,330,1434,Python
cw-logs-to-slack,3,1,2,Makefile
aws-sns-to-slack-publisher,16,1,6,Python
aws-internal-healthcheck,3,1,1,JavaScript
rotate,72,6,34,JavaScript
serverless-form-handler,4,0,2,JavaScript
cognito-sync-trigger,5821,330,1434,Python
serverless-numpy,2,1,1,Python
cloudwatch-logs-to-loggly,5821,330,1434,Python
Packer-Cleaner,3,1,1,Python
Return-Set-Word-Python3,0,0,1,Python
cloudfront-simple-remote-call,5821,330,1434,Python
inbound-ses-spam-filter,5821,330,1434,Python
Cloudwatch-event-serverless-monitor-and-get-alerted-on-aws-account-activity,0,0,1,Python
lightsail-backups,36,8,17,JavaScript
ServerlessEventTestTarget,1,1,0,JavaScript
s3-lambda-ffmpeg-mov-to-mp4-s3,4,1,2,JavaScript
cfn-look-up-ami-ids,5821,330,1434,Python
sumologic-securityhub-forwarder,85,45,100,Python
retweet-leaderboard,10,2,1,Java
cloudfront-redirect-unauthenticated-users,5821,330,1434,Python
cloudfront-authorization-at-edge,10,4,2,TypeScript
algorithmia,5821,330,1434,Python
aws-health-event-to-slack-message,3,1,1,Python
plantuml-render,19,5,4,HTML
appsync-broadcaster,11,1,1,JavaScript
Voice-Lexicon-API,0,1,0,Python
inbound-ses-spam-filter-python,5821,330,1434,Python
TweetEventSource,2,2,2,TypeScript
s3-lambda-csv-to-xlsx-s3,3,1,2,JavaScript
Salesforce-API-Access-Manager-Monitor-Logger,2,2,1,JavaScript
cfn-stack-outputs,5821,330,1434,Python
Kinesis-Enhanced-Fan-Out-to-DDB-S3,0,0,1,JavaScript
s3-cost-explorer,0,1,0,Python
EventWriter,4,2,0,JavaScript
inspector-scheduled-run,5821,330,1434,Python
kinesis-firehose-process-record-streams-as-source,5821,330,1434,Python
Glim,0,1,0,Python
greengrass-hello-world,5821,330,1434,Python
portable-serverless-app,8,3,3,JavaScript
human-trafficking-facts,0,0,0,JavaScript
Serverless-S3-Uploader,2,1,0,JavaScript
codepipeline-s3-deploy,0,1,0,JavaScript
alexa-skill-clean-code-template,1,0,0,JavaScript
kinesis-firehose-syslog-to-json-python,5821,330,1434,Python
kinesis-firehose-apachelog-to-csv,5821,330,1434,Python
alb-logs-firehose-publisher,4,1,0,Go
SAM-logging-regional-endpoints,0,1,0,JavaScript
metric-publisher-app,5,13,5,Python
twitter-to-slack-message,0,1,0,Python
s3-pgp-encryptor,1,1,2,JavaScript
sepia,72,6,34,JavaScript
node-exec,5821,330,1434,Python
SecretsManagerRedshiftRotationMultiUser,41,12,39,Python
ghostscript-lambda-layer,1,1,0,Makefile
lambda-test-harness,5821,330,1434,Python
kinesis-analytics-process-record,5821,330,1434,Python
aurora-api,0,1,0,JavaScript
signalfx-enhanced-rds-metrics,4,33,2,Python
kinesis-analytics-process-record-python,5821,330,1434,Python
rekognition-sqs,7,0,4,Python
async-custom-metrics,6,0,0,JavaScript
api-gateway-multiple-origin-cors,5821,330,1434,Python
auto-set-log-group-retention,12,1,1,JavaScript
lambda-to-chime,0,1,0,Python
LightGBM,755,39,130,Python
blur,72,6,34,JavaScript
Spacy,755,39,130,Python
cloudfront-multiple-remote-calls-aggregate-response,5821,330,1434,Python
kinesis-firehose-apachelog-to-json-python,5821,330,1434,Python
kinesis-firehose-apachelog-to-json,5821,330,1434,Python
EnergyProductFinder,0,1,0,Python
aws-sqs-dlq-redriver,3,1,1,Python
cloudfront-access-request-in-response,5821,330,1434,Python
RecyclingLocationFinder,0,1,0,Python
sns-lambda-put-cloudwatch,1,1,0,JavaScript
EtsyShopEventSource,2,1,0,TypeScript
lambda-versions-deleter,0,1,0,Python
nephridium,2,0,0,JavaScript
logicmonitor-send-cloudwatch-events,0,18,0,Python
aws-serverless-financial-functions-wrapper,36,21,7,Python
LambdaEdgeRemoveTrailingSlash,2,1,0,JavaScript
SpheroAlexaSkill,4,1,0,JavaScript
guardduty-log-uploader,2,1,0,Go
cloudfront-modify-querystring,5821,330,1435,Python
exif-metadata-extractor,3,1,0,Python
s3-lambda-transcribe-audio-to-text-s3,60,2,0,JavaScript
crop,72,6,34,JavaScript
kinesis-firehose-process-record-python,5821,330,1435,Python
monte-carlo-pi,0,1,0,Python
SecretsManagerMongoDBRotationMultiUser,41,12,39,Python
eks-lambda-drainer,0,0,0,None
aws-serverless-financial-functions-xirr,36,21,7,Python
aws-support-bot,0,0,0,Python
s3-lambda-csv-to-pdf-s3,0,1,0,JavaScript
uvasoftware-guarana,0,1,0,Java
pandoc-lambda-layer,25,1,9,JavaScript
s3-lambda-markdown-to-docx-s3,4,1,0,JavaScript
acm-dns-record-manager,1,1,0,JavaScript
rsvg-convert-lambda-layer,27,1,9,JavaScript
photo-gallery,1,1,0,TypeScript
aws-serverless-financial-functions-fv,36,21,7,Python
kinesis-analytics-process-compressed-record,5821,330,1435,Python
cfn-news-to-telegram,1,1,0,HTML
ThundraImageLinkExtractor,13,4,2,Java
image-proxy,5,0,1,Go
phone-home,0,1,0,JavaScript
cdkbot,1,0,0,Go
aws-serverless-financial-functions-pv,36,21,7,Python
pushilka-cloudfront-headers,0,1,1,JavaScript
ApplicationCostMonitoring,9,3,1,Python
GenerateLookML,0,63,0,Python
ssm-sign-proxy,0,2,0,Go
s3-lambda-ffmpeg-aac-wav-to-mp3-s3,2,2,1,JavaScript
comment-moderator,0,0,0,JavaScript
blur-faces-rekognition,1,1,0,Python
kinesis-firehose-syslog-to-csv-python,5821,330,1435,Python
url-redirect-https,63,6,24,Makefile
s3-lambda-svg-to-pdf-s3,0,1,0,JavaScript
failed-emr-info,0,1,1,Python
lending-app-nodejs6,0,0,0,JavaScript
OpenIdAuthorizer,3,1,1,C#
kinesis-firehose-syslog-to-csv,5821,330,1435,Python
serverless-search,91,4,8,JavaScript
signed-url-generator,0,1,0,Python
trigger-t2-unlimited-with-sns,3,1,2,Python
rev11-attiotbutton-filemakerapi,0,2,0,None
ddb-copier,4,2,4,Java
workmail-chat-bot-python,5,2,4,Python
LambdaScale,4,10,2,JavaScript
Cribl-S3-To-Snowflake,1,1,2,JavaScript
MWSAlerts,1,1,1,Python
mackerel-cloudwatch-forwarder,2,2,0,Go
HDFproc,755,39,130,Python
ACM-DynamoDB-Publisher,0,1,1,Python
api-websockets-push-notifications-dynamodb,1,1,0,JavaScript
json-logs-to-kinesis-firehose,0,1,0,Python
rev11-attiotbutton-SQL,0,2,0,None
appsync-graphql-crud-dynamodb,6,1,1,None
s3-lambda-markdown-to-html-s3,1,1,0,JavaScript
s3-lambda-image-text-detection-dynamodb,1,1,1,TypeScript
Carrier-Info,0,0,0,JavaScript
ACM-S3-Publisher,2,1,1,Python
kinesis-firehose-apachelog-to-csv-python,5822,330,1435,Python
kinesis-firehose-process-record-streams-as-source-python,5822,330,1435,Python
lambda-layer-headless-chromium,27,1,2,Makefile
aws-serverless-financial-functions-pmt,36,21,7,Python
kinesis-analytics-process-kpl-record,5822,330,1435,Python
Mill,7,8,0,JavaScript
kinesis-firehose-syslog-to-json,5822,330,1435,Python
lambda-customresource-testing,0,0,0,None
