#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,950,140,1151,JavaScript
alexa-skills-kit-nodejs-triviaskill,240,77,309,JavaScript
hello-world,6009,327,1518,Python
alexa-skills-kit-nodejs-howtoskill,231,57,202,JavaScript
Datadog-Log-Forwarder,113,156,169,Python
microservice-http-endpoint,6009,327,1518,Python
alexa-skills-kit-python36-factskill,81,22,139,Python
alexa-skills-kit-color-expert-python,6009,327,1518,Python
image-resizer-service,54,0,28,JavaScript
alexa-smart-home-skill-adapter,6009,327,1518,Python
alexa-skills-kit-nodejs-premium-facts-skill,48,27,49,JavaScript
alexa-skills-kit-color-expert,6009,327,1518,Python
uploader,72,6,34,JavaScript
api-gateway-dev-portal,477,36,160,JavaScript
api-lambda-save-dynamodb,29,2,9,JavaScript
api-lambda-send-email-ses,16,2,3,JavaScript
hello-world-python3,6009,327,1518,Python
aws-deployment-framework,173,29,44,Python
serverless-todo,20,3,11,JavaScript
https-request,6009,327,1518,Python
alexa-skills-kit-nodejs-hello-world,146,58,241,JavaScript
NewRelic-log-ingestion,6,16,10,Python
cloudfront-response-generation,6009,327,1518,Python
AmazonConnectSalesforceLambda,4,1,1,Python
ALB-Lambda-Target-HelloWorld,199,21,59,Java
hello-go-serverless-webapp,16,3,4,Go
image-magick-lambda-layer,26,6,9,JavaScript
image-processing-service,6009,327,1518,Python
cloudwatch-alarm-to-slack,6009,327,1518,Python
s3-get-object,6009,327,1518,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
simple-mobile-backend,6009,327,1518,Python
ffmpeg-lambda-layer,70,8,12,JavaScript
sqs-poller,6009,327,1518,Python
Contact-Us,38,2,12,JavaScript
api-gateway-authorizer-nodejs,6009,327,1518,Python
lambda-to-slack,4,1,4,Python
serverless-cognito,44,2,6,Python
Tesseract,775,39,144,Python
alexa-anagram,4,3,4,JavaScript
sns-message,6009,327,1518,Python
amazon-cognito-passwordless-email-auth,61,4,24,TypeScript
tic-tac-toe,1,1,1,Python
SecretsManagerRedshiftRotationSingleUser,43,13,42,Python
microservice-http-endpoint-python,6009,327,1518,Python
lambda-authorizer-basic-auth,26,1,2,Python
CodePipelineSlackNotifier,60,2,24,Shell
cloudfront-http-redirect,6009,327,1518,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
aws-serverless-twitter-event-source,60,15,15,Python
lambdium,210,12,32,JavaScript
microservice-http-endpoint-python3,6009,327,1518,Python
lightsail-backups,45,10,19,JavaScript
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
cfn-nag-pipeline,504,33,96,Ruby
amazon-cloudfront-access-logs-queries,20,3,13,JavaScript
api-lambda-update-dynamodb,2,2,1,JavaScript
pipeline-dashboard,81,8,32,JavaScript
sns-subscription-filter-policy-string,91,14,15,Python
api-lambda-get-one-dynamodb,5,1,0,JavaScript
sns-message-python,6009,327,1518,Python
dynamodb-lex,1,1,1,JavaScript
SecretsManagerMongoDBRotationSingleUser,43,13,42,Python
s3-get-object-python3,6009,327,1518,Python
resize,72,6,34,JavaScript
aws-sagemaker-ground-truth-recipe,3,1,4,Python
s3-lambda-publisher-sns,2,1,1,JavaScript
Chromium,775,39,144,Python
cloudfront-modify-response-header,6009,327,1518,Python
helloWorldLex,22,3,10,JavaScript
