#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,999,137,1184,JavaScript
hello-world,42,7,21,JavaScript
alexa-skills-kit-nodejs-triviaskill,242,75,317,JavaScript
alexa-skills-kit-nodejs-howtoskill,235,56,205,JavaScript
Datadog-Log-Forwarder,143,173,217,Python
microservice-http-endpoint,42,7,21,JavaScript
alexa-skills-kit-color-expert-python,42,7,21,JavaScript
alexa-skills-kit-color-expert,42,7,21,JavaScript
hello-world-python3,42,7,21,JavaScript
alexa-smart-home-skill-adapter,42,7,21,JavaScript
image-magick-lambda-layer,67,5,39,JavaScript
image-resizer-service,64,0,32,JavaScript
alexa-skills-kit-python36-factskill,87,22,145,Python
uploader,90,8,40,JavaScript
api-gateway-dev-portal,528,35,181,JavaScript
cloudfront-response-generation,42,7,21,JavaScript
https-request,42,7,21,JavaScript
api-lambda-save-dynamodb,36,3,10,JavaScript
NewRelic-log-ingestion,13,20,16,Python
standard-redirects-for-cloudfront,16,2,3,JavaScript
api-lambda-send-email-ses,18,2,3,JavaScript
ffmpeg-lambda-layer,103,10,21,JavaScript
SecretsManagerRedshiftRotationSingleUser,62,15,64,Python
hello-world-python,42,7,21,JavaScript
alexa-skills-kit-nodejs-premium-facts-skill,53,25,56,JavaScript
AmazonConnectSalesforceLambda,6,3,3,Python
ALB-Lambda-Target-HelloWorld,211,22,67,Java
cloudwatch-alarm-to-slack,42,7,21,JavaScript
lambda-to-slack,5,1,5,Python
aws-deployment-framework,247,34,76,Python
serverless-todo,22,3,13,JavaScript
alexa-skills-kit-nodejs-hello-world,153,56,258,JavaScript
image-processing-service,42,7,21,JavaScript
amazon-cognito-passwordless-email-auth,83,5,31,TypeScript
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
sqs-poller,42,7,21,JavaScript
api-gateway-authorizer-nodejs,42,7,21,JavaScript
AthenaCloudwatchConnector,89,21,16,Java
AthenaDynamoDBConnector,89,21,16,Java
cloudfront-authorization-at-edge,45,7,13,TypeScript
s3-lambda-save-dynamodb,10,2,1,JavaScript
cloudwatch-alarm-to-slack-python3,42,7,21,JavaScript
simple-mobile-backend,42,7,21,JavaScript
lambda-layer-awscli,50,3,15,Makefile
SecretsManagerMongoDBRotationSingleUser,62,15,64,Python
sns-message,42,7,21,JavaScript
microservice-http-endpoint-python,42,7,21,JavaScript
s3-get-object,42,7,21,JavaScript
hello-go-serverless-webapp,19,3,4,Go
microservice-http-endpoint-python3,42,7,21,JavaScript
cloudfront-modify-response-header,42,7,21,JavaScript
AthenaJdbcConnector,89,21,16,Java
amazon-cloudfront-access-logs-queries,27,4,23,JavaScript
resize,90,8,40,JavaScript
cloudfront-http-redirect,42,7,21,JavaScript
api-lambda-update-dynamodb,3,2,1,JavaScript
Serverless-S3-Uploader,7,1,6,JavaScript
api-lambda-get-one-dynamodb,6,1,0,JavaScript
api-lambda-get-all-dynamodb,1,1,0,JavaScript
Tesseract,853,43,160,Python
cw-logs-to-lambda,1,1,0,Python
cw-logs-to-slack,4,1,3,Makefile
lambda-janitor,22,4,8,JavaScript
aws-serverless-twitter-event-source,65,14,17,Python
lambda-layer-kubectl,61,5,26,Makefile
tic-tac-toe,1,1,1,Python
s3-get-object-python,42,7,21,JavaScript
aws-lambda-power-tuning,968,34,55,JavaScript
sns-subscription-filter-policy-string,105,19,16,Python
amplify-passwordless-sms-auth,26,4,30,Swift
lambda-authorizer-basic-auth,29,1,3,Python
aws-sagemaker-ground-truth-recipe,6,1,6,Python
lightsail-backups,44,8,19,JavaScript
serverless-form-handler,11,0,3,JavaScript
sns-message-python,42,7,21,JavaScript
s3-get-object-python3,42,7,21,JavaScript
SecretsManagerRedshiftRotationMultiUser,62,15,64,Python
alexa-anagram,5,3,4,JavaScript
serverless-cognito,50,2,7,Python
rekognition-python,42,7,21,JavaScript
Chromium,853,43,160,Python
fork-event-storage-backup-pipeline,105,19,16,Python
serverless-chrome-layer,4,1,0,JavaScript
auto-subscribe-log-group-to-arn,30,2,4,JavaScript
CodePipelineSlackNotifier,68,2,27,Shell
aws-serverless-sqs-event-source,32,7,12,Java
s3-lambda-publisher-sns,3,1,2,JavaScript
api-lambda-stripe-charge,30,3,5,JavaScript
sumologic-loggroup-connector,98,47,107,Python
dynamodb-process-stream-python3,42,7,21,JavaScript
Contact-Us,43,3,15,JavaScript
lambda-web-page-example,4,0,6,JavaScript
galleria,90,8,40,JavaScript
api-lambda-sns-publisher,0,1,1,JavaScript
ghostscript-lambda-layer,5,1,0,Makefile
api-gateway-authorizer-python,42,7,21,JavaScript
compress,90,8,40,JavaScript
elasticsearch-cleanup,99,16,63,Python
slack-echo-command-python,42,7,21,JavaScript
step-functions-send-to-sns,42,7,21,JavaScript
lambda-iot-rule,0,1,1,JavaScript
kinesis-firehose-apachelog-to-json,42,7,21,JavaScript
s3-presigned-url,6678,333,1697,Python
lambdium,213,12,31,JavaScript
pipeline-dashboard,88,8,33,JavaScript
slack-echo-command,42,7,21,JavaScript
DocumentGenerator,853,43,160,Python
ses-notification-nodejs,42,7,21,JavaScript
lex-book-trip,42,7,21,JavaScript
workmail-hello-world-python,7,3,5,Python
lambda-canary-python3,42,7,21,JavaScript
acloudguru-alexadevs-leaderboard,4,7,6,JavaScript
sumologic-securityhub-collector,98,47,107,Python
Pandas,853,43,160,Python
sqs-to-dynamodb,0,1,1,JavaScript
s3-replicator,5,2,3,JavaScript
sumologic-slack,0,29,1,Python
fork-event-replay-pipeline,105,19,16,Python
fork-event-search-analytics-pipeline,105,19,16,Python
dynamodb-lex,2,2,1,JavaScript
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript
ddb-copier,5,2,3,Java
ALB-Lambda-Target-WhatisMyIP,211,22,67,Java
aws-serverless-codepipeline-serverlessrepo-publish,11,11,7,Python
sns-subscriber-lambda-s3,3,1,1,JavaScript
machine-learning-with-scikit-learn-on-lamdba,11,0,4,Python
github-codebuild-logs,29,4,5,Python
lex-order-flowers,42,7,21,JavaScript
kinesis-firehose-process-record-streams-as-source,42,7,21,JavaScript
tweet-sentiment,1,1,0,Python
dynamodb-lambda-publisher-sns,0,1,0,JavaScript
stu,23,4,9,HTML
cloudfront-redirect-on-viewer-country,42,7,21,JavaScript
fork-example-ecommerce-checkout-pipeline,105,19,16,Python
cloudwatch-alarm-to-slack-python,42,7,21,JavaScript
fork-example-ecommerce-checkout-api,105,19,16,Python
whats-your-name,15,2,2,Python
rotate,90,8,40,JavaScript
api-lambda-delete-dynamodb,1,1,0,JavaScript
kinesis-process-record,42,7,21,JavaScript
cloudwatch-logs-process-data,42,7,21,JavaScript
ThundraHelloWorld,13,4,4,Java
cloudfront-redirect-unauthenticated-users,42,7,21,JavaScript
sfn-callback-urls,34,1,4,Python
sumologic-mongodb-atlas,0,5,2,Python
image-moderation-chatbot,122,47,53,Python
Twitter-Poller-to-Kinesis-Firehose,102,26,46,Python
lex-make-appointment,42,7,21,JavaScript
helloWorldLex,23,3,10,JavaScript
NYC-Parks-Events-Crawler,8,0,4,Python
ImageProcessingPython,853,43,160,Python
s3-static-site,6,1,2,None
requests-python-layer-app,1,1,0,Shell
timber-logging,3,8,2,Python
ses-notification-python,42,7,21,JavaScript
kinesis-process-record-python,42,7,21,JavaScript
kinesis-analytics-process-record-python,42,7,21,JavaScript
inbound-ses-spam-filter,42,7,21,JavaScript
UvaSoftware-Scanii-Lambda,21,4,5,JavaScript
SecretsManagerMongoDBRotationMultiUser,62,15,64,Python
deploy-to-s3,15,4,8,Python
Automated-IAM-policy-alerts-and-approvals,6,3,1,JavaScript
AutoUpdateCloudfrontSecurityGroups,4,2,0,Python
kinesis-firehose-cloudwatch-logs-processor,42,7,21,JavaScript
aws-tag-explorer,10,1,3,Python
lex-book-trip-python,42,7,21,JavaScript
S3-Image-Monitoring-Detection-Using-Rekognition-Publish-Data-on-SNS,3,1,3,Python
kinesis-firehose-apachelog-to-json-python,42,7,21,JavaScript
cognito-sync-trigger,42,7,21,JavaScript
rsvg-convert-lambda-layer,27,1,11,JavaScript
sumologic-guardduty-benchmark,98,47,107,Python
inspector-scheduled-run,42,7,21,JavaScript
lambda-layer-headless-chromium,34,1,5,Makefile
cloudfront-s3-origin-website-redirects,1,0,2,JavaScript
datadog-process-rds-metrics,42,7,21,JavaScript
auto-set-log-group-retention,30,2,4,JavaScript
TweetEventSource,2,2,2,TypeScript
lambda-canary,42,7,21,JavaScript
AthenaCloudwatchMetricsConnector,89,21,16,Java
cloudfront-ab-test,42,7,21,JavaScript
ecr-deploy,8,1,3,Python
Alexa-Nodejs-Dynamic-Content,0,1,2,JavaScript
serverless-numpy,3,1,1,Python
lex-make-appointment-python,42,7,21,JavaScript
cloudwatch-loggly-forwarder,10,12,0,Ruby
kinesis-firehose-apachelog-to-csv,42,7,21,JavaScript
pandoc-lambda-layer,29,1,11,JavaScript
realworld-serverless-application-backend-database,309,27,45,Java
async-custom-metrics,17,1,0,JavaScript
alexa-city-biking-skill,2,1,2,JavaScript
cloudwatch-logs-to-loggly,42,7,21,JavaScript
slack-slash-hodor,1,1,1,JavaScript
aws-dynamodb-stream-eventbridge-fanout,18,9,3,Java
getting-started-with-dynamodb-reviews-inserter,0,2,1,Python
kinesis-analytics-process-record,42,7,21,JavaScript
aws-serverless-sns-forwarder,6,10,3,Python
s3-lambda-csv-to-xlsx-s3,6,2,3,JavaScript
realworld-serverless-application-backend,309,27,45,Java
realworld-serverless-application-backend-api,309,27,45,Java
api-gateway-multiple-origin-cors,6678,333,1697,Python
my-ip-today,4,1,2,TypeScript
plantuml-render,22,5,4,HTML
sns-lambda-put-cloudwatch,1,1,0,JavaScript
lambda-test-harness,42,7,21,JavaScript
lex-order-flowers-python,42,7,21,JavaScript
alexa-skill-clean-code-template,9,0,2,JavaScript
EventWriter,4,2,0,JavaScript
aws-private-ca-policy-venafi,3,8,2,Go
ServerlessNetworkingPython3,64,7,2,C++
realworld-serverless-application-analytics,309,27,45,Java
realworld-serverless-application,309,27,45,Java
realworld-serverless-application-static-website,309,27,45,Java
realworld-serverless-application-ops-dashboard,309,27,45,Java
realworld-serverless-application-ops-alarm,309,27,45,Java
realworld-serverless-application-ops,309,27,45,Java
aurora-api,0,1,0,JavaScript
acme-cert-updater,4,2,0,Python
algorithmia,42,7,21,JavaScript
Glim,1,1,0,Python
AthenaAwsCmdbConnector,89,21,16,Java
python-sam-codebuild-ci,3,2,1,None
Load-testing,853,43,160,Python
appsync-broadcaster,12,1,2,JavaScript
aws-health-event-to-slack-message,5,1,1,Python
python-lambdacore,7,1,1,Python
cw-logs-to-chime,0,1,0,Python
hotdog-detector,91,38,25,Python
cfn-look-up-ami-ids,42,7,21,JavaScript
sumologic-securityhub-forwarder,98,47,107,Python
deno,147,8,2,TypeScript
Kinesis-Enhanced-Fan-Out-to-DDB-S3,1,0,3,JavaScript
kinesis-analytics-process-compressed-record,42,7,21,JavaScript
LogzioCloudWatchShipper,27,10,33,Python
sepia,90,8,40,JavaScript
lambda-to-chime,0,1,0,Python
Salesforce-API-Access-Manager-Monitor-Logger,2,2,1,JavaScript
cfn-stack-outputs,42,7,21,JavaScript
cloudfront-simple-remote-call,42,7,21,JavaScript
cloudfront-modify-querystring,42,7,21,JavaScript
s3-lambda-transcribe-audio-to-text-s3,62,2,0,JavaScript
crop,90,8,40,JavaScript
