#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,946,140,1149,JavaScript
alexa-skills-kit-nodejs-triviaskill,240,77,309,JavaScript
hello-world,6005,329,1511,Python
alexa-skills-kit-nodejs-howtoskill,231,57,202,JavaScript
Datadog-Log-Forwarder,113,156,168,Python
microservice-http-endpoint,6005,329,1511,Python
alexa-skills-kit-python36-factskill,80,22,139,Python
alexa-skills-kit-color-expert-python,6005,329,1511,Python
image-resizer-service,54,0,28,JavaScript
alexa-smart-home-skill-adapter,6005,329,1511,Python
alexa-skills-kit-nodejs-premium-facts-skill,48,27,49,JavaScript
alexa-skills-kit-color-expert,6005,329,1511,Python
uploader,72,6,34,JavaScript
api-gateway-dev-portal,476,36,159,JavaScript
api-lambda-save-dynamodb,29,2,9,JavaScript
api-lambda-send-email-ses,16,2,3,JavaScript
hello-world-python3,6005,329,1511,Python
serverless-todo,20,3,11,JavaScript
aws-deployment-framework,173,29,44,Python
https-request,6005,329,1511,Python
hello-world-python,6005,329,1511,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
alexa-skills-kit-nodejs-hello-world,146,58,241,JavaScript
NewRelic-log-ingestion,6,16,10,Python
cloudfront-response-generation,6005,329,1511,Python
AmazonConnectSalesforceLambda,4,1,1,Python
ALB-Lambda-Target-HelloWorld,199,21,59,Java
hello-go-serverless-webapp,16,3,4,Go
image-processing-service,6005,329,1511,Python
image-magick-lambda-layer,26,6,9,JavaScript
cloudwatch-alarm-to-slack,6005,329,1511,Python
s3-get-object,6005,329,1511,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
simple-mobile-backend,6005,329,1511,Python
ffmpeg-lambda-layer,70,8,12,JavaScript
sqs-poller,6005,329,1511,Python
Contact-Us,38,2,12,JavaScript
lambda-web-page-example,4,0,5,JavaScript
api-gateway-authorizer-nodejs,6005,329,1511,Python
lambda-to-slack,4,1,3,Python
serverless-cognito,44,2,6,Python
Tesseract,774,39,143,Python
alexa-anagram,4,3,4,JavaScript
sns-message,6005,329,1511,Python
amazon-cognito-passwordless-email-auth,61,4,24,TypeScript
tic-tac-toe,1,1,1,Python
SecretsManagerRedshiftRotationSingleUser,43,13,42,Python
microservice-http-endpoint-python,6005,329,1511,Python
lambda-authorizer-basic-auth,26,1,2,Python
CodePipelineSlackNotifier,60,2,24,Shell
cloudfront-http-redirect,6005,329,1511,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
lambdium,210,12,32,JavaScript
microservice-http-endpoint-python3,6005,329,1511,Python
aws-serverless-twitter-event-source,60,15,15,Python
lightsail-backups,45,10,19,JavaScript
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
cfn-nag-pipeline,503,33,95,Ruby
amazon-cloudfront-access-logs-queries,19,3,13,JavaScript
s3-get-object-python,6005,329,1511,Python
api-lambda-update-dynamodb,2,2,1,JavaScript
pipeline-dashboard,81,8,32,JavaScript
