#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,951,140,1153,JavaScript
alexa-skills-kit-nodejs-triviaskill,240,77,309,JavaScript
hello-world,6022,327,1524,Python
alexa-skills-kit-nodejs-howtoskill,231,57,202,JavaScript
Datadog-Log-Forwarder,113,156,169,Python
microservice-http-endpoint,6022,327,1524,Python
alexa-skills-kit-python36-factskill,81,22,139,Python
alexa-skills-kit-color-expert-python,6022,327,1524,Python
image-resizer-service,54,0,28,JavaScript
alexa-smart-home-skill-adapter,6022,327,1524,Python
alexa-skills-kit-nodejs-premium-facts-skill,48,27,49,JavaScript
alexa-skills-kit-color-expert,6022,327,1524,Python
uploader,72,6,34,JavaScript
api-gateway-dev-portal,480,36,162,JavaScript
api-lambda-save-dynamodb,29,2,9,JavaScript
api-lambda-send-email-ses,16,2,3,JavaScript
aws-deployment-framework,176,29,46,Python
hello-world-python3,6022,327,1524,Python
serverless-todo,20,3,11,JavaScript
https-request,6022,327,1524,Python
hello-world-python,6022,327,1524,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
alexa-skills-kit-nodejs-hello-world,146,58,241,JavaScript
NewRelic-log-ingestion,6,16,10,Python
cloudfront-response-generation,6022,327,1524,Python
hello-go-serverless-webapp,16,3,4,Go
image-magick-lambda-layer,26,6,9,JavaScript
image-processing-service,6022,327,1524,Python
cloudwatch-alarm-to-slack,6022,327,1524,Python
s3-get-object,6021,327,1524,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
ffmpeg-lambda-layer,70,8,12,JavaScript
simple-mobile-backend,6021,327,1524,Python
sqs-poller,6021,327,1524,Python
Contact-Us,38,2,12,JavaScript
lambda-web-page-example,4,0,5,JavaScript
lambda-to-slack,4,1,4,Python
api-gateway-authorizer-nodejs,6021,327,1524,Python
serverless-cognito,44,2,6,Python
Tesseract,777,39,145,Python
alexa-anagram,4,3,4,JavaScript
sns-message,6021,327,1524,Python
amazon-cognito-passwordless-email-auth,61,4,24,TypeScript
SecretsManagerRedshiftRotationSingleUser,43,13,42,Python
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,6021,327,1524,Python
CodePipelineSlackNotifier,60,2,24,Shell
lambda-authorizer-basic-auth,26,1,2,Python
cloudfront-http-redirect,6021,327,1524,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
aws-serverless-twitter-event-source,60,15,15,Python
lambdium,212,12,32,JavaScript
microservice-http-endpoint-python3,6021,327,1524,Python
lightsail-backups,45,10,19,JavaScript
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
s3-get-object-python,6021,327,1524,Python
api-lambda-update-dynamodb,2,2,1,JavaScript
pipeline-dashboard,81,8,32,JavaScript
sns-subscription-filter-policy-string,91,14,15,Python
api-lambda-get-one-dynamodb,5,1,0,JavaScript
rekognition-python,6021,327,1524,Python
lex-book-trip,6021,327,1524,Python
SecretsManagerMongoDBRotationSingleUser,43,13,42,Python
s3-get-object-python3,6021,327,1524,Python
resize,72,6,34,JavaScript
aws-sagemaker-ground-truth-recipe,3,1,4,Python
s3-lambda-publisher-sns,2,1,1,JavaScript
Chromium,777,39,145,Python
cloudfront-modify-response-header,6021,327,1524,Python
auto-subscribe-log-group-to-arn,19,1,1,JavaScript
helloWorldLex,22,3,10,JavaScript
Pandas,777,39,145,Python
api-lambda-stripe-charge,22,4,3,JavaScript
dynamodb-process-stream-python3,6021,327,1524,Python
DocumentGenerator,777,39,145,Python
fork-event-storage-backup-pipeline,91,14,15,Python
aws-serverless-sqs-event-source,32,7,9,Java
tweet-sentiment,0,1,0,Python
s3-presigned-url,6021,327,1524,Python
sqs-to-dynamodb,0,1,1,JavaScript
stu,21,4,9,HTML
lex-order-flowers,6021,327,1524,Python
image-moderation-chatbot,110,45,50,Python
elasticsearch-cleanup,93,18,59,HCL
step-functions-send-to-sns,6021,327,1524,Python
api-lambda-sns-publisher,0,1,1,JavaScript
fork-event-replay-pipeline,91,14,15,Python
ses-notification-nodejs,6021,327,1524,Python
