#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,972,140,1161,JavaScript
hello-world,6152,334,1593,Python
alexa-skills-kit-nodejs-triviaskill,240,76,311,JavaScript
alexa-skills-kit-nodejs-howtoskill,232,57,203,JavaScript
Datadog-Log-Forwarder,121,157,178,Python
microservice-http-endpoint,6152,334,1593,Python
alexa-skills-kit-python36-factskill,86,22,145,Python
image-resizer-service,57,0,29,JavaScript
alexa-skills-kit-nodejs-premium-facts-skill,52,26,53,JavaScript
aws-deployment-framework,196,32,51,Python
api-gateway-dev-portal,494,36,166,JavaScript
uploader,77,6,37,JavaScript
api-lambda-save-dynamodb,31,2,9,JavaScript
api-lambda-send-email-ses,17,2,3,JavaScript
hello-world-python3,6152,334,1593,Python
serverless-todo,21,3,12,JavaScript
https-request,6152,334,1593,Python
hello-world-python,6152,334,1593,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
alexa-skills-kit-nodejs-hello-world,147,58,243,JavaScript
NewRelic-log-ingestion,8,16,11,Python
image-magick-lambda-layer,32,6,13,JavaScript
cloudfront-response-generation,6152,334,1593,Python
AmazonConnectSalesforceLambda,4,1,1,Python
ALB-Lambda-Target-HelloWorld,202,22,60,Java
SecretsManagerRedshiftRotationSingleUser,47,15,48,Python
hello-go-serverless-webapp,16,3,4,Go
ffmpeg-lambda-layer,76,8,14,JavaScript
image-processing-service,6152,334,1593,Python
cloudwatch-alarm-to-slack,6152,334,1593,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
s3-get-object,6152,334,1593,Python
simple-mobile-backend,6152,334,1593,Python
sqs-poller,6152,334,1593,Python
lambda-to-slack,4,1,5,Python
Contact-Us,39,2,12,JavaScript
lambda-web-page-example,4,0,5,JavaScript
api-gateway-authorizer-nodejs,6152,334,1593,Python
Tesseract,801,41,153,Python
alexa-anagram,4,3,3,JavaScript
serverless-cognito,47,2,6,Python
sns-message,6152,334,1593,Python
amazon-cognito-passwordless-email-auth,64,4,25,TypeScript
tic-tac-toe,1,1,1,Python
SecretsManagerMongoDBRotationSingleUser,47,15,48,Python
microservice-http-endpoint-python,6152,334,1593,Python
cloudfront-authorization-at-edge,19,4,8,TypeScript
CodePipelineSlackNotifier,64,2,25,Shell
lambda-authorizer-basic-auth,27,1,2,Python
lightsail-backups,45,9,20,JavaScript
aws-serverless-twitter-event-source,63,15,15,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
microservice-http-endpoint-python3,6152,334,1593,Python
cloudfront-http-redirect,6152,334,1593,Python
lambdium,212,12,31,JavaScript
api-lambda-update-dynamodb,2,2,1,JavaScript
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
cfn-nag-pipeline,525,32,95,Ruby
s3-get-object-python,6152,334,1593,Python
amazon-cloudfront-access-logs-queries,20,3,16,JavaScript
sns-subscription-filter-policy-string,94,16,15,Python
pipeline-dashboard,82,8,32,JavaScript
api-lambda-get-one-dynamodb,5,1,0,JavaScript
lex-book-trip,6152,334,1593,Python
rekognition-python,6152,334,1593,Python
dynamodb-lex,2,1,1,JavaScript
sns-message-python,6152,334,1593,Python
aws-sagemaker-ground-truth-recipe,4,1,4,Python
s3-get-object-python3,6152,334,1593,Python
resize,77,6,37,JavaScript
workmail-hello-world-python,5,3,4,Python
DocumentGenerator,801,41,153,Python
Chromium,801,41,153,Python
Pandas,801,41,153,Python
s3-lambda-publisher-sns,3,1,1,JavaScript
auto-subscribe-log-group-to-arn,27,1,2,JavaScript
cloudfront-modify-response-header,6152,334,1593,Python
sqs-to-dynamodb,0,1,1,JavaScript
fork-event-storage-backup-pipeline,94,16,15,Python
lambda-layer-awscli,39,3,11,Makefile
helloWorldLex,22,3,10,JavaScript
api-lambda-stripe-charge,23,3,3,JavaScript
dynamodb-process-stream-python3,6152,334,1593,Python
lambda-janitor,12,4,2,JavaScript
s3-presigned-url,6152,334,1593,Python
lex-order-flowers,6152,334,1593,Python
stu,21,4,9,HTML
aws-serverless-sqs-event-source,32,7,10,Java
tweet-sentiment,1,1,0,Python
elasticsearch-cleanup,93,17,60,Python
api-lambda-sns-publisher,0,1,1,JavaScript
ses-notification-nodejs,6152,334,1593,Python
step-functions-send-to-sns,6152,334,1593,Python
fork-event-replay-pipeline,94,16,15,Python
image-moderation-chatbot,111,46,50,Python
greengrass-hello-world,6152,334,1593,Python
fork-event-search-analytics-pipeline,94,16,15,Python
machine-learning-with-scikit-learn-on-lamdba,9,0,2,Python
galleria,77,6,37,JavaScript
s3-static-site,5,1,2,None
slack-echo-command,6152,334,1593,Python
Twitter-Poller-to-Kinesis-Firehose,103,27,45,Python
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
lex-make-appointment,6152,334,1593,Python
timber-logging,3,8,2,Python
AutoUpdateCloudfrontSecurityGroups,3,2,0,Python
fork-example-ecommerce-checkout-pipeline,94,16,15,Python
whats-your-name,13,2,2,Python
s3-replicator,2,1,3,JavaScript
slack-echo-command-python,6152,334,1593,Python
fork-example-ecommerce-checkout-api,94,16,15,Python
serverless-form-handler,7,0,2,JavaScript
serverless-chrome-layer,3,1,0,JavaScript
sumologic-securityhub-collector,91,45,101,Python
api-gateway-authorizer-python,6152,334,1593,Python
compress,77,6,37,JavaScript
lambda-layer-kubectl,45,4,16,Makefile
Serverless-S3-Uploader,3,1,1,JavaScript
github-codebuild-logs,24,4,3,Python
slack-slash-hodor,1,1,1,JavaScript
greengrass-hello-world-nodejs,6152,334,1593,Python
cloudfront-s3-origin-website-redirects,1,0,2,JavaScript
kinesis-process-record,6152,334,1593,Python
sns-subscriber-lambda-s3,3,1,1,JavaScript
aws-lambda-power-tuning,803,37,39,JavaScript
api-lambda-delete-dynamodb,1,1,0,JavaScript
ALB-Lambda-Target-WhatisMyIP,202,22,60,Java
S3-Image-Monitoring-Detection-Using-Rekognition-Publish-Data-on-SNS,3,1,1,Python
sumologic-loggroup-connector,91,45,101,Python
alexa-city-biking-skill,2,1,2,JavaScript
aws-tag-explorer,9,1,3,Python
cloudwatch-alarm-to-slack-python3,6152,334,1593,Python
cloudwatch-logs-process-data,6152,334,1593,Python
aws-serverless-codepipeline-serverlessrepo-publish,7,11,5,Python
SecretsManagerRedshiftRotationMultiUser,47,15,48,Python
ThundraHelloWorld,13,4,3,Java
lex-book-trip-python,6152,334,1593,Python
kinesis-process-record-python,6152,334,1593,Python
cloudfront-redirect-on-viewer-country,6152,334,1593,Python
ecr-deploy,7,1,3,Python
dynamodb-lambda-publisher-sns,0,1,0,JavaScript
cw-logs-to-chime,0,1,0,Python
lambda-canary-python3,6152,334,1593,Python
deploy-to-s3,13,4,7,Python
python-sam-codebuild-ci,3,2,1,None
NYC-Parks-Events-Crawler,7,0,4,Python
sumologic-mongodb-atlas,0,5,0,Python
ses-notification-python,6152,334,1593,Python
lex-make-appointment-python,6152,334,1593,Python
cloudfront-ab-test,6152,334,1593,Python
LogzioCloudWatchShipper,25,10,33,Python
cw-logs-to-lambda,1,1,0,Python
hotdog-detector,87,38,24,Python
aws-serverless-sns-forwarder,6,12,1,Python
ServerlessNetworkingPython3,56,7,2,C++
datadog-process-rds-metrics,6152,334,1593,Python
kinesis-firehose-cloudwatch-logs-processor,6152,334,1593,Python
ImageProcessingPython,801,41,153,Python
rotate,77,6,37,JavaScript
UvaSoftware-Scanii-Lambda,21,3,5,JavaScript
cloudwatch-alarm-to-slack-python,6152,334,1593,Python
cw-logs-to-slack,3,1,2,Makefile
lex-order-flowers-python,6152,334,1593,Python
python-lambdacore,7,1,0,Python
kinesis-firehose-apachelog-to-json,6152,334,1593,Python
async-custom-metrics,14,1,0,JavaScript
lambda-canary,6152,334,1593,Python
cloudfront-simple-remote-call,6152,334,1593,Python
Load-testing,801,41,153,Python
SecretsManagerMongoDBRotationMultiUser,47,15,48,Python
aws-internal-healthcheck,3,1,1,JavaScript
ghostscript-lambda-layer,2,1,0,Makefile
api-gateway-multiple-origin-cors,6152,333,1593,Python
Kinesis-Enhanced-Fan-Out-to-DDB-S3,0,0,1,JavaScript
cognito-sync-trigger,6152,333,1593,Python
aws-health-event-to-slack-message,3,1,1,Python
serverless-numpy,2,1,1,Python
cloudfront-redirect-unauthenticated-users,6152,333,1593,Python
alexa-skill-clean-code-template,7,0,1,JavaScript
TweetEventSource,2,2,2,TypeScript
aws-sns-to-slack-publisher,16,1,6,Python
Glim,0,1,0,Python
inbound-ses-spam-filter,6152,333,1593,Python
Salesforce-API-Access-Manager-Monitor-Logger,2,2,1,JavaScript
cloudwatch-logs-to-loggly,6152,333,1593,Python
Packer-Cleaner,3,1,1,Python
Return-Set-Word-Python3,0,0,1,Python
kinesis-firehose-process-record-streams-as-source,6152,333,1593,Python
sumologic-securityhub-forwarder,91,45,101,Python
cfn-look-up-ami-ids,6152,333,1593,Python
cfn-stack-outputs,6152,333,1593,Python
Cloudwatch-event-serverless-monitor-and-get-alerted-on-aws-account-activity,0,0,1,Python
appsync-broadcaster,11,1,1,JavaScript
plantuml-render,21,5,4,HTML
retweet-leaderboard,10,2,1,Java
ServerlessEventTestTarget,1,1,0,JavaScript
kinesis-analytics-process-record-python,6152,333,1593,Python
s3-lambda-ffmpeg-mov-to-mp4-s3,4,1,3,JavaScript
pandoc-lambda-layer,26,1,10,JavaScript
s3-lambda-csv-to-xlsx-s3,3,1,2,JavaScript
auto-set-log-group-retention,27,1,2,JavaScript
aws-private-ca-policy-venafi,3,6,2,Go
inbound-ses-spam-filter-python,6152,333,1593,Python
s3-cost-explorer,0,1,0,Python
s3-lambda-markdown-to-html-s3,2,1,0,JavaScript
Voice-Lexicon-API,0,1,0,Python
inspector-scheduled-run,6152,333,1593,Python
EventWriter,4,2,0,JavaScript
realworld-serverless-application-backend,230,25,28,Java
kinesis-firehose-apachelog-to-csv,6152,333,1593,Python
realworld-serverless-application-backend-database,230,25,28,Java
portable-serverless-app,9,4,3,JavaScript
api-gateway-multiple-origin-cors,6152,333,1593,Python
kinesis-analytics-process-record,6152,333,1593,Python
kinesis-firehose-apachelog-to-json-python,6152,333,1593,Python
eks-lambda-drainer,0,0,0,None
realworld-serverless-application-backend-api,230,25,28,Java
lambda-layer-headless-chromium,33,1,3,Makefile
node-exec,6152,333,1593,Python
human-trafficking-facts,0,0,0,JavaScript
LightGBM,801,41,153,Python
aws-dynamodb-stream-eventbridge-fanout,12,9,1,Java
codepipeline-s3-deploy,0,1,0,JavaScript
aurora-api,0,1,0,JavaScript
kinesis-firehose-syslog-to-json-python,6152,333,1593,Python
LambdaEdgeRemoveTrailingSlash,2,1,0,JavaScript
json-logs-to-kinesis-firehose,0,1,0,Python
sepia,77,6,37,JavaScript
twitter-to-slack-message,0,1,0,Python
realworld-serverless-application,230,25,28,Java
realworld-serverless-application-analytics,230,25,28,Java
alb-logs-firehose-publisher,5,1,0,Go
rsvg-convert-lambda-layer,27,1,9,JavaScript
realworld-serverless-application-static-website,230,25,28,Java
realworld-serverless-application-ops-dashboard,230,25,28,Java
metric-publisher-app,5,12,6,Python
realworld-serverless-application-ops-alarm,230,25,28,Java
lambda-test-harness,6152,333,1593,Python
realworld-serverless-application-ops,230,25,28,Java
s3-pgp-encryptor,2,1,5,JavaScript
rekognition-sqs,8,0,5,Python
aws-support-bot,0,0,1,Python
sns-lambda-put-cloudwatch,1,1,0,JavaScript
lambda-to-chime,0,1,0,Python
blur,77,6,37,JavaScript
EnergyProductFinder,0,1,0,Python
signalfx-enhanced-rds-metrics,4,42,2,Python
Spacy,801,41,153,Python
s3-lambda-image-text-detection-dynamodb,2,1,1,TypeScript
photo-gallery,1,1,0,TypeScript
aws-sam-codebuild-ci,14,11,3,None
acm-dns-record-manager,1,1,1,JavaScript
sfn-callback-urls,33,1,2,Python
RecyclingLocationFinder,0,1,0,Python
workmail-wordpress-python,5,3,4,Python
requests-python-layer-app,0,1,0,Shell
amazon-cognito-passwordless-facial-rekognition-auth,9,3,1,JavaScript
s3-lambda-transcribe-audio-to-text-s3,62,2,0,JavaScript
cloudfront-multiple-remote-calls-aggregate-response,6152,333,1593,Python
GenerateLookML,0,63,0,Python
nephridium,2,0,0,JavaScript
aws-sqs-dlq-redriver,3,1,2,Python
cloudwatch-loggly-forwarder,10,12,0,Ruby
cloudfront-access-request-in-response,6152,333,1593,Python
owlhub-lambda-version-cleaner,1,2,0,Python
cloudfront-modify-querystring,6152,333,1593,Python
exif-metadata-extractor,3,1,1,Python
cfn-news-to-telegram,1,1,0,HTML
serverless-search,96,4,8,JavaScript
lambda-versions-deleter,0,1,0,Python
EtsyShopEventSource,2,1,0,TypeScript
kinesis-firehose-process-record-python,6152,333,1593,Python
logicmonitor-send-cloudwatch-events,0,18,0,Python
aws-serverless-financial-functions-wrapper,37,20,7,Python
SpheroAlexaSkill,4,1,0,JavaScript
guardduty-log-uploader,3,1,1,Go
s3-lambda-markdown-to-docx-s3,4,1,0,JavaScript
kinesis-analytics-process-compressed-record,6152,333,1593,Python
signed-url-generator,1,1,0,Python
lambda-customresource-testing,0,0,0,None
crop,77,6,37,JavaScript
kinesis-data-firehose-to-s3,1,1,0,Makefile
ALB-Lambda-Target-BinaryResponse,202,22,60,Java
monte-carlo-pi,0,1,0,Python
aws-serverless-financial-functions-xirr,37,20,7,Python
s3-lambda-csv-to-pdf-s3,0,1,0,JavaScript
uvasoftware-guarana,0,1,0,Java
HDFproc,800,41,153,Python
s3-lambda-svg-to-pdf-s3,0,1,0,JavaScript
kinesis-firehose-syslog-to-csv-python,6152,333,1593,Python
aws-serverless-financial-functions-fv,37,20,7,Python
ThundraImageLinkExtractor,13,4,3,Java
image-proxy,5,0,1,Go
kinesis-firehose-syslog-to-csv,6152,333,1593,Python
phone-home,0,1,0,JavaScript
workmail-chat-bot-python,5,3,4,Python
aws-serverless-financial-functions-pv,37,20,7,Python
pushilka-cloudfront-headers,0,1,2,JavaScript
ApplicationCostMonitoring,10,3,1,Python
Cribl-S3-To-Snowflake,1,1,2,JavaScript
ssm-sign-proxy,0,2,0,Go
s3-lambda-ffmpeg-aac-wav-to-mp3-s3,2,2,2,JavaScript
comment-moderator,0,0,0,JavaScript
blur-faces-rekognition,1,1,0,Python
appsync-graphql-crud-dynamodb,7,1,1,None
rev11-attiotbutton-SQL,0,2,0,None
url-redirect-https,65,6,26,Makefile
failed-emr-info,0,1,1,Python
kinesis-firehose-apachelog-to-csv-python,6152,333,1593,Python
lending-app-nodejs6,0,0,0,JavaScript
OpenIdAuthorizer,3,1,1,C#
aws-sam-codepipeline-cd,14,10,6,None
realtime-chatapp,2,0,1,None
amazon-pinpoint-call-generator,5,2,2,JavaScript
trigger-t2-unlimited-with-sns,3,1,2,Python
rev11-attiotbutton-filemakerapi,0,2,0,None
ddb-copier,5,2,3,Java
amazon-connect-outbound-prompt-call,39,3,11,Makefile
sumologic-app-utils,91,45,101,Python
lambda-logs-athena-example,0,1,0,Python
S3-Auto-Translator,1,1,0,JavaScript
LambdaScale,6,10,2,JavaScript
MWSAlerts,1,1,1,Python
mackerel-cloudwatch-forwarder,2,2,0,Go
dungeon-maestro-slack-bot,3,1,0,Go
ACM-DynamoDB-Publisher,0,1,1,Python
api-websockets-push-notifications-dynamodb,2,1,1,JavaScript
Carrier-Info,0,0,0,JavaScript
sns2telegram,5,1,0,Go
ACM-S3-Publisher,2,1,1,Python
kinesis-firehose-process-record-streams-as-source-python,6152,333,1593,Python
aws-serverless-financial-functions-pmt,37,20,7,Python
Slack-Translate,0,0,0,JavaScript
kinesis-analytics-process-kpl-record,6152,333,1593,Python
Mill,7,8,0,JavaScript
kinesis-firehose-syslog-to-json,6152,333,1593,Python
lambda-create-email-template-ses,2,2,0,JavaScript
Parameter-Store-ECS-Updater-and-Deployer,2,0,0,Go
AWS-Backup-DynamoDB-Rotator,4,1,0,Go
acme-cert-updater,3,2,0,Python
format-splunk-aws-sns-alert,0,1,0,Python
kim-demo,1,2,2,JavaScript
lambda-s3-zip,0,1,0,JavaScript
aws-services-by-region,0,1,0,Python
small-data-service,0,1,0,Python
aws-serverless-financial-functions-npv,37,20,7,Python
aws-serverless-financial-functions-sln,37,20,7,Python
ServerlessCron,65,6,26,Makefile
human-trafficking-goods-indicator-api,0,0,0,Python
ThundraNodeJSHelloWorld,5,2,3,JavaScript
codepipeline-s3-objects-public-read-multi-buildartifact,0,1,0,JavaScript
aws-serverless-financial-functions-ppmt,37,20,7,Python
fqdnService,0,10,0,TypeScript
traffic-cop-query-engine,3,3,2,C++
platform-authorizer,3,4,1,JavaScript
lambda-edge-logs-aggregator,2,1,0,Shell
signed-links-cognito,0,1,0,JavaScript
MedPal,1,0,1,JavaScript
text2event,0,0,0,JavaScript
aws-serverless-financial-functions-mirr,37,20,7,Python
Cleaner,0,1,0,Python
codepipeline-s3-objects-public-read,0,1,2,JavaScript
detect-stack-drifts,3,1,1,Python
cloudwatch-alarms-macro,5,2,0,JavaScript
exif-reader,2,1,2,Perl
kim-demo2,1,2,2,JavaScript
CitizenDispatch,3,0,1,JavaScript
ec2-spot-interruption-logging-insights,556,64,180,Jupyter Notebook
timestamp-custom-resource,0,1,0,Python
