#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,908,134,1101,JavaScript
alexa-skills-kit-nodejs-triviaskill,235,75,293,JavaScript
hello-world,5430,321,1293,Python
alexa-skills-kit-nodejs-howtoskill,226,55,196,JavaScript
microservice-http-endpoint,5430,321,1293,Python
alexa-skills-kit-color-expert-python,5430,321,1293,Python
Datadog-Log-Forwarder,91,129,124,Python
image-resizer-service,44,0,25,JavaScript
alexa-skills-kit-python36-factskill,68,22,121,Python
alexa-smart-home-skill-adapter,5430,321,1293,Python
alexa-skills-kit-color-expert,5430,321,1293,Python
uploader,69,5,33,JavaScript
alexa-skills-kit-nodejs-premium-facts-skill,39,25,39,JavaScript
api-lambda-save-dynamodb,21,2,8,JavaScript
hello-world-python3,5431,321,1293,Python
serverless-todo,17,3,7,JavaScript
api-gateway-dev-portal,440,37,145,JavaScript
https-request,5431,321,1293,Python
api-lambda-send-email-ses,11,2,2,JavaScript
hello-world-python,5431,321,1293,Python
cloudfront-response-generation,5431,321,1293,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
AmazonConnectSalesforceLambda,3,1,1,Python
hello-go-serverless-webapp,15,3,4,Go
s3-get-object,5431,321,1293,Python
aws-deployment-framework,108,24,20,Python
image-processing-service,5431,321,1293,Python
Contact-Us,35,2,9,JavaScript
NewRelic-log-ingestion,5,18,4,Python
lambda-web-page-example,4,0,4,JavaScript
ALB-Lambda-Target-HelloWorld,191,22,59,Java
alexa-skills-kit-nodejs-hello-world,144,54,221,PowerShell
simple-mobile-backend,5431,321,1293,Python
serverless-cognito,41,2,6,Python
cloudwatch-alarm-to-slack,5431,321,1293,Python
api-gateway-authorizer-nodejs,5431,321,1293,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
sqs-poller,5431,321,1293,Python
alexa-anagram,4,3,3,JavaScript
sns-message,5431,321,1293,Python
tic-tac-toe,1,1,1,Python
lambdium,196,11,31,JavaScript
Tesseract,715,40,114,Python
microservice-http-endpoint-python,5431,321,1293,Python
aws-serverless-twitter-event-source,54,14,14,Python
cloudfront-http-redirect,5431,321,1293,Python
lambda-to-slack,4,1,2,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
lambda-authorizer-basic-auth,25,1,2,Python
acloudguru-alexadevs-leaderboard,0,6,4,JavaScript
microservice-http-endpoint-python3,5431,321,1293,Python
rekognition-python,5431,321,1293,Python
lex-book-trip,5431,321,1293,Python
pipeline-dashboard,72,8,27,JavaScript
amazon-cognito-passwordless-email-auth,46,2,19,TypeScript
SecretsManagerRedshiftRotationSingleUser,37,11,30,Python
api-lambda-get-one-dynamodb,2,1,0,JavaScript
s3-get-object-python3,5431,321,1293,Python
sns-subscription-filter-policy-string,61,11,8,Python
api-lambda-update-dynamodb,1,2,1,JavaScript
sns-message-python,5431,321,1293,Python
cfn-nag-pipeline,452,34,78,Ruby
resize,69,5,33,JavaScript
s3-get-object-python,5431,321,1293,Python
helloWorldLex,21,3,10,JavaScript
s3-lambda-publisher-sns,2,1,1,JavaScript
tweet-sentiment,0,1,0,Python
aws-serverless-sqs-event-source,30,7,9,Java
stu,19,4,7,HTML
cloudfront-modify-response-header,5431,321,1293,Python
dynamodb-process-stream-python3,5431,321,1293,Python
dynamodb-lex,1,1,1,JavaScript
slack-echo-command,5431,321,1293,Python
fork-event-storage-backup-pipeline,61,11,8,Python
step-functions-send-to-sns,5431,321,1293,Python
api-lambda-stripe-charge,17,4,1,JavaScript
amazon-cloudfront-access-logs-queries,16,2,7,JavaScript
lex-order-flowers,5432,321,1293,Python
s3-static-site,4,1,2,None
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
api-lambda-sns-publisher,0,1,1,JavaScript
DocumentGenerator,716,40,114,Python
Pandas,716,40,114,Python
workmail-hello-world-python,5,2,3,Python
s3-replicator,2,1,2,JavaScript
ses-notification-nodejs,5433,321,1293,Python
Twitter-Poller-to-Kinesis-Firehose,98,27,39,Python
sqs-to-dynamodb,0,1,0,JavaScript
image-moderation-chatbot,101,43,48,Python
fork-event-replay-pipeline,61,11,8,Python
fork-event-search-analytics-pipeline,61,11,8,Python
s3-presigned-url,5433,321,1293,Python
whats-your-name,13,2,2,Python
galleria,69,5,33,JavaScript
Chromium,716,40,114,Python
machine-learning-with-scikit-learn-on-lamdba,8,0,1,Python
slack-slash-hodor,1,1,0,JavaScript
aws-sagemaker-ground-truth-recipe,2,0,2,Python
elasticsearch-cleanup,81,21,52,HCL
AutoUpdateCloudfrontSecurityGroups,3,2,0,Python
