#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,876,132,1075,JavaScript
alexa-skills-kit-nodejs-triviaskill,226,77,279,JavaScript
hello-world,5141,326,1182,Python
alexa-skills-kit-nodejs-howtoskill,226,55,193,JavaScript
microservice-http-endpoint,5141,326,1182,Python
alexa-skills-kit-color-expert-python,5141,326,1182,Python
image-resizer-service,40,0,23,JavaScript
Datadog-Log-Forwarder,83,128,107,Python
alexa-smart-home-skill-adapter,5141,326,1182,Python
alexa-skills-kit-python36-factskill,67,21,110,Python
uploader,61,5,29,JavaScript
api-lambda-save-dynamodb,18,2,7,JavaScript
alexa-skills-kit-color-expert,5141,326,1182,Python
hello-world-python3,5141,326,1182,Python
serverless-todo,15,3,7,JavaScript
https-request,5141,326,1182,Python
api-gateway-dev-portal,415,38,132,JavaScript
hello-world-python,5141,326,1182,Python
api-lambda-send-email-ses,9,2,2,JavaScript
cloudfront-response-generation,5141,326,1182,Python
s3-get-object,5141,326,1182,Python
lambda-web-page-example,4,0,2,JavaScript
Contact-Us,33,2,7,JavaScript
image-processing-service,5141,326,1182,Python
AmazonConnectSalesforceLambda,2,1,1,Python
alexa-skills-kit-nodejs-premium-facts-skill,26,26,31,JavaScript
hello-go-serverless-webapp,15,3,5,Go
simple-mobile-backend,5141,326,1182,Python
serverless-cognito,37,2,6,Python
alexa-skills-kit-nodejs-basic-welcome,0,0,1,JavaScript
api-gateway-authorizer-nodejs,5141,326,1182,Python
NewRelic-log-ingestion,4,18,3,Python
cloudwatch-alarm-to-slack,5141,326,1182,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
sqs-poller,5141,326,1182,Python
ALB-Lambda-Target-HelloWorld,189,23,59,Java
lambdium,188,10,31,JavaScript
sns-message,5141,326,1182,Python
alexa-anagram,4,3,4,JavaScript
tic-tac-toe,1,1,1,Python
microservice-http-endpoint-python,5141,326,1182,Python
aws-serverless-twitter-event-source,51,13,11,Python
Tesseract,685,41,109,Python
cloudfront-http-redirect,5141,326,1182,Python
api-lambda-get-all-dynamodb,0,1,0,JavaScript
alexa-skills-kit-nodejs-hello-world,136,55,210,PowerShell
rekognition-python,5141,326,1182,Python
acloudguru-alexadevs-leaderboard,0,6,4,JavaScript
lambda-to-slack,2,1,2,Python
microservice-http-endpoint-python3,5141,326,1182,Python
s3-get-object-python3,5141,326,1182,Python
lex-book-trip,5141,326,1182,Python
lambda-authorizer-basic-auth,22,1,1,Python
pipeline-dashboard,59,8,21,JavaScript
helloWorldLex,21,3,10,JavaScript
api-lambda-get-one-dynamodb,2,1,0,JavaScript
s3-get-object-python,5141,326,1182,Python
