#function,stars,watchers,forks,language
alexa-skills-kit-nodejs-factskill,929,136,1122,JavaScript
alexa-skills-kit-nodejs-triviaskill,237,76,300,JavaScript
hello-world,5763,332,1411,Python
alexa-skills-kit-nodejs-howtoskill,229,55,200,JavaScript
microservice-http-endpoint,5763,332,1411,Python
Datadog-Log-Forwarder,109,146,146,Python
alexa-skills-kit-color-expert-python,5763,332,1411,Python
image-resizer-service,52,0,27,JavaScript
alexa-skills-kit-python36-factskill,70,21,129,Python
alexa-smart-home-skill-adapter,5763,332,1411,Python
alexa-skills-kit-nodejs-premium-facts-skill,43,26,47,JavaScript
alexa-skills-kit-color-expert,5763,332,1411,Python
uploader,72,6,34,JavaScript
api-lambda-save-dynamodb,28,2,8,JavaScript
api-gateway-dev-portal,462,37,155,JavaScript
hello-world-python3,5763,332,1411,Python
serverless-todo,19,3,9,JavaScript
api-lambda-send-email-ses,14,2,3,JavaScript
https-request,5763,332,1411,Python
hello-world-python,5763,332,1411,Python
aws-deployment-framework,146,24,34,Python
alexa-skills-kit-nodejs-basic-welcome,1,0,0,JavaScript
cloudfront-response-generation,5763,332,1411,Python
alexa-skills-kit-nodejs-hello-world,143,56,229,JavaScript
AmazonConnectSalesforceLambda,4,1,1,Python
ALB-Lambda-Target-HelloWorld,193,22,59,Java
NewRelic-log-ingestion,5,17,6,Python
hello-go-serverless-webapp,15,3,4,Go
image-processing-service,5763,332,1411,Python
s3-get-object,5763,332,1411,Python
Contact-Us,36,2,12,JavaScript
cloudwatch-alarm-to-slack,5763,332,1411,Python
lambda-web-page-example,4,0,5,JavaScript
simple-mobile-backend,5763,332,1411,Python
api-gateway-authorizer-nodejs,5763,332,1411,Python
serverless-cognito,43,2,6,Python
sqs-poller,5763,332,1411,Python
s3-lambda-save-dynamodb,8,2,1,JavaScript
Tesseract,749,39,128,Python
lambda-to-slack,4,1,2,Python
alexa-anagram,4,3,3,JavaScript
sns-message,5763,332,1411,Python
tic-tac-toe,1,1,1,Python
image-magick-lambda-layer,20,4,4,JavaScript
microservice-http-endpoint-python,5763,332,1411,Python
CodePipelineSlackNotifier,59,2,24,Shell
lambdium,200,10,31,JavaScript
ffmpeg-lambda-layer,59,8,12,JavaScript
cloudfront-http-redirect,5763,332,1411,Python
amazon-cognito-passwordless-email-auth,58,3,21,TypeScript
SecretsManagerRedshiftRotationSingleUser,40,11,36,Python
api-lambda-get-all-dynamodb,1,1,0,JavaScript
lambda-authorizer-basic-auth,24,1,2,Python
aws-serverless-twitter-event-source,58,16,15,Python
microservice-http-endpoint-python3,5763,332,1411,Python
acloudguru-alexadevs-leaderboard,3,6,5,JavaScript
pipeline-dashboard,77,8,28,JavaScript
rekognition-python,5763,332,1411,Python
api-lambda-update-dynamodb,1,2,1,JavaScript
sns-subscription-filter-policy-string,81,12,13,Python
cfn-nag-pipeline,480,33,88,Ruby
s3-get-object-python,5763,332,1411,Python
api-lambda-get-one-dynamodb,5,1,0,JavaScript
sns-message-python,5763,332,1411,Python
lex-book-trip,5763,332,1411,Python
s3-get-object-python3,5763,332,1411,Python
amazon-cloudfront-access-logs-queries,16,2,12,JavaScript
resize,72,6,34,JavaScript
dynamodb-lex,1,1,1,JavaScript
SecretsManagerMongoDBRotationSingleUser,40,11,36,Python
helloWorldLex,22,3,10,JavaScript
s3-lambda-publisher-sns,2,1,1,JavaScript
cloudfront-modify-response-header,5763,332,1411,Python
api-lambda-stripe-charge,20,4,0,JavaScript
Pandas,749,39,128,Python
tweet-sentiment,0,1,0,Python
aws-serverless-sqs-event-source,31,7,9,Java
dynamodb-process-stream-python3,5763,332,1411,Python
aws-sagemaker-ground-truth-recipe,3,0,3,Python
stu,19,4,8,HTML
Chromium,749,39,128,Python
step-functions-send-to-sns,5763,332,1411,Python
fork-event-storage-backup-pipeline,81,12,13,Python
api-lambda-sns-publisher,0,1,1,JavaScript
DocumentGenerator,749,39,128,Python
lex-order-flowers,5763,332,1411,Python
slack-echo-command,5763,332,1411,Python
s3-presigned-url,5763,332,1411,Python
workmail-hello-world-python,5,2,3,Python
sqs-to-dynamodb,0,1,1,JavaScript
fork-event-replay-pipeline,81,12,13,Python
elasticsearch-cleanup,87,19,54,HCL
ses-notification-nodejs,5763,332,1411,Python
s3-static-site,5,1,2,None
fork-event-search-analytics-pipeline,81,12,13,Python
Twitter-Poller-to-Kinesis-Firehose,99,27,41,Python
image-moderation-chatbot,107,44,47,Python
Alexa-Nodejs-Dynamic-Content,0,1,1,JavaScript
s3-replicator,2,1,3,JavaScript
galleria,72,6,34,JavaScript
whats-your-name,13,2,2,Python
machine-learning-with-scikit-learn-on-lamdba,9,0,1,Python
sns-lambda-subscriber-dynamodb,2,1,0,JavaScript
timber-logging,3,8,2,Python
AutoUpdateCloudfrontSecurityGroups,3,2,0,Python
auto-subscribe-log-group-to-arn,10,1,1,JavaScript
lex-make-appointment,5763,332,1411,Python
serverless-chrome-layer,2,1,0,JavaScript
slack-echo-command-python,5763,332,1411,Python
slack-slash-hodor,1,1,1,JavaScript
api-gateway-authorizer-python,5763,332,1411,Python
fork-example-ecommerce-checkout-pipeline,81,12,13,Python
kinesis-process-record,5763,332,1411,Python
fork-example-ecommerce-checkout-api,81,12,13,Python
sns-subscriber-lambda-s3,3,1,1,JavaScript
cloudfront-s3-origin-website-redirects,0,0,1,JavaScript
api-lambda-delete-dynamodb,1,1,0,JavaScript
sumologic-securityhub-collector,82,45,100,Python
greengrass-hello-world-nodejs,5763,332,1411,Python
lambda-layer-awscli,22,2,8,Makefile
sumologic-app-utils,82,45,100,Python
compress,72,6,34,JavaScript
cloudwatch-alarm-to-slack-python3,5763,332,1411,Python
lex-book-trip-python,5763,332,1411,Python
kinesis-process-record-python,5763,332,1411,Python
alexa-city-biking-skill,2,1,2,JavaScript
aws-tag-explorer,8,1,3,Python
dynamodb-lambda-publisher-sns,0,1,0,JavaScript
lambda-janitor,4,4,1,JavaScript
cloudfront-redirect-on-viewer-country,5763,332,1411,Python
cw-logs-to-chime,0,1,0,Python
S3-Image-Monitoring-Detection-Using-Rekognition-Publish-Data-on-SNS,2,1,1,Python
ALB-Lambda-Target-WhatisMyIP,193,22,59,Java
sumologic-loggroup-connector,82,45,100,Python
cloudwatch-logs-process-data,5763,332,1411,Python
python-sam-codebuild-ci,3,2,1,None
lex-make-appointment-python,5763,332,1411,Python
ecr-deploy,7,1,3,Python
github-codebuild-logs,15,2,0,Python
LogzioCloudWatchShipper,23,10,31,Python
hotdog-detector,86,35,23,Python
lambda-canary-python3,5763,331,1411,Python
ThundraHelloWorld,13,4,2,Java
datadog-process-rds-metrics,5763,331,1411,Python
lex-order-flowers-python,5763,331,1411,Python
cloudfront-ab-test,5763,331,1411,Python
NYC-Parks-Events-Crawler,5,0,4,Python
ImageProcessingPython,749,39,128,Python
UvaSoftware-Scanii-Lambda,19,3,5,JavaScript
ses-notification-python,5763,331,1411,Python
cloudwatch-alarm-to-slack-python,5763,331,1411,Python
lambda-canary,5763,331,1411,Python
cw-logs-to-lambda,1,1,0,Python
Load-testing,749,39,128,Python
aws-serverless-sns-forwarder,5,12,1,Python
kinesis-firehose-cloudwatch-logs-processor,5764,332,1412,Python
aws-serverless-codepipeline-serverlessrepo-publish,5,11,4,Python
lambda-layer-kubectl,24,1,12,Makefile
python-lambdacore,4,1,0,Python
aws-lambda-power-tuning,680,31,32,JavaScript
aws-sns-to-slack-publisher,16,1,6,Python
aws-internal-healthcheck,3,1,1,JavaScript
sumologic-mongodb-atlas,0,5,0,Python
api-gateway-multiple-origin-cors,5764,332,1412,Python
cw-logs-to-slack,3,1,2,Makefile
cognito-sync-trigger,5764,332,1412,Python
serverless-numpy,2,1,1,Python
cloudwatch-logs-to-loggly,5764,332,1412,Python
rotate,72,6,34,JavaScript
Packer-Cleaner,3,1,1,Python
Return-Set-Word-Python3,0,0,1,Python
cloudfront-simple-remote-call,5764,332,1412,Python
inbound-ses-spam-filter,5764,332,1412,Python
Cloudwatch-event-serverless-monitor-and-get-alerted-on-aws-account-activity,0,0,1,Python
ServerlessEventTestTarget,1,1,0,JavaScript
s3-lambda-ffmpeg-mov-to-mp4-s3,4,1,2,JavaScript
serverless-form-handler,4,0,2,JavaScript
cfn-look-up-ami-ids,5764,332,1412,Python
sumologic-securityhub-forwarder,82,45,100,Python
retweet-leaderboard,10,2,1,Java
cloudfront-redirect-unauthenticated-users,5764,332,1412,Python
algorithmia,5764,332,1412,Python
aws-health-event-to-slack-message,3,1,1,Python
plantuml-render,19,5,4,HTML
Voice-Lexicon-API,0,1,0,Python
inbound-ses-spam-filter-python,5764,332,1412,Python
Salesforce-API-Access-Manager-Monitor-Logger,2,2,1,JavaScript
cfn-stack-outputs,5764,332,1412,Python
appsync-broadcaster,11,1,1,JavaScript
s3-cost-explorer,0,1,0,Python
EventWriter,4,2,0,JavaScript
inspector-scheduled-run,5764,332,1412,Python
cloudfront-authorization-at-edge,6,4,2,TypeScript
TweetEventSource,2,2,2,TypeScript
kinesis-firehose-process-record-streams-as-source,5764,332,1412,Python
Glim,0,1,0,Python
s3-lambda-csv-to-xlsx-s3,3,1,2,JavaScript
greengrass-hello-world,5764,332,1412,Python
Kinesis-Enhanced-Fan-Out-to-DDB-S3,0,0,1,JavaScript
human-trafficking-facts,0,0,0,JavaScript
codepipeline-s3-deploy,0,1,0,JavaScript
alexa-skill-clean-code-template,5,1,1,JavaScript
kinesis-firehose-syslog-to-json-python,5764,332,1412,Python
kinesis-firehose-apachelog-to-csv,5764,332,1412,Python
alb-logs-firehose-publisher,4,1,0,Go
SAM-logging-regional-endpoints,0,1,0,JavaScript
metric-publisher-app,5,13,5,Python
portable-serverless-app,9,3,3,JavaScript
twitter-to-slack-message,0,1,0,Python
s3-pgp-encryptor,1,1,2,JavaScript
node-exec,5764,332,1412,Python
SecretsManagerRedshiftRotationMultiUser,40,11,36,Python
lambda-test-harness,5764,332,1412,Python
aurora-api,0,1,0,JavaScript
signalfx-enhanced-rds-metrics,4,33,1,Python
kinesis-analytics-process-record-python,5764,332,1412,Python
rekognition-sqs,7,0,4,Python
kinesis-analytics-process-record,5764,332,1412,Python
lambda-to-chime,0,1,0,Python
LightGBM,749,39,128,Python
Spacy,749,39,128,Python
cloudfront-multiple-remote-calls-aggregate-response,5764,332,1412,Python
kinesis-firehose-apachelog-to-json,5764,332,1412,Python
EnergyProductFinder,0,1,0,Python
kinesis-firehose-apachelog-to-json-python,5764,332,1412,Python
sepia,72,6,34,JavaScript
aws-sqs-dlq-redriver,3,1,1,Python
cloudfront-access-request-in-response,5764,332,1412,Python
RecyclingLocationFinder,0,1,0,Python
ghostscript-lambda-layer,1,1,0,Makefile
api-gateway-multiple-origin-cors,5764,332,1412,Python
auto-set-log-group-retention,10,1,1,JavaScript
sns-lambda-put-cloudwatch,1,1,0,JavaScript
EtsyShopEventSource,2,1,0,TypeScript
nephridium,2,0,0,JavaScript
aws-serverless-financial-functions-wrapper,35,21,7,Python
SpheroAlexaSkill,4,1,0,JavaScript
guardduty-log-uploader,2,1,0,Go
exif-metadata-extractor,2,1,0,Python
lambda-versions-deleter,0,1,0,Python
Serverless-S3-Uploader,2,1,0,JavaScript
monte-carlo-pi,0,1,0,Python
SecretsManagerMongoDBRotationMultiUser,40,11,36,Python
eks-lambda-drainer,0,0,0,None
aws-serverless-financial-functions-xirr,35,21,7,Python
aws-support-bot,0,0,0,Python
s3-lambda-csv-to-pdf-s3,0,1,0,JavaScript
uvasoftware-guarana,0,1,0,Java
s3-lambda-markdown-to-docx-s3,4,1,0,JavaScript
